NAICSP,total_workers,foreign_born,noncitizen,pct_foreign_born,pct_noncitizen
4853,570391,317629,148841,55.7,26.1
8121M,601325,262518,93941,43.7,15.6
5617Z,1742733,730796,513264,41.9,29.5
814,608254,254538,165388,41.8,27.2
8123,219522,85380,49286,38.9,22.5
3118Z,196157,75602,51207,38.5,26.1
315M,159419,60106,32630,37.7,20.5
51929,141205,52277,32086,37,22.7
56173,1292248,465664,364643,36,28.2
3116,436886,155976,108592,35.7,24.9
3341,98243,34688,12081,35.3,12.3
33MS,18323,6476,4338,35.3,23.7
334M2,702735,244037,113550,34.7,16.2
4243,104172,35999,18467,34.6,17.7
7211,1291007,439419,235961,34,18.3
111,1097286,357965,290233,32.6,26.5
311S,79993,25192,15644,31.5,19.6
31M,9203,2890,1644,31.4,17.9
3114,139161,41337,21670,29.7,15.6
311M2,238261,65310,36673,27.4,15.4
6216,1463937,395997,159883,27.1,10.9
3113,78534,21060,10624,26.8,13.5
5415,4044236,1085260,557081,26.8,13.8
3254,704751,187783,69244,26.6,9.8
23,11580357,3061495,2173278,26.4,18.8
4244,731709,193127,112398,26.4,15.4
314Z,69084,18001,10643,26.1,15.4
334M1,108680,28341,11364,26.1,10.5
42S,122752,32068,14556,26.1,11.9
115,146132,37885,29143,25.9,19.9
4251,60732,15699,5025,25.8,8.3
311811,185390,46474,28598,25.1,15.4
3279,68601,17096,10984,24.9,16
3MS,576682,141277,79941,24.5,13.9
3132Z,85808,20905,11994,24.4,14
5182,250713,60368,35557,24.1,14.2
812111,145253,34878,20675,24,14.2
3391,838717,200263,73326,23.9,8.7
4583,186275,44278,17184,23.8,9.2
4452,248917,58918,36024,23.7,14.5
484,1948887,462829,208745,23.7,10.7
493,1085861,257235,160695,23.7,14.8
5132,178317,42017,21494,23.6,12.1
3256,148885,34827,18632,23.4,12.5
488,904651,211572,94255,23.4,10.4
8112,75915,17469,8239,23,10.9
8114,151662,34848,16810,23,11.1
31411,33334,7569,4605,22.7,13.8
3162,23367,5271,3396,22.6,14.5
4249Z,139089,31434,16544,22.6,11.9
5417,935046,210638,98984,22.5,10.6
811192,209138,46625,33407,22.3,16
485M,542200,116970,25328,21.6,4.7
4232,67544,14534,6868,21.5,10.2
4551,330913,70868,27339,21.4,8.3
3252,173074,36301,21283,21,12.3
4593,93786,19660,11607,21,12.4
6241,1940379,405377,137745,20.9,7.1
722Z,9554257,1999406,1317127,20.9,13.8
3345,182052,37842,13524,20.8,7.4
4239Z,85550,17633,6234,20.6,7.3
316M,19223,3896,2575,20.3,13.4
3333,75134,15233,7842,20.3,10.4
335M,381787,77620,34083,20.3,8.9
112,475825,96267,71033,20.2,14.9
481,745672,150211,47112,20.1,6.3
3115,154897,30923,15779,20,10.2
492,1499422,296264,167208,19.8,11.2
8111Z,1335020,263329,163996,19.7,12.3
3219ZM,231105,45215,33388,19.6,14.4
812112,1029706,200713,77200,19.5,7.5
3352,73876,14246,7816,19.3,10.6
55,186481,35759,13094,19.2,7
337,356844,68173,39420,19.1,11
611M1,4762716,911242,473672,19.1,9.9
3399ZM,519020,98574,50763,19,9.8
5615,367829,69902,23445,19,6.4
6231,1487464,283347,91592,19,6.2
483,90759,16959,5549,18.7,6.1
5613,830432,155161,85856,18.7,10.3
3231,420633,78275,34078,18.6,8.1
42393,61105,11354,7555,18.6,12.4
4MS,579629,107945,48573,18.6,8.4
424M,168782,31186,12529,18.5,7.4
522M,1103561,202218,78321,18.3,7.1
532M2,82795,15154,9622,18.3,11.6
32221,90019,16311,10032,18.1,11.1
6244,1573664,284451,132990,18.1,8.5
52M3,1883511,339592,115086,18,6.1
8113,303359,54458,37689,18,12.4
