industry_name,supersector_name,naics_code,industry_code,industry_display_level,value,naics_primary,matched_prefix,match_level,acs_total_workers,acs_foreign_born,acs_noncitizen,acs_pct_foreign_born,acs_pct_noncitizen,n_acs_codes
Logging,Mining and logging,1133,10113300,5,36.7,1133,1133,4,70607,3819,3499,5.408812157434816,4.955599303185236,1
Oil and gas extraction,Mining and logging,211,10211000,4,116.3,211,211,3,78624,10069,5516,12.806522181522181,7.015669515669516,1
Coal mining,Mining and logging,2121,10212100,5,38.8,2121,2121,4,51020,120,43,0.2352018816150529,0.08428067424539397,1
Metal ore mining,Mining and logging,2122,10212200,5,45.6,2122,2122,4,52913,7214,2962,13.63370060287642,5.59786819874133,1
Nonmetallic mineral mining and quarrying,Mining and logging,2123,10212300,5,102.9,2123,2123,4,98192,9553,6986,9.728898484601597,7.114632556623758,1
Support activities for mining,Mining and logging,213,10213000,4,260.6,213,213,3,332197,53953,30134,16.24126647742153,9.071123459874713,1
Residential building construction,Construction,2361,20236100,5,928.5,2361,23,2,11580357,3061495,2173278,26.436965630679605,18.766934387255937,1
Nonresidential building construction,Construction,2362,20236200,5,937.3,2362,23,2,11580357,3061495,2173278,26.436965630679605,18.766934387255937,1
Utility system construction,Construction,2371,20237100,5,629.3,2371,23,2,11580357,3061495,2173278,26.436965630679605,18.766934387255937,1
Land subdivision,Construction,2372,20237200,5,38.5,2372,23,2,11580357,3061495,2173278,26.436965630679605,18.766934387255937,1
"Highway, street, and bridge construction",Construction,2373,20237300,5,388.8,2373,23,2,11580357,3061495,2173278,26.436965630679605,18.766934387255937,1
Other heavy and civil engineering construction,Construction,2379,20237900,5,145.4,2379,23,2,11580357,3061495,2173278,26.436965630679605,18.766934387255937,1
"Foundation, structure, and building exterior contractors",Construction,2381,20238100,5,972.8,2381,23,2,11580357,3061495,2173278,26.436965630679605,18.766934387255937,1
Building equipment contractors,Construction,2382,20238200,5,2620.6,2382,23,2,11580357,3061495,2173278,26.436965630679605,18.766934387255937,1
Building finishing contractors,Construction,2383,20238300,5,827.4,2383,23,2,11580357,3061495,2173278,26.436965630679605,18.766934387255937,1
Other specialty trade contractors,Construction,2389,20238900,5,822.3,2389,23,2,11580357,3061495,2173278,26.436965630679605,18.766934387255937,1
Sawmills and wood preservation,Durable Goods,3211,31321100,5,82.8,3211,3211,4,132678,17589,13189,13.256907701352146,9.940608088756237,1
"Veneer, plywood, and engineered wood product manufacturing",Durable Goods,3212,31321200,5,79.5,3212,3212,4,30588,3149,1554,10.29488688374526,5.080423695566889,1
Other wood product manufacturing,Durable Goods,3219,31321900,5,230.1,3219,3219,4,259218,48721,35710,18.79537686426097,13.77604950273515,2
Clay product and refractory manufacturing,Durable Goods,3271,31327100,5,32.2,3271,3271,4,58466,7379,4143,12.621010501830124,7.086169739677761,2
Glass and glass product manufacturing,Durable Goods,3272,31327200,5,76,3272,3272,4,144920,21348,11768,14.730886006072316,8.120342257797406,1
Cement and concrete product manufacturing,Durable Goods,3273,31327300,5,213.1,3273,327,3,407612,65255,39001,16.009096886254575,9.568167767386633,5
"Lime, gypsum, and other nonmetallic mineral product manufacturing",Durable Goods,"3274,9",31327900,5,98.3,3274,327,3,407612,65255,39001,16.009096886254575,9.568167767386633,5
Iron and steel mills and ferroalloy manufacturing,Durable Goods,3311,31331100,5,85,3311,331,3,483302,57151,31127,11.825111421016258,6.4404864867101725,4
Steel product manufacturing from purchased steel,Durable Goods,3312,31331200,5,56.8,3312,331,3,483302,57151,31127,11.825111421016258,6.4404864867101725,4
"Alumina, aluminum, and other nonferrous metal production and processing",Durable Goods,"3313,4",31331400,5,120.3,3313,3313,4,65352,10246,5745,15.678173583057903,8.790855673889093,1
Foundries,Durable Goods,3315,31331500,5,101.6,3315,3315,4,70248,8954,6096,12.746270356451427,8.67782712675094,1
Forging and stamping,Durable Goods,3321,31332100,5,86.2,3321,3321,4,38101,5080,3041,13.332983386262828,7.981417810556153,1
Architectural and structural metals manufacturing,Durable Goods,3323,31332300,5,419.9,3323,332,3,1172395,169192,80218,14.431313678410435,6.84223320638522,7
"Boiler, tank, and shipping container manufacturing",Durable Goods,3324,31332400,5,94.5,3324,332,3,1172395,169192,80218,14.431313678410435,6.84223320638522,7
"Hardware, spring, and wire product manufacturing",Durable Goods,"3325,6",31332600,5,61.7,3325,332,3,1172395,169192,80218,14.431313678410435,6.84223320638522,7
"Machine shops; turned product; and screw, nut, and bolt manufacturing",Durable Goods,3327,31332700,5,331.9,3327,3327,4,318391,44255,17547,13.899576307119235,5.511148242255592,1
"Coating, engraving, heat treating, and allied activities",Durable Goods,3328,31332800,5,128.8,3328,3328,4,66541,11191,6195,16.81820231135691,9.310049443200432,1
"Cutlery, handtool, and other fabricated metal product manufacturing",Durable Goods,3329,31332900,5,318.6,3329,3329,4,39984,4305,1218,10.766806722689076,3.046218487394958,1
"Agriculture, construction, and mining machinery manufacturing",Durable Goods,3331,31333100,5,201.2,3331,3331,4,327795,46012,23697,14.036821794109123,7.229213380313916,2
Industrial machinery manufacturing,Durable Goods,3332,31333200,5,127.8,3332,333,3,1407929,215371,104502,15.297007164423773,7.422391327971795,6
Commercial and service industry machinery manufacturing,Durable Goods,3333,31333300,5,83.4,3333,3333,4,75134,15233,7842,20.27444299518194,10.437351931216227,1
"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing",Durable Goods,3334,31333400,5,147.9,3334,333,3,1407929,215371,104502,15.297007164423773,7.422391327971795,6
Metalworking machinery manufacturing,Durable Goods,3335,31333500,5,149.9,3335,3335,4,107545,11038,5830,10.263610581616996,5.420986563764005,1
"Engine, turbine, and power transmission equipment manufacturing",Durable Goods,3336,31333600,5,93.6,3336,3336,4,60571,9289,4134,15.335721715012134,6.825048290436017,1
Other general purpose machinery manufacturing,Durable Goods,3339,31333900,5,280.7,3339,333,3,1407929,215371,104502,15.297007164423773,7.422391327971795,6
Computer and peripheral equipment manufacturing,Durable Goods,3341,31334100,5,98.7,3341,3341,4,98243,34688,12081,35.3083680262207,12.297059332471525,1
Communications equipment manufacturing,Durable Goods,3342,31334200,5,81.2,3342,334,3,1091710,344908,150519,31.59337186615493,13.787452711800752,4
Semiconductor and other electronic component manufacturing,Durable Goods,3344,31334400,5,368.7,3344,334,3,1091710,344908,150519,31.59337186615493,13.787452711800752,4
"Navigational, measuring, electromedical, and control instruments manufacturing",Durable Goods,3345,31334500,5,411.4,3345,3345,4,182052,37842,13524,20.78636872981346,7.428646760266297,1
Manufacturing and reproducing magnetic and optical media and audio and video equipment manufacturing,Durable Goods,"3343,6",31334600,5,27.3,3343,334,3,1091710,344908,150519,31.59337186615493,13.787452711800752,4
Electric lighting equipment manufacturing,Durable Goods,3351,31335100,5,35.5,3351,335,3,455663,91866,41899,20.16095228271771,9.195172748281076,2
Household appliance manufacturing,Durable Goods,3352,31335200,5,56.6,3352,3352,4,73876,14246,7816,19.2836645189236,10.579890627538036,1
Electrical equipment manufacturing,Durable Goods,3353,31335300,5,166,3353,335,3,455663,91866,41899,20.16095228271771,9.195172748281076,2
Other electrical equipment and component manufacturing,Durable Goods,3359,31335900,5,176.3,3359,335,3,455663,91866,41899,20.16095228271771,9.195172748281076,2
Motor vehicle manufacturing,Durable Goods,3361,31336100,5,287.9,3361,336,3,2770847,441107,184999,15.919572607220825,6.676622707785743,6
Motor vehicle body and trailer manufacturing,Durable Goods,3362,31336200,5,151.8,3362,336,3,2770847,441107,184999,15.919572607220825,6.676622707785743,6
Motor vehicle parts manufacturing,Durable Goods,3363,31336300,5,511.4,3363,336,3,2770847,441107,184999,15.919572607220825,6.676622707785743,6
Aerospace product and parts manufacturing,Durable Goods,3364,31336400,5,579.9,3364,3364,4,1068294,171358,43543,16.040340954830786,4.075937897245515,2
Ship and boat building,Durable Goods,3366,31336600,5,148.5,3366,3366,4,204053,23721,11657,11.62492097641299,5.712731496228921,1
Railroad rolling stock and other transportation equipment manufacturing,Durable Goods,"3365,9",31336900,5,57.5,3365,3365,4,30266,4735,2501,15.644617722857332,8.263397872199828,1
Household and institutional furniture and kitchen cabinet manufacturing,Durable Goods,3371,31337100,5,209.6,3371,337,3,356844,68173,39420,19.10442658416563,11.046843999058412,1
Office furniture (including fixtures) and other furniture related product manufacturing,Durable Goods,3372,31337200,5,124.3,3372,337,3,356844,68173,39420,19.10442658416563,11.046843999058412,1
Medical equipment and supplies manufacturing,Durable Goods,3391,31339100,5,323.5,3391,3391,4,838717,200263,73326,23.877303071238572,8.74263905465133,1
Other miscellaneous manufacturing,Durable Goods,3399,31339900,5,285.9,3399,3399,4,613697,115513,59937,18.822480800786057,9.766546031673611,2
Animal food manufacturing,Nondurable Goods,3111,32311100,5,75.7,3111,311,3,1662423,482900,300114,29.04796192064234,18.05280605477667,9
Grain and oilseed milling,Nondurable Goods,3112,32311200,5,66.1,3112,311,3,1662423,482900,300114,29.04796192064234,18.05280605477667,9
Sugar and confectionery product manufacturing,Nondurable Goods,3113,32311300,5,79.8,3113,3113,4,78534,21060,10624,26.81641072656429,13.52789874449283,1
Fruit and vegetable preserving and specialty food manufacturing,Nondurable Goods,3114,32311400,5,172.9,3114,3114,4,139161,41337,21670,29.70444305516632,15.571891550075092,1
Dairy product manufacturing,Nondurable Goods,3115,32311500,5,169.6,3115,3115,4,154897,30923,15779,19.96358870733455,10.186769272484296,1
Animal slaughtering and processing,Nondurable Goods,3116,32311600,5,568.2,3116,3116,4,436886,155976,108592,35.70176201572035,24.855912068594556,1
Seafood product preparation and packaging,Nondurable Goods,3117,32311700,5,33.4,3117,311,3,1662423,482900,300114,29.04796192064234,18.05280605477667,9
