STATEFIP,nat_epop_prime_pre,nat_unrate_prime_pre,for_epop_prime_pre,for_unrate_prime_pre,for_pop_pre,tot_pop_pre,construction_emp_share_pre,n_obs_pre,n_for_obs_pre,nat_epop_prime_post,nat_unrate_prime_post,for_epop_prime_post,for_unrate_prime_post,for_pop_post,tot_pop_post,construction_emp_share_post,n_obs_post,n_for_obs_post,state_name,d_nat_epop,d_nat_unrate,d_for_epop,d_for_unrate,d_log_for_pop,for_share_pre
1,0.7646370099744932,0.03451285689516463,0.7414209583280301,0.020010049479085117,2361760.3230999988,48841289.9112,0.07742123087585007,19395,910,0.7744955233469253,0.03186780418552779,0.7351706839766392,0.031201940170562697,2598206.1628,45591584.88489976,0.07544176308402364,15009,768,Alabama,0.009858513372432043,-0.0026450527096368442,-0.0062502743513909165,0.01119189069147758,0.09541402891519901,0.04835581384918365
2,0.7727905095700214,0.044703198609400537,0.8237895809451494,0.01739136215654864,513531.8939999998,6607719.995500042,0.07435784087271399,10601,816,0.7953250711765264,0.04945780907779212,0.8749359673220485,0.03082047334862367,466235.33929999964,6152140.999300004,0.062049216645185944,10051,770,Alaska,0.02253456160650502,0.004754610468391582,0.051146386376899056,0.01342911119207503,-0.09662161183965878,0.07771695749059022
4,0.8367881662569193,0.03137446822141703,0.7840030886103806,0.022252580612781195,13459844.069000006,72330788.13480037,0.07583617786831481,15088,2897,0.7983773784349351,0.04624250104219464,0.7751938995528527,0.04256221629766397,11923047.220199991,67963141.20140031,0.07939591483411541,13436,2327,Arizona,-0.03841078782198426,0.014868032820777609,-0.008809189057527922,0.020309635684882775,-0.12123747113421857,0.18608734145016315
5,0.784182829220669,0.03131114082461715,0.7528374812819583,0.023877486409439378,1784843.8234000008,29050075.96540033,0.079673410249257,18063,1057,0.8044222880710213,0.034199310846879785,0.7948784091171666,0.03659772669316871,1821983.4928999993,27031999.93719997,0.07565451762547606,14016,833,Arkansas,0.020239458850352388,0.0028881700222626386,0.0420409278352083,0.012720240283729329,0.020594821407240005,0.06144024633621657
6,0.7952031329952532,0.04313670093188704,0.7665890572300348,0.04302867350241275,124499187.5141991,374458233.2055958,0.07301583613974151,84219,28271,0.7963319179664562,0.045852203771175694,0.7779502726714309,0.0368362810574748,109791857.50399956,349521971.4103058,0.06895242850607285,71025,22434,California,0.0011287849712029452,0.002715502839288654,0.011361215441396122,-0.0061923924449379456,-0.1257128210902465,0.3324781683885235
8,0.8445260217503835,0.036750467635724995,0.7710540142831491,0.05531205629553952,7162577.143100004,57274807.968999475,0.09528909142244987,12298,1498,0.8294888841294709,0.03397468370457009,0.7727180528722519,0.012224027500956516,6352791.390500005,53548572.01670015,0.08655187321345367,10464,1154,Colorado,-0.015037137620912633,-0.002775783931154907,0.0016640385891028009,-0.043088028794583004,-0.11997554702945834,0.12505632750400167
9,0.8466493158548267,0.024013911859502447,0.7962586363202442,0.04135183281911586,6769682.168900009,35548934.9881001,0.06804847853910673,10991,1982,0.8259255405074604,0.04442347821991123,0.7950911008722422,0.04633141234407324,6086751.684700004,33295229.00709999,0.06733590014903358,9402,1619,Connecticut,-0.020723775347366358,0.020409566360408783,-0.0011675354480019662,0.004979579524957381,-0.10633958452079995,0.190432770240969
10,0.8370374681209247,0.026789910724503315,0.8082172165595319,0.03311798107707592,1565422.9484999978,10143765.985599963,0.06768173364970101,11360,1643,0.8256891363292422,0.04120689139968559,0.8356405244837896,0.03229860427105013,1363138.6626999988,9561770.987700012,0.06966089505617905,10091,1248,Delaware,-0.011348331791682487,0.014416980675182278,0.027423307924257623,-8.193768060257914e-4,-0.13836616111698774,0.1543236457467832
11,0.8565050542123914,0.040594635519202414,0.8488223276523715,0.03469959303242419,1099889.5222999984,6752449.997500023,0.020595089989841987,14433,2443,0.838789075307846,0.05608650968291402,0.8500460149857376,0.05094936263081257,1117104.1182999986,6340630.986000015,0.02065124753111523,12758,2190,District of Columbia,-0.01771597890454546,0.015491874163711603,0.0012236873333660858,0.016249769598388378,0.015529987699361314,0.16288747383649096
12,0.7899518377940787,0.027283223109238308,0.796611473192752,0.02848523032644858,60086178.79640008,225560547.1376984,0.09103647814043164,46180,11901,0.7861572663545028,0.04113746567724619,0.8210178926713149,0.032412941663063875,57660265.00230024,213107216.27589688,0.0885592024632413,37841,9880,Florida,-0.0037945714395759556,0.01385424256800788,0.024406419478562813,0.003927711336615295,-0.04121155683753486,0.26638603053094717
13,0.8005603494834426,0.027828758048240258,0.7667131716286031,0.03194462477579483,16861514.44819994,104867105.93290065,0.073446643530732,20679,3193,0.8059009750845885,0.027731225781394347,0.7771141675995447,0.02961655270403217,13711460.29129997,98551851.82659951,0.07160406103888615,17750,2259,Georgia,0.005340625601145899,-9.753226684591082e-5,0.010400995970941573,-0.002328072071762659,-0.20680177270122613,0.16078935618752366
15,0.8230999207679838,0.023587689104326272,0.8165655567784855,0.025764935225206103,2748518.7479000087,13485912.04069993,0.08588045413098622,15115,3146,0.8478220157753932,0.018673603555655272,0.813061725557845,0.03160190639537273,2555447.9677999937,12483738.039200049,0.09148064436647464,13303,2998,Hawaii,0.024722095007409406,-0.004914085548671,-0.003503831220640574,0.005836971170166624,-0.07283459128392522,0.20380666428826552
16,0.8226139129960662,0.02620822916593359,0.8045813492070922,0.03180076266755398,1610798.6036999996,18714690.990100097,0.08879018867454107,18001,1506,0.8157670477981093,0.034738530447901594,0.7997812030904212,0.030570697453731165,1351406.5683000002,17736829.96979999,0.09789066119529835,15219,1103,Idaho,-0.006846865197956964,0.008530301281968005,-0.004800146116671011,-0.001230065213822816,-0.17558413066727852,0.08607134387375659
17,0.8335682925106215,0.038001085135948506,0.7502125552040271,0.060112133026402635,21950793.200200092,120489080.00729994,0.051021444184589676,25747,4518,0.8247359592337703,0.04517411098043665,0.7742662811576215,0.03443549157576421,21101994.667999998,112927293.02269858,0.058203622734283735,20673,3754,Illinois,-0.008832333276851179,0.007173025844488146,0.02405372595359445,-0.025676641450638422,-0.03943570550924136,0.18218076857147703
