IND1990,emp_tot,emp_for,emp_nat,emp_noncit,n_obs,n_obs_for,foreign_share,noncit_share,usable
60,429812309.3502054,127097537.31110008,302714772.039102,91867107.75820038,125711,30406,0.29570474029291394,0.21373773100422833,TRUE
641,339013493.6204056,78519202.2172001,260494291.40319863,52848369.650599845,94053,19916,0.23161084645532806,0.1558886907014218,TRUE
842,332073425.1144019,32027213.002100006,300046212.11230177,10391114.912200006,101289,8083,0.09644617900714693,0.0312916184383625,TRUE
831,268649194.2501012,44198144.68129991,224451049.56880298,11722516.101099996,81584,11252,0.16451992273668717,0.04363503167698624,TRUE
840,202920084.2973008,35798318.39059985,167121765.90669912,12162629.215499999,59253,8576,0.1764158462409826,0.059938025640085865,TRUE
732,169724585.90520057,45278253.29020008,124446332.61500011,24209706.46870004,45719,10832,0.2667748638107751,0.1426411285058155,TRUE
850,137815194.31270164,24831338.23300009,112983856.07970075,13577354.71020001,42045,7029,0.18017852354260713,0.09851856159918836,TRUE
410,132951863.47940066,28762729.82669985,104189133.65270047,14083224.882100003,37078,6728,0.21633942596943215,0.10592724700155882,TRUE
810,109542220.3003006,13075369.84100003,96466850.45930046,5904426.350700002,31642,3346,0.11936374673760515,0.0539009190658499,TRUE
711,103916670.4618002,11480465.291099973,92436205.17070022,3701945.388499997,29722,2771,0.11047760903117268,0.035624172445563804,TRUE
712,102946001.17779946,16146033.372500002,86799967.80530012,5173173.4957000045,30286,3983,0.15683983047203517,0.050251330178093516,TRUE
601,100319606.19089939,16816557.546699967,83503048.64419948,8779692.735199986,29494,4192,0.1676298201838984,0.08751721690865695,TRUE
910,95767164.21609986,6090861.173900007,89676303.04219978,1167870.6555999997,28629,1429,0.06360072602918365,0.012194896498811265,TRUE
591,89076070.92950052,13399827.02879999,75676243.90070039,6126709.146299988,26547,3495,0.1504312761999271,0.06878063976518438,TRUE
741,79806318.27770068,11646585.607300006,68159732.6703999,5380791.593200006,22506,2838,0.1459356334015257,0.06742312775883931,TRUE
871,75311179.0772003,12880400.112399971,62430778.96479983,4161169.229299997,22615,3194,0.17102905930069795,0.055253008654059826,TRUE
892,72047238.76949981,12122397.65170001,59924841.1178001,5145637.780199995,21015,3063,0.16825624213695553,0.07142033293826007,TRUE
700,70581376.96369968,11871030.17759998,58710346.786099784,4042535.6982999975,21482,3115,0.16818926873168405,0.05727482052920407,TRUE
882,67364180.17820044,9235311.559800014,58128868.61840054,3464498.631800003,20513,2326,0.1370952861798299,0.051429389070501014,TRUE
722,63777334.22640023,27884574.849600013,35892759.376800016,20466875.636400063,17766,6995,0.43721762892462457,0.3209114316968101,TRUE
841,60956196.56839984,6268463.689399997,54687732.87899991,1571112.6224999991,18462,1570,0.1028355449042176,0.025774452983414586,TRUE
812,58838815.84719981,8290432.379300007,50548383.46789983,2203328.522499999,17143,2076,0.14090073465838718,0.03744685359103564,TRUE
710,56476096.19069997,9227214.054699995,47248882.135999955,3448429.973300004,15530,2289,0.16338264641279257,0.0610599918531172,TRUE
922,56213838.96010001,8121792.791200006,48092046.16889982,1948691.8381,17873,2084,0.14448030843374296,0.03466569574590273,TRUE
20,53869442.53349966,20973879.972900003,32895562.560599916,16427321.9054,15108,5047,0.3893465197798739,0.30494694455366567,TRUE
862,52382646.71540032,9399500.039200004,42983146.67620034,4554603.738300007,15752,2376,0.17943919653904358,0.08694871343644743,TRUE
351,51606011.04120006,8187512.281099984,43418498.76009999,4903958.252399993,13339,1920,0.15865423651061542,0.0950268806570785,TRUE
751,49701481.975499935,11539432.42689997,38162049.54859994,6983439.92039999,14542,2606,0.2321748158855357,0.14050767990866825,TRUE
10,49700369.83580006,12163795.436399974,37536574.39940002,9091172.269300023,17625,3290,0.24474255375939227,0.182919610041845,TRUE
682,48003394.99380008,6543087.384199993,41460307.60960005,3023110.4947000016,14043,1582,0.1363046798053569,0.06297701433597465,TRUE
832,47919351.04090014,9197967.795999996,38721383.24489991,3249403.6665999927,14555,2355,0.19194683559360692,0.06780984291349355,TRUE
900,46536762.25200009,4472098.793899999,42064663.458100125,1100325.0161999997,15223,1163,0.09609819371797387,0.023644210790635938,TRUE
432,45628188.98519995,10329148.996800002,35299039.98839994,4840332.500599996,12826,2410,0.22637648406668923,0.10608206479924101,TRUE
890,45406807.62979996,7275974.529699984,38130833.10010008,2331029.543299998,13256,1728,0.16023972856715094,0.05133656526362295,TRUE
612,45265716.41359987,5419756.529400008,39845959.88419999,2222985.957699999,13359,1303,0.11973203914147414,0.049109704514300224,TRUE
702,43179906.53139976,6849195.756100003,36330710.77529986,3056352.988900001,11457,1721,0.15861997642628925,0.07078183429316756,TRUE
791,42232685.53590015,11944980.410599994,30287705.12529995,4325165.478400004,12106,3023,0.2828373393504917,0.10241275030268607,TRUE
762,41502798.873000145,14262721.126899974,27240077.746099953,7858538.0633999985,13213,4123,0.34365685000051066,0.18934959272138174,TRUE
411,40626837.55679996,10472141.17350002,30154696.383299977,6902385.7843,10036,2419,0.2577641235023284,0.16989719602589903,TRUE
580,37916097.711899914,3623876.231699998,34292221.480199926,2090923.1840999995,11811,913,0.09557619191815327,0.05514605432203447,TRUE
932,37555599.50889965,4692282.506200004,32863317.002699982,1704448.8450000018,13069,1703,0.1249422873701713,0.04538467944297079,TRUE
772,36889713.35270015,7856413.4443,29033299.90840001,3051363.070099999,10628,1899,0.21297030337930092,0.08271582489476444,TRUE
342,36439409.88920002,10083196.928099988,26356212.961099923,4575194.435499998,10559,2584,0.27671131225120266,0.1255562164538785,TRUE
880,36026574.84909973,3476906.357600003,32549668.491499882,1556068.564200001,11320,943,0.09650948979089216,0.043192242690783735,TRUE
881,35315023.30719991,3437832.7745999973,31877190.532599926,1038342.9140999996,12524,1095,0.09734760033130442,0.02940230012217791,TRUE
820,34201827.16379996,5864196.300699999,28337630.863099933,1960878.9406000003,10423,1456,0.17145856777227406,0.057332578496725524,TRUE
