OCC2010,emp_tot,emp_for,emp_nat,emp_noncit,n_obs,n_obs_for,foreign_share,noncit_share,usable
430,240002791.5076017,36956628.57050005,203046162.93710178,14262448.550899994,73405,9341,0.15398416134392967,0.05942617775947099,TRUE
9130,128460455.05930029,28537122.462699905,99923332.5966002,13390403.561800007,37871,6693,0.22214713819538096,0.1042375535383141,TRUE
3255,125240314.22800085,21261786.94829997,103978527.27970053,4433157.440199996,38046,5195,0.16976791442404673,0.03539720790008082,TRUE
2310,125141333.00460057,9986294.077399997,115155038.92720048,2935733.1655999967,37583,2483,0.07980012548717913,0.02345934069195244,TRUE
4700,111219534.43190038,15880267.977099998,95339266.45480028,5835274.609900001,34119,3910,0.14278308265013887,0.0524662743798207,TRUE
5240,98572779.70419976,12483140.0838,86089639.62039989,5501622.625299994,27597,3036,0.12663881571829252,0.05581279783130224,TRUE
4760,97046423.03700043,13795311.492600022,83251111.54440011,6039329.031699992,28543,3340,0.1421516740224454,0.06223134086454073,TRUE
4720,95437993.5209004,14850388.882999962,80587604.63789989,8258332.761999998,27125,3659,0.1556024842427959,0.08653087158827862,TRUE
6260,81190466.08099985,37274796.38729985,43915669.69370004,30003982.609899998,22436,9002,0.4591031211732738,0.3695505649637047,TRUE
4220,80720508.33049971,26591039.760200035,54129468.57029965,17702424.410300013,24109,6807,0.32942111379336775,0.21930516514861031,TRUE
9620,79956162.8586999,14810148.253600009,65146014.60509973,9795531.186100012,22092,3567,0.18522835168782165,0.12251127162531382,TRUE
5700,79590770.96700056,7199886.365700005,72390884.60130021,2647794.8288000016,25590,1867,0.09046132206314697,0.03326761126485148,TRUE
1020,78478964.98780008,29975241.29950016,48503723.68829982,18221477.636600014,20898,7287,0.3819525563845032,0.23218295041776643,TRUE
4020,72905405.22499986,26021020.70990005,46884384.51509987,19208704.59370004,20725,6610,0.35691483545828,0.26347435467121194,TRUE
3600,71311988.89750013,19871616.66739998,51440372.23010002,7862399.904400003,20025,4704,0.27865744560795147,0.11025354959179413,TRUE
4110,64884609.107200064,12411180.978300005,52473428.1289001,8151290.130800005,17905,3227,0.19128081603750882,0.1256274830496818,TRUE
10,63648030.67120021,8844886.547399998,54803144.12380041,2672502.245299994,19485,2327,0.13896559648627396,0.041988765671413956,TRUE
5620,61155808.398400046,9088045.474699995,52067762.92370001,5113551.773299994,17409,2275,0.14860478035865118,0.08361514477885267,TRUE
800,60815618.73429986,10510951.39679999,50304667.33749994,2980045.7820999976,17415,2567,0.17283309149121326,0.04900132308313192,TRUE
4610,55461896.72339988,15357603.042600006,40104293.68079997,6068946.45230001,16060,3883,0.2769036753140917,0.10942551212352365,TRUE
2540,51077154.90599977,9301504.293499982,41775650.61249975,5295827.947700009,15312,2465,0.1821069382313497,0.10368290789583377,TRUE
120,50945802.71049972,8106894.518400022,42838908.19209992,2877142.5311000003,15070,2061,0.1591278199004454,0.05647457450909951,TRUE
