STATEFIP,emp_tot,emp_for,emp_nat,emp_noncit,n_obs,n_obs_for,foreign_share,noncit_share,usable
6,664741537.2165966,221128782.98400083,443612754.2325947,107848835.1407996,146788,49521,0.33265377684973696,0.16224175728868073,TRUE
48,524194267.84809834,127426181.32440056,396768086.5236983,77169024.18210016,101169,24836,0.24308961226818732,0.14721455177083756,TRUE
12,380160162.2247056,109151861.0493005,271008301.1753995,50136605.36899987,77539,21693,0.28712072409308076,0.1318828492591106,TRUE
36,333421578.4577979,92870304.47190012,240551273.98589823,37446327.9689,62834,17150,0.2785371747727329,0.11230925167502226,TRUE
42,226345238.76069927,24702293.61599994,201642945.1446999,10781160.051299991,47397,4817,0.10913546823980749,0.047631485912094845,TRUE
17,223252599.23450252,43054161.11679994,180198438.11770073,22361311.007500056,47052,8973,0.19284954022674666,0.10016148113918233,TRUE
39,203060376.953499,14678421.31859996,188381955.63489956,6820757.509299998,41345,2751,0.07228599463282456,0.03358980029305253,TRUE
13,186985162.37299913,32276057.00509999,154709105.3679001,17203301.03459996,35832,6054,0.17261293139781603,0.09200356229486653,TRUE
37,181612470.97259977,25976725.904799923,155635745.0678007,16849685.429800007,40801,5834,0.1430338223233529,0.09277824006007909,TRUE
26,172348199.0199012,15917171.523699975,156431027.49620175,6541209.751800006,38129,3503,0.0923547307962412,0.03795345578890957,TRUE
34,165134403.625599,54299170.96879998,110835232.65680064,23893360.148800034,32698,10696,0.3288180401941547,0.14469038325273673,TRUE
51,157935328.8447986,29296740.152199987,128638588.69260027,12542850.066700017,33201,6112,0.18549833255477366,0.07941763352407202,TRUE
53,137922406.92079937,26610265.74860015,111312141.17219976,14024594.132899974,33151,6348,0.1929364948211848,0.10168466782162135,TRUE
25,131308977.13269906,30944341.39790002,100364635.73480007,14867184.730900029,41136,9474,0.23566051669588509,0.1132229117577807,TRUE
4,128020988.64280038,24304457.514200024,103716531.12859972,13468140.538799966,26445,5216,0.1898474443281598,0.10520259749265251,TRUE
18,118745195.22809923,10905154.609600011,107840040.61849935,6659585.514799994,28132,2352,0.09183659674525908,0.05608298931175706,TRUE
47,118389654.74900036,10019183.464599982,108370471.28440022,6319396.0853,30328,2433,0.08462887644905967,0.053377941668111495,TRUE
