date,unrate_nat
2018-01-01,0.045
2018-02-01,0.045
2018-03-01,0.040999999999999995
2018-04-01,0.037000000000000005
2018-05-01,0.037000000000000005
2018-06-01,0.043
2018-07-01,0.043
2018-08-01,0.040999999999999995
2018-09-01,0.037000000000000005
2018-10-01,0.036000000000000004
2018-11-01,0.035
2018-12-01,0.038
2019-01-01,0.044000000000000004
2019-02-01,0.040999999999999995
2019-03-01,0.039
2019-04-01,0.034
2019-05-01,0.035
2019-06-01,0.040999999999999995
2019-07-01,0.042
2019-08-01,0.039
2019-09-01,0.035
2019-10-01,0.035
2019-11-01,0.034
2019-12-01,0.034
2020-01-01,0.04
2020-02-01,0.038
2020-03-01,0.045
2020-04-01,0.14
2020-05-01,0.124
2020-06-01,0.107
2020-07-01,0.10099999999999999
2020-08-01,0.08199999999999999
2020-09-01,0.075
2020-10-01,0.064
2020-11-01,0.063
2020-12-01,0.063
2021-01-01,0.065
2021-02-01,0.064
2021-03-01,0.06
2021-04-01,0.055999999999999994
2021-05-01,0.055
2021-06-01,0.062
2021-07-01,0.057
2021-08-01,0.053
2021-09-01,0.046
2021-10-01,0.043
2021-11-01,0.039
2021-12-01,0.037000000000000005
2022-01-01,0.044000000000000004
2022-02-01,0.042
2022-03-01,0.038
2022-04-01,0.033
2022-05-01,0.034
2022-06-01,0.039
2022-07-01,0.039
2022-08-01,0.038
2022-09-01,0.034
2022-10-01,0.034
2022-11-01,0.034
2022-12-01,0.033
2023-01-01,0.038
2023-02-01,0.038
2023-03-01,0.037000000000000005
2023-04-01,0.031
2023-05-01,0.035
2023-06-01,0.039
2023-07-01,0.038
2023-08-01,0.04
2023-09-01,0.036000000000000004
2023-10-01,0.036000000000000004
2023-11-01,0.035
2023-12-01,0.035
2024-01-01,0.04
2024-02-01,0.04
2024-03-01,0.04
2024-04-01,0.034
2024-05-01,0.038
2024-06-01,0.043
2024-07-01,0.045
2024-08-01,0.044000000000000004
2024-09-01,0.038
2024-10-01,0.039
2024-11-01,0.039
2024-12-01,0.037000000000000005
2025-01-01,0.043
2025-02-01,0.044000000000000004
2025-03-01,0.042
2025-04-01,0.039
2025-05-01,0.040999999999999995
2025-06-01,0.044000000000000004
2025-07-01,0.047
2025-08-01,0.046
2025-09-01,0.043
2025-10-01,NA
2025-11-01,0.043
2025-12-01,0.040999999999999995
2026-01-01,0.047
2026-02-01,0.047
2026-03-01,0.043
2026-04-01,0.040999999999999995
2026-05-01,0.042
2026-06-01,0.046
2026-07-01,0.046
2026-08-01,0.046
