date,ppop_nat,pemp_nat,prime_epop_nat
2018-01-01,100319,79754,0.7950039374395678
2018-02-01,100030,79856,0.7983205038488453
2018-03-01,99682,79784,0.8003852250155494
2018-04-01,100021,80133,0.8011617560312334
2018-05-01,100194,80559,0.8040301814479909
2018-06-01,100274,79951,0.797325328599637
2018-07-01,100717,80229,0.79657853192609
2018-08-01,100213,79903,0.797331683514115
2018-09-01,100155,80399,0.8027457440966502
2018-10-01,100271,80993,0.8077410218308384
2018-11-01,100359,81008,0.8071822158451161
2018-12-01,100529,80924,0.8049816470869102
2019-01-01,100044,80413,0.8037763384110991
2019-02-01,99950,80353,0.8039319659829915
2019-03-01,99716,80335,0.8056380119539492
2019-04-01,99842,80529,0.8065643717072976
2019-05-01,99795,80532,0.8069742973094844
2019-06-01,100034,80154,0.801267569026531
2019-07-01,100555,80219,0.7977624185768982
2019-08-01,100660,80832,0.8030200675541427
2019-09-01,100858,81696,0.8100101132284995
2019-10-01,100969,82030,0.8124275767809922
2019-11-01,100817,82042,0.8137714869516054
2019-12-01,101282,82375,0.81332319661934
2020-01-01,100830,81800,0.8112664881483685
2020-02-01,100772,81682,0.8105624578255864
2020-03-01,100773,81177,0.8055431514393736
2020-04-01,100356,71554,0.7130017138985213
2020-05-01,100499,73463,0.7309823978348043
2020-06-01,100750,75231,0.7467096774193548
2020-07-01,100896,74987,0.7432108309546464
2020-08-01,101157,76735,0.7585733068398628
2020-09-01,101574,77515,0.7631382046586725
2020-10-01,101407,78524,0.7743449663238238
2020-11-01,101129,78058,0.7718656369587359
2020-12-01,101154,78061,0.771704529726951
2021-01-01,100985,77756,0.7699757389711344
2021-02-01,100881,78030,0.7734855919350522
2021-03-01,100897,78345,0.7764849301763185
2021-04-01,100864,78714,0.780397366751269
2021-05-01,100930,78769,0.7804319825621718
2021-06-01,100799,78126,0.7750672129683827
2021-07-01,100927,78680,0.7795733549991578
2021-08-01,100858,78895,0.7822383945745504
2021-09-01,100759,79437,0.7883861491281176
2021-10-01,100627,79880,0.7938227314736601
2021-11-01,100264,79991,0.7978037979733503
2021-12-01,100247,80028,0.798308178798368
2022-01-01,100888,80222,0.7951589881849179
2022-02-01,100999,80779,0.7997999980197824
2022-03-01,101017,81584,0.8076264391142085
2022-04-01,100946,81646,0.8088086699819705
2022-05-01,100736,81534,0.8093829415501906
2022-06-01,100638,80759,0.8024702398696317
2022-07-01,100706,80629,0.8006374992552578
2022-08-01,100575,80979,0.8051603281133483
2022-09-01,100424,81244,0.8090097984545527
2022-10-01,100330,81100,0.8083325027409548
2022-11-01,100175,80827,0.8068579985026204
2022-12-01,100434,81384,0.8103231973236155
2023-01-01,100899,81541,0.8081447784418081
2023-02-01,100503,81685,0.8127618081052307
2023-03-01,100540,81954,0.8151382534314701
2023-04-01,100948,82241,0.8146867694258431
2023-05-01,100598,81951,0.8146384619972564
2023-06-01,101304,82283,0.8122384111190082
2023-07-01,101462,82178,0.80993869626066906
2023-08-01,100790,81741,0.8110030757019545
2023-09-01,101163,82615,0.8166523333629885
2023-10-01,101251,82677,0.8165548982232275
2023-11-01,101090,82688,0.8179641903254525
2023-12-01,100846,82100,0.8141126073418876
2024-01-01,101082,82012,0.81134128727172
2024-02-01,100275,81679,0.8145499875342808
2024-03-01,100002,81674,0.8167236655266895
2024-04-01,100755,82547,0.8192844027591683
2024-05-01,100686,82265,0.8170450708142145
2024-06-01,100899,81779,0.8105035728798105
2024-07-01,100823,81898,0.8122948136833857
2024-08-01,100206,81255,0.8108795880486198
2024-09-01,100551,82241,0.8179033525275731
2024-10-01,100927,82330,0.8157381077412387
2024-11-01,101009,82357,0.815343187240741
2024-12-01,101318,82497,0.8142383386959869
2025-01-01,102023,82753,0.8111210217303941
2025-02-01,102014,82762,0.8112808045954477
2025-03-01,101703,82574,0.8119131195736605
2025-04-01,102189,83447,0.81659474111695
2025-05-01,102245,83257,0.8142892072962004
2025-06-01,102832,83625,0.8132196203516415
2025-07-01,103358,83467,0.8075523907196347
2025-08-01,103391,83918,0.8116567206043079
2025-09-01,103743,84640,0.8158622750450633
2025-10-01,NA,NA,NA
2025-11-01,104008,84776,0.8150911468348588
2025-12-01,103780,84402,0.8132780882636346
2026-01-01,101940,82445,0.808760054934275
2026-02-01,102333,82943,0.8105205554415487
2026-03-01,102092,82736,0.8104063001998197
2026-04-01,102235,83233,0.8141341028023671
2026-05-01,102443,83261,0.8127544097693351
2026-06-01,102971,82838,0.8044789309611444
2026-07-01,103168,82928,0.8038151364764268
2026-08-01,102831,82791,0.8051171339382093
