state_name,arrests
Texas,143233
Florida,60247
California,50854
Georgia,22266
Arizona,20410
New York,19343
New Jersey,17831
Virginia,15571
Tennessee,14905
Pennsylvania,12843
Alabama,10863
North Carolina,10059
Massachusetts,9732
Oklahoma,9634
Louisiana,9401
Maryland,9177
Indiana,8452
South Carolina,7991
Illinois,7914
Utah,7693
Ohio,7101
Minnesota,6973
Colorado,6766
Washington,6438
Michigan,6386
New Mexico,6136
Arkansas,6037
Missouri,5230
Mississippi,4952
Kentucky,4944
Nevada,4902
Kansas,3758
Nebraska,3072
West Virginia,2960
Iowa,2797
Wisconsin,2620
Oregon,2504
Idaho,2190
District of Columbia,1896
Wyoming,1762
Connecticut,1456
Delaware,1153
South Dakota,1028
Rhode Island,882
Maine,803
New Hampshire,725
North Dakota,539
Hawaii,420
Montana,340
Alaska,186
Vermont,164
