state,unemployment rate_2025-01-01,unemployment rate_2026-07-01,unemployment_2025-01-01,unemployment_2026-07-01,employment_2025-01-01,employment_2026-07-01,labor force_2025-01-01,labor force_2026-07-01,employment-population ratio_2025-01-01,employment-population ratio_2026-07-01,labor force participation rate_2025-01-01,labor force participation rate_2026-07-01
Alabama,3.1,3.4,72543,79322,2305885,2286441,2378428,2365763,56,55,57.8,56.9
Alaska,4.5,4.3,16527,15876,346877,351387,363404,367263,62.4,62.9,65.4,65.7
Arizona,4.2,4.9,157097,181302,3624124,3528596,3781221,3709898,59.5,57.1,62.1,60.1
Arkansas,3.8,4,54116,58704,1370489,1399182,1424605,1457886,56.2,56.8,58.4,59.2
California,5.4,5.1,1061763,1006757,18702455,18542859,19764218,19549616,58.9,58.4,62.3,61.6
Colorado,4.3,3.9,141216,124961,3131838,3063937,3273054,3188898,64.7,62.9,67.6,65.5
Connecticut,3.6,5.2,69987,98402,1873242,1784496,1943229,1882898,62.2,58.9,64.5,62.2
Delaware,4.1,4.8,21280,24275,492313,482419,513593,506694,57.4,55.4,59.9,58.1
District of Columbia,5.7,5.9,23759,23795,391508,378090,415267,401885,68.6,66,72.8,70.2
Florida,3.5,4.6,392967,514468,10729092,10606247,11122059,11120715,56,54.8,58.1,57.4
Georgia,3.4,3.3,184452,179012,5229068,5301809,5413520,5480821,59,58.9,61.1,60.9
Hawaii,2.6,2.7,17745,18349,669946,672524,687691,690873,59.1,59.4,60.6,61
Idaho,3.7,3.6,36807,36240,968467,962624,1005274,998864,61.4,59.4,63.7,61.6
Illinois,4.7,4.9,314524,315683,6327533,6183912,6642057,6499595,61.8,60.2,64.8,63.3
Indiana,3.9,3.3,136010,114017,3369613,3375556,3505623,3489573,61.5,61,64,63.1
Iowa,3.5,3.2,61010,54700,1667740,1672222,1728750,1726922,65.2,65,67.6,67.1
Kansas,3.8,3.8,59063,58698,1503812,1497247,1562875,1555945,65.1,64.2,67.6,66.7
Kentucky,4.8,4.7,101972,99635,2008856,2004256,2110828,2103891,55.5,54.9,58.3,57.7
Louisiana,4.3,4.4,89992,92162,1995873,2018406,2085865,2110568,55.5,55.9,58,58.5
Maine,3.3,3.1,23484,22024,685445,677765,708929,699789,58,57,60,58.8
Maryland,3.5,4.2,113179,135267,3127131,3067697,3240310,3202964,62.6,61.1,64.9,63.8
Massachusetts,4.2,4.4,166500,168539,3782577,3702413,3949077,3870952,63.9,62.4,66.7,65.3
Michigan,5.3,4.9,270378,240895,4803978,4637066,5074356,4877961,58.6,56.2,61.9,59.1
Minnesota,3.4,4.3,106931,135707,3054119,2991339,3161050,3127046,66,64,68.3,66.9
Mississippi,3.9,3.6,50468,46435,1246259,1233798,1296727,1280233,53.7,53,55.9,55
Missouri,3.9,3.6,123711,113537,3033329,3053701,3157040,3167238,61.1,61,63.6,63.3
Montana,2.9,3.2,16945,18572,558861,555893,575806,574465,60.6,59.5,62.5,61.5
Nebraska,2.9,2.9,31440,31787,1059369,1064931,1090809,1096718,67.8,67.4,69.8,69.4
Nevada,5.4,5,89255,84361,1566138,1597236,1655393,1681597,59.4,59.7,62.8,62.8
New Hampshire,3,2.8,23600,21891,750579,753464,774179,775355,63.5,63.1,65.5,65
New Jersey,4.9,4.4,241632,216255,4655242,4694390,4896874,4910645,60.5,60.7,63.7,63.5
New Mexico,4.1,4.8,40953,46162,946248,924666,987201,970828,55.5,54.1,57.9,56.8
New York,4.1,4.4,405642,443056,9552383,9596567,9958025,10039623,58.4,58.6,60.9,61.3
North Carolina,3.8,3.6,200605,186094,5089862,5052141,5290467,5238235,57.5,55.9,59.7,58
North Dakota,2.6,2.2,10990,9628,417158,421783,428148,431411,67.7,67.7,69.5,69.2
Ohio,4.8,3.4,289136,199635,5681654,5667570,5970790,5867205,59.8,59.3,62.9,61.4
Oklahoma,3.1,4.3,61740,85395,1947777,1911895,2009517,1997290,61.1,59.3,63.1,61.9
Oregon,4.8,5.2,105475,114079,2100592,2090519,2206067,2204598,59.8,59.2,62.8,62.4
Pennsylvania,4.1,3.9,267176,261167,6260821,6389475,6527997,6650642,59,60,61.5,62.5
Rhode Island,4.5,3.9,26687,22407,567913,555083,594600,577490,61.5,59.7,64.4,62.1
South Carolina,4.1,4.2,106902,112452,2476946,2560474,2583848,2672926,55.9,56.4,58.3,58.8
South Dakota,2,2,9618,9733,479688,477386,489306,487119,66.8,65.4,68.1,66.8
Tennessee,3.5,3.4,123744,120277,3381007,3366158,3504751,3486435,58.3,57.2,60.4,59.3
Texas,4.1,4.5,648832,708363,15154410,15207172,15803242,15915535,62.2,61.3,64.9,64.2
Utah,3.3,3.6,61352,64847,1774601,1757697,1835953,1822544,66,63.9,68.3,66.3
Vermont,2.6,2.6,9029,8755,343448,329337,352477,338092,63.1,60.5,64.7,62.1
Virginia,3.2,3.7,145337,165371,4403078,4307200,4548415,4472571,62.7,60.7,64.8,63
Washington,4.4,5,176838,202809,3865279,3845508,4042117,4048317,60.2,59,62.9,62.1
West Virginia,3.8,4.1,30045,32038,752452,740564,782497,772602,52.5,51.6,54.6,53.8
Wisconsin,3.3,3.3,101997,102670,3035982,3036852,3137979,3139522,62.8,62.4,65,64.5
Wyoming,3.2,3,9440,8643,281204,276564,290644,285207,60.2,58.5,62.2,60.3
Puerto Rico,5.4,6,67040,74629,1165732,1170691,1232772,1245320,NA,NA,NA,NA
