state_name,industry_name,emp_start,emp_end,growth
Alabama,Mining and Logging,9.4,9.6,0.02127659574468077
Alabama,Construction,108.2,114.3,0.05637707948243986
Alabama,Manufacturing,285.1,280.6,-0.015783935461241683
Alabama,Professional and Business Services,261.1,268.1,0.02680965147453085
Alabama,Leisure and Hospitality,212.4,220.4,0.03766478342749524
Alabama,Government,426,431.2,0.012206572769952961
Alaska,Mining and Logging,13.1,13.9,0.06106870229007644
Alaska,Construction,19.5,18.3,-0.06153846153846154
Alaska,Manufacturing,12.5,12.9,0.03200000000000003
Alaska,Professional and Business Services,29.1,29.7,0.020618556701030855
Alaska,Leisure and Hospitality,36.1,38.4,0.06371191135734056
Alaska,Government,80.3,77.3,-0.03735990037359904
Arizona,Mining and Logging,15.3,17,0.11111111111111116
Arizona,Construction,227.3,228.1,0.003519577650681782
Arizona,Manufacturing,193.9,191.9,-0.010314595152140282
Arizona,Professional and Business Services,461,469.2,0.017787418655097698
Arizona,Leisure and Hospitality,371.9,360.5,-0.030653401452003126
Arizona,Government,434.9,426.3,-0.019774660841572644
Arkansas,Mining and Logging,4.9,4.8,-0.020408163265306256
Arkansas,Construction,66.9,67.5,0.008968609865470656
Arkansas,Manufacturing,160.8,159,-0.011194029850746356
Arkansas,Professional and Business Services,162.8,166.2,0.020884520884520752
Arkansas,Leisure and Hospitality,130.9,133.9,0.02291825821237592
Arkansas,Government,206.3,204.8,-0.007270964614638831
California,Mining and Logging,18.6,18.2,-0.021505376344086113
California,Construction,902.3,886.8,-0.017178322065831808
California,Manufacturing,1232.4,1203,-0.02385589094449858
California,Professional and Business Services,2757.7,2741,-0.00605577111360911
California,Leisure and Hospitality,2016.1,2053.5,0.018550667129606735
California,Government,2736.2,2663.4,-0.02660624223375474
Colorado,Mining and Logging,21.8,20.1,-0.07798165137614677
Colorado,Construction,188.2,188.6,0.002125398512221155
Colorado,Manufacturing,148.3,144.5,-0.025623735670937342
Colorado,Professional and Business Services,491.1,490.3,-0.0016289961311342083
Colorado,Leisure and Hospitality,352.2,357.1,0.013912549687677522
Colorado,Government,491.6,484.3,-0.014849471114727453
Connecticut,Mining and Logging,0.4,0.5,0.25
Connecticut,Construction,63.7,66.1,0.037676609105180336
Connecticut,Manufacturing,154.2,157,0.0181582360570689
Connecticut,Professional and Business Services,221.2,223,0.008137432188065175
Connecticut,Leisure and Hospitality,155.2,154.4,-0.005154639175257603
Connecticut,Government,236.7,235.2,-0.006337135614702172
Delaware,Manufacturing,26.6,25.7,-0.03383458646616544
Delaware,Professional and Business Services,64.6,66.3,0.026315789473684292
Delaware,Leisure and Hospitality,53.2,51,-0.0413533834586467
Delaware,Government,72.2,71.8,-0.005540166204986208
District of Columbia,Manufacturing,1.1,1,-0.09090909090909094
District of Columbia,Professional and Business Services,169.9,161.5,-0.04944084755738676
District of Columbia,Leisure and Hospitality,77.7,76.1,-0.0205920205920207
District of Columbia,Government,235.5,207.6,-0.11847133757961781
Florida,Construction,656.5,656.8,4.5696877380030365e-4
Florida,Manufacturing,428.4,430,0.0037348272642390157
Florida,Professional and Business Services,1620.3,1627.9,0.0046904894155404
Florida,Leisure and Hospitality,1333.6,1345.6,0.008998200359928044
Florida,Government,1150.8,1138.7,-0.01051442474800135
Georgia,Mining and Logging,9.6,9.5,-0.01041666666666663
Georgia,Construction,231.8,232.4,0.0025884383088869978
Georgia,Manufacturing,427.9,426,-0.004440289787333462
Georgia,Professional and Business Services,747.4,737.8,-0.012844527696012853
Georgia,Leisure and Hospitality,515.7,515.7,0
Georgia,Government,716.3,705.8,-0.014658662571548242
Hawaii,Manufacturing,13,12.7,-0.023076923076923106
Hawaii,Professional and Business Services,72.9,72.2,-0.009602194787380003
Hawaii,Leisure and Hospitality,120.6,122.3,0.014096185737976885
Hawaii,Government,128.3,125.6,-0.0210444271239284
Idaho,Mining and Logging,4.3,4.6,0.06976744186046502
Idaho,Construction,73.6,76.6,0.040760869565217295
Idaho,Manufacturing,75,77,0.026666666666666616
Idaho,Professional and Business Services,109.9,111.6,0.015468607825295688
Idaho,Leisure and Hospitality,94.1,92.5,-0.01700318809776824
Idaho,Government,130.5,128.8,-0.013026819923371513
Illinois,Mining and Logging,6.9,7.3,0.05797101449275344
Illinois,Construction,236.8,252.6,0.0667229729729728
Illinois,Manufacturing,570.9,571.3,7.006480994919961e-4
Illinois,Professional and Business Services,911.5,907.7,-0.004168952276467297
Illinois,Leisure and Hospitality,606.7,605.1,-0.0026372177352893544
Illinois,Government,852.8,857.3,0.005276735459662341
Indiana,Mining and Logging,5.2,5.3,0.019230769230769162
Indiana,Construction,171.6,181.7,0.05885780885780889
Indiana,Manufacturing,518.5,513.4,-0.00983606557377048
Indiana,Professional and Business Services,354.1,357.9,0.01073143179892666
Indiana,Leisure and Hospitality,313.4,299,-0.04594767070835981
Indiana,Government,434.7,416.4,-0.04209799861973773
Iowa,Mining and Logging,2.2,2.2,0
Iowa,Construction,84.2,87.1,0.03444180522565321
Iowa,Manufacturing,219.3,212.9,-0.02918376652986776
Iowa,Professional and Business Services,143.9,140.9,-0.020847810979847115
Iowa,Leisure and Hospitality,144.4,141.3,-0.02146814404432129
Iowa,Government,271.2,267.3,-0.014380530973451267
Kansas,Mining and Logging,6.2,5.9,-0.048387096774193505
Kansas,Construction,71.6,77.5,0.08240223463687157
Kansas,Manufacturing,173.3,173.5,0.0011540680900172795
Kansas,Professional and Business Services,174,174,0
Kansas,Leisure and Hospitality,133.3,137.9,0.03450862715678915
Kansas,Government,259.3,257,-0.00887003470883152
Kentucky,Mining and Logging,7.2,7,-0.02777777777777779
Kentucky,Construction,89.6,92.7,0.03459821428571441
Kentucky,Manufacturing,253.6,249.1,-0.01774447949526814
Kentucky,Professional and Business Services,222.9,223,4.4863167339603827e-4
Kentucky,Leisure and Hospitality,204.6,209.4,0.02346041055718473
Kentucky,Government,315.7,315.3,-0.0012670256572694383
Louisiana,Mining and Logging,28.6,27.5,-0.03846153846153855
Louisiana,Construction,141.9,151.7,0.06906272022551074
Louisiana,Manufacturing,139.7,143.6,0.027916964924838972
Louisiana,Professional and Business Services,223.7,227.2,0.015645954403218587
Louisiana,Leisure and Hospitality,225.3,225.2,-4.4385264092328125e-4
Louisiana,Government,324.7,326,0.0040036957191254
Maine,Mining and Logging,2,1.8,-0.09999999999999998
