state_name,industry_name,wage_start,wage_end,wage_growth_yoy,window_start,window_end
Alabama,Total Private,31.5,32.54,0.03301587301587294,2025-08-01,2026-08-01
Alabama,Construction,32.17,34.51,0.07273857631333525,2025-08-01,2026-08-01
Alabama,Leisure and Hospitality,18.1,18.45,0.01933701657458542,2025-08-01,2026-08-01
Alaska,Total Private,37.74,38.17,0.011393746687864414,2025-08-01,2026-08-01
Alaska,Construction,54.07,54.88,0.014980580728685133,2025-08-01,2026-08-01
Alaska,Leisure and Hospitality,23.7,24.2,0.021097046413502074,2025-08-01,2026-08-01
Arizona,Total Private,34.93,36.54,0.04609218436873741,2025-08-01,2026-08-01
Arizona,Construction,37.69,39.83,0.05677898646855928,2025-08-01,2026-08-01
Arizona,Leisure and Hospitality,22.6,23.78,0.052212389380530855,2025-08-01,2026-08-01
Arkansas,Total Private,29.78,30.05,0.00906648757555395,2025-08-01,2026-08-01
Arkansas,Construction,29.32,32.35,0.10334242837653473,2025-08-01,2026-08-01
Arkansas,Leisure and Hospitality,18.41,19.77,0.07387289516567086,2025-08-01,2026-08-01
California,Total Private,41.25,42.54,0.03127272727272734,2025-08-01,2026-08-01
California,Construction,47.08,50.95,0.08220050977060334,2025-08-01,2026-08-01
California,Leisure and Hospitality,27.78,28.35,0.02051835853131756,2025-08-01,2026-08-01
Colorado,Total Private,39.14,40.31,0.029892692897291795,2025-08-01,2026-08-01
Colorado,Construction,41.44,43.3,0.04488416988416977,2025-08-01,2026-08-01
Colorado,Leisure and Hospitality,27.15,28.72,0.05782688766114186,2025-08-01,2026-08-01
Connecticut,Total Private,38.98,39.75,0.01975371985633667,2025-08-01,2026-08-01
Connecticut,Construction,43.62,43.21,-0.009399358092617938,2025-08-01,2026-08-01
Connecticut,Leisure and Hospitality,24.34,25.11,0.03163516844700087,2025-08-01,2026-08-01
Delaware,Total Private,32.91,34.07,0.03524764509267708,2025-08-01,2026-08-01
Delaware,Leisure and Hospitality,20.49,21.55,0.051732552464617054,2025-08-01,2026-08-01
District of Columbia,Total Private,54.35,58.7,0.080036798528059,2025-08-01,2026-08-01
District of Columbia,Leisure and Hospitality,29.44,31.19,0.05944293478260865,2025-08-01,2026-08-01
Florida,Total Private,34.54,36.37,0.05298204979733634,2025-08-01,2026-08-01
Florida,Construction,34.71,37.65,0.08470181503889362,2025-08-01,2026-08-01
Florida,Leisure and Hospitality,22.15,23.96,0.0817155756207677,2025-08-01,2026-08-01
Georgia,Total Private,34.81,36.1,0.03705831657569658,2025-08-01,2026-08-01
Georgia,Construction,35.7,36.61,0.025490196078431282,2025-08-01,2026-08-01
Georgia,Leisure and Hospitality,19.59,20.62,0.052577845839714143,2025-08-01,2026-08-01
Hawaii,Total Private,37.29,40.76,0.09305443818718162,2025-08-01,2026-08-01
Hawaii,Leisure and Hospitality,28.39,30.86,0.08700246565692149,2025-08-01,2026-08-01
Idaho,Total Private,34.24,35.62,0.04030373831775691,2025-08-01,2026-08-01
Idaho,Construction,36.14,38.4,0.06253458771444387,2025-08-01,2026-08-01
Idaho,Leisure and Hospitality,20.84,20.9,0.0028790786948176272,2025-08-01,2026-08-01
Illinois,Total Private,35.25,36.93,0.047659574468085,2025-08-01,2026-08-01
Illinois,Construction,47.25,50.42,0.06708994708994709,2025-08-01,2026-08-01
Illinois,Leisure and Hospitality,23.87,24.26,0.016338500209468032,2025-08-01,2026-08-01
Indiana,Total Private,32.16,33.38,0.03793532338308481,2025-08-01,2026-08-01
Indiana,Construction,39.33,42.76,0.08721078057462495,2025-08-01,2026-08-01
Indiana,Leisure and Hospitality,19.41,19.58,0.008758371973209611,2025-08-01,2026-08-01
Iowa,Total Private,30.45,30.81,0.011822660098522064,2025-08-01,2026-08-01
Iowa,Construction,36.14,38.13,0.055063641394576646,2025-08-01,2026-08-01
Iowa,Leisure and Hospitality,19.39,19.81,0.02166064981949445,2025-08-01,2026-08-01
Kansas,Total Private,31.55,33.13,0.05007923930269409,2025-08-01,2026-08-01
Kansas,Construction,35.88,38.08,0.061315496098104605,2025-08-01,2026-08-01
Kansas,Leisure and Hospitality,19.24,18.81,-0.02234927234927231,2025-08-01,2026-08-01
Kentucky,Total Private,30.08,30.79,0.023603723404255428,2025-08-01,2026-08-01
Kentucky,Construction,35.74,35.62,-0.003357582540570947,2025-08-01,2026-08-01
Kentucky,Leisure and Hospitality,18.06,18.07,5.537098560355336e-4,2025-08-01,2026-08-01
Louisiana,Total Private,29.47,31.19,0.058364438411944386,2025-08-01,2026-08-01
Louisiana,Construction,32.6,33.53,0.028527607361963137,2025-08-01,2026-08-01
Louisiana,Leisure and Hospitality,17.08,18.45,0.0802107728337238,2025-08-01,2026-08-01
Maine,Total Private,32.42,33.77,0.04164096236890802,2025-08-01,2026-08-01
Maine,Construction,33.9,35.37,0.04336283185840695,2025-08-01,2026-08-01
Maine,Leisure and Hospitality,24.31,25.72,0.058000822706705035,2025-08-01,2026-08-01
Maryland,Total Private,36.15,38.5,0.06500691562932226,2025-08-01,2026-08-01
Maryland,Leisure and Hospitality,21.97,22.48,0.023213472917614997,2025-08-01,2026-08-01
Massachusetts,Total Private,41.85,43.38,0.03655913978494629,2025-08-01,2026-08-01
