date,tot_nf,women_nf,men_nf,tot_priv,women_priv,men_priv,construction,manufacturing,health,leisure,transport_wh,retail,women_share_nf
2007-01-01,137472,66584,70888,115377,54194,61183,7725,14004,15498.5,13338,4518,15411.5,0.48434590316573556
2007-02-01,137560,66733,70827,115429,54290,61139,7626,13993,15536.2,13361,4519.1,15440.3,0.48511922070369295
2007-03-01,137784,66840,70944,115635,54352,61283,7706,13964,15579.6,13363,4522.5,15498.8,0.4851071241943912
2007-04-01,137847,66918,70929,115672,54402,61270,7686,13939,15632.2,13375,4525,15477.4,0.48545126118087445
2007-05-01,137992,67056,70936,115799,54520,61279,7673,13922,15675.6,13404,4526.4,15494.4,0.48594121398341933
2007-06-01,138070,67135,70935,115863,54574,61289,7687,13903,15729.5,13413,4524.9,15478.7,0.48623886434417324
2007-07-01,138044,67177,70867,115873,54643,61230,7660,13881,15766,13417,4527.9,15483.2,0.48663469618382543
2007-08-01,138013,67275,70738,115787,54641,61146,7610,13821,15808.3,13419,4524,15484,0.48745408041271476
2007-09-01,138099,67353,70746,115820,54698,61122,7577,13784,15850.1,13461,4546,15492.7,0.48771533465122846
2007-10-01,138175,67417,70758,115878,54729,61149,7565,13756,15878,13499,4541.4,15485.8,0.48791025872987154
2007-11-01,138290,67486,70804,115956,54768,61188,7523,13751,15907.6,13535,4538.6,15549.8,0.4880034709668089
2007-12-01,138395,67626,70769,116019,54871,61148,7490,13739,15947.4,13550,4536,15544.7,0.48864482098341705
2008-01-01,138391,67631,70760,116003,54856,61147,7476,13717,15990,13542,4537.8,15525.5,0.48869507410163954
2008-02-01,138329,67660,70669,115912,54848,61064,7453,13690,16023.7,13543,4541.6,15490.6,0.489123755683913
2008-03-01,138259,67705,70554,115816,54857,60959,7406,13650,16064.5,13531,4542.4,15479.9,0.489696873259607
2008-04-01,138040,67687,70353,115590,54815,60775,7327,13589,16109.5,13511,4546.8,15396.7,0.4903433787308027
2008-05-01,137851,67666,70185,115368,54760,60608,7274,13555,16144.2,13498,4535.2,15334,0.49086332344342803
2008-06-01,137700,67638,70062,115183,54715,60468,7213,13494,16176.7,13482,4522.6,15310,0.49119825708061005
2008-07-01,137497,67634,69863,114929,54667,60262,7160,13419,16212.8,13463,4517.4,15270.2,0.49189436860440594
2008-08-01,137211,67489,69722,114644,54539,60105,7114,13348,16245.7,13431,4500.4,15209.3,0.4918628972895759
2008-09-01,136760,67353,69407,114223,54409,59814,7044,13267,16273.2,13379,4464.8,15143.5,0.49249049429657793
2008-10-01,136291,67157,69134,113742,54218,59524,6967,13138,16302.1,13352,4450,15081.9,0.49274713664145103
2008-11-01,135541,67020,68521,112981,54071,58910,6813,13026,16336,13300,4409.1,14953.1,0.4944629300359301
2008-12-01,134847,66805,68042,112291,53860,58431,6701,12842,16369.7,13256,4382.2,14847.5,0.4954133202815042
2009-01-01,134079,66559,67520,111500,53607,57893,6567,12552,16393.1,13222,4358.5,14763.8,0.4964162918876185
2009-02-01,133318,66329,66989,110742,53375,57367,6446,12371,16419.5,13193,4334.5,14680.6,0.49752471534226433
2009-03-01,132494,66069,66425,109934,53139,56795,6291,12196,16430.7,13127,4301,14594.3,0.49865654293779343
2009-04-01,131822,65828,65994,109145,52861,56284,6154,12017,16446.7,13056,4255.3,14530.6,0.4993703630653457
2009-05-01,131466,65709,65757,108849,52784,56065,6100,11850,16498.5,13106,4237.4,14514.9,0.499817443293323
2009-06-01,131008,65561,65447,108432,52649,55783,6010,11713,16520.3,13076,4219.8,14501.7,0.5004350879335613
2009-07-01,130662,65420,65242,108141,52533,55608,5932,11654,16544.8,13078,4198.2,14446.8,0.5006811467756501
2009-08-01,130472,65347,65125,107935,52453,55482,5855,11612,16582.4,13046,4187.8,14438.7,0.5008507572505978
2009-09-01,130246,65239,65007,107795,52413,55382,5787,11580,16618.1,13054,4179.5,14406.6,0.5008906223607634
2009-10-01,130061,65165,64896,107537,52295,55242,5716,11527,16642.8,12995,4163.8,14358.2,0.5010341301389348
2009-11-01,130057,65126,64931,107524,52258,55266,5696,11498,16671.8,12986,4158.3,14340.4,0.5007496712979693
2009-12-01,129808,65060,64748,107326,52209,55117,5654,11465,16694.5,12944,4108.4,14309.1,0.5012017749291261
2010-01-01,129802,65085,64717,107311,52238,55073,5580,11447,16714.7,12932,4129,14358.8,0.5014175436433953
2010-02-01,129706,65015,64691,107230,52180,55050,5500,11439,16727.8,12927,4129.4,14357.8,0.5012489784589764
2010-03-01,129866,65071,64795,107348,52221,55127,5537,11439,16763.1,12943,4140.8,14392.2,0.5010626337917545
2010-04-01,130120,65086,65034,107551,52212,55339,5553,11475,16773.7,12979,4147.1,14388.3,0.5001998155548725
2010-05-01,130642,65305,65337,107646,52222,55424,5520,11511,16790.5,13012,4158.3,14396.5,0.49987752790067513
2010-06-01,130510,65187,65323,107770,52215,55555,5516,11529,16803.6,13034,4175.2,14399.4,0.4994789671289556
2010-07-01,130415,65081,65334,107846,52185,55661,5508,11546,16816.3,13048,4192.6,14402.2,0.49903001955296555
2010-08-01,130415,65029,65386,107995,52231,55764,5524,11538,16845.3,13081,4188.9,14414.1,0.4986312924126826
2010-09-01,130341,64957,65384,108094,52258,55836,5501,11549,16854.5,13137,4206.3,14420.3,0.4983619889367122
2010-10-01,130620,65035,65585,108323,52323,56000,5508,11548,16889.3,13127,4216.4,14462.1,0.49789465625478485
2010-11-01,130749,65078,65671,108462,52380,56082,5506,11571,16919.2,13126,4225.3,14446.3,0.49773229623171117
2010-12-01,130830,65106,65724,108564,52419,56145,5467,11579,16934.8,13157,4250.1,14444.5,0.49763815638614994
2011-01-01,130837,65112,65725,108579,52415,56164,5427,11606,16935.6,13149,4217.3,14491,0.4976573904935148
2011-02-01,131057,65166,65891,108842,52499,56343,5451,11637,16944.4,13188,4248.2,14518.2,0.49723402794204047
2011-03-01,131283,65240,66043,109091,52573,56518,5477,11659,16966,13247,4258.7,14537.9,0.496941721319592
2011-04-01,131597,65406,66191,109413,52735,56678,5485,11689,17002,13298,4277.4,14602.8,0.4970174092114562
2011-05-01,131703,65368,66335,109574,52728,56846,5516,11697,17025,13293,4285.6,14604.3,0.49632886114970803
2011-06-01,131931,65448,66483,109767,52786,56981,5528,11710,17049,13343,4301.5,14637.7,0.4960774950542329
2011-07-01,131992,65466,66526,109943,52849,57094,5547,11729,17085.2,13370,4303.8,14676,0.49598460512758347
2011-08-01,132125,65483,66642,110108,52921,57187,5552,11748,17113.8,13395,4310.6,14677.7,0.4956140018921476
2011-09-01,132344,65565,66779,110361,53001,57360,5584,11752,17151.1,13426,4315.9,14686.2,0.4954134679320559
2011-10-01,132553,65654,66899,110555,53089,57466,5588,11762,17174,13464,4324.1,14698.8,0.4953037652863383
2011-11-01,132690,65705,66985,110719,53160,57559,5593,11753,17189.9,13511,4328.2,14715.2,0.4951767277112066
2011-12-01,132888,65783,67105,110934,53250,57684,5611,11783,17209.7,13538,4328.3,14707.2,0.495025886460779
2012-01-01,133246,65954,67292,111300,53424,57876,5626,11820,17263.1,13600,4346.3,14766.5,0.4949792113834562
2012-02-01,133509,66066,67443,111562,53544,58018,5629,11841,17315.9,13641,4372.2,14760.1,0.49484304428914905
2012-03-01,133748,66157,67591,111805,53639,58166,5625,11880,17346.1,13706,4377,14776.3,0.4946391721745372
