labor_share_nfb,labor_share_bus,date
115.996,115.713,1947-01-01
114.395,116.945,1947-04-01
116.239,116.802,1947-07-01
114.62,116.316,1947-10-01
114.793,114.361,1948-01-01
114.747,112.466,1948-04-01
114.742,113.938,1948-07-01
113.804,115.401,1948-10-01
114.109,114.573,1949-01-01
114.314,114.418,1949-04-01
112.159,113.321,1949-07-01
112.792,114.415,1949-10-01
111.495,113.56,1950-01-01
112.161,113.122,1950-04-01
110.734,110.81,1950-07-01
111.037,109.846,1950-10-01
110.475,109.699,1951-01-01
111.77,111.288,1951-04-01
109.834,109.788,1951-07-01
110.905,110.409,1951-10-01
111.412,111.117,1952-01-01
112.321,112.315,1952-04-01
113.002,112.64,1952-07-01
112.693,113.362,1952-10-01
112.904,113.699,1953-01-01
113.209,113.75,1953-04-01
113.504,114.882,1953-07-01
114.886,115,1953-10-01
115.233,115.423,1954-01-01
114.401,115.775,1954-04-01
113.412,114.205,1954-07-01
112.749,114.043,1954-10-01
110.848,111.187,1955-01-01
111.038,111.507,1955-04-01
111.466,111.434,1955-07-01
111.784,111.983,1955-10-01
113.848,114.163,1956-01-01
114.78,115.281,1956-04-01
115.087,114.911,1956-07-01
115.106,114.768,1956-10-01
114.107,114.666,1957-01-01
114.999,115.036,1957-04-01
114.313,114.26,1957-07-01
115.181,115.258,1957-10-01
116.379,115.743,1958-01-01
115.039,114.405,1958-04-01
114.94,114.64,1958-07-01
112.982,113.068,1958-10-01
113.424,113.73,1959-01-01
113.039,113.297,1959-04-01
113.081,113.481,1959-07-01
113.952,114.428,1959-10-01
113.619,113.942,1960-01-01
115.916,115.636,1960-04-01
115.455,114.724,1960-07-01
117.123,116.489,1960-10-01
116.542,116.069,1961-01-01
114.929,114.815,1961-04-01
113.77,113.803,1961-07-01
113.586,113.664,1961-10-01
113.026,113.199,1962-01-01
113.834,114.055,1962-04-01
112.626,112.785,1962-07-01
112.89,113.189,1962-10-01
113.071,112.981,1963-01-01
112.738,112.816,1963-04-01
111.191,111.556,1963-07-01
111.846,111.79,1963-10-01
110.518,110.971,1964-01-01
110.812,111.474,1964-04-01
110.589,111.187,1964-07-01
112.116,112.273,1964-10-01
110.624,110.883,1965-01-01
110.69,111.02,1965-04-01
109.183,109.339,1965-07-01
108.519,108.486,1965-10-01
108.609,108.51,1966-01-01
109.958,110.242,1966-04-01
110.34,110.619,1966-07-01
109.866,110.551,1966-10-01
109.937,110.185,1967-01-01
110.685,110.859,1967-04-01
110.659,110.767,1967-07-01
110.784,110.795,1967-10-01
110.125,110.429,1968-01-01
109.682,110.065,1968-04-01
110.716,111.093,1968-07-01
111.648,111.972,1968-10-01
110.962,110.998,1969-01-01
112.424,112.528,1969-04-01
113.187,113.393,1969-07-01
114.771,114.762,1969-10-01
115.245,115.303,1970-01-01
113.7,113.968,1970-04-01
113.18,113.294,1970-07-01
113.699,113.952,1970-10-01
111.541,111.611,1971-01-01
111.502,111.472,1971-04-01
110.939,111.04,1971-07-01
112.253,112.146,1971-10-01
112.234,112.506,1972-01-01
110.916,110.625,1972-04-01
111.069,110.493,1972-07-01
111.527,110.321,1972-10-01
111.289,110.365,1973-01-01
111.56,109.931,1973-04-01
113.108,111.227,1973-07-01
113.45,110.57,1973-10-01
113.742,111.756,1974-01-01
112.917,111.944,1974-04-01
113.927,112.891,1974-07-01
112.602,111.34,1974-10-01
111.474,110.727,1975-01-01
110.375,109.702,1975-04-01
109.301,108.091,1975-07-01
109.402,108.241,1975-10-01
108.64,108.036,1976-01-01
108.462,108.244,1976-04-01
108.961,108.673,1976-07-01
108.957,108.666,1976-10-01
108.784,108.418,1977-01-01
108.779,108.599,1977-04-01
108.324,108.23,1977-07-01
109.712,109.002,1977-10-01
111.254,110.661,1978-01-01
108.998,108.22,1978-04-01
108.946,108.213,1978-07-01
108.758,108.213,1978-10-01
110.772,109.773,1979-01-01
110.435,109.603,1979-04-01
110.708,109.798,1979-07-01
111.472,110.636,1979-10-01
111.222,110.842,1980-01-01
112.24,112.51,1980-04-01
112.849,112.54,1980-07-01
112.24,111.44,1980-10-01
109.901,109.171,1981-01-01
111.008,110.104,1981-04-01
110.118,109.002,1981-07-01
111.09,110.4,1981-10-01
113.136,112.521,1982-01-01
112.536,112.045,1982-04-01
112.698,112.093,1982-07-01
