yr,agegrp,sexlab,epop,lfpr,unrate,n,months
2015,16-19,Men,0.2852076417973925,0.3488999499288958,0.18225527523517715,38033,12
2016,16-19,Men,0.2932432277421522,0.35530183639370966,0.1743105159490038,37843,12
2017,16-19,Men,0.2955310719724869,0.3493767202140847,0.15467583222040232,37035,12
2018,16-19,Men,0.2988928775066935,0.3476419002810253,0.13979851557638887,35778,12
2019,16-19,Men,0.3078699192148942,0.35804947147969096,0.14013058617354263,34208,12
2020,16-19,Men,0.28394634814695313,0.3478208109882433,0.1839235585301848,29725,12
2021,16-19,Men,0.31816159657578713,0.3622577392963627,0.12219173583927435,29744,12
2022,16-19,Men,0.3322707779156796,0.3713002573567661,0.10509979870952675,28500,12
2023,16-19,Men,0.32938083897745535,0.3733016009190225,0.1170427863225545,27525,12
2024,16-19,Men,0.3209025772597023,0.3719020811478289,0.13682581537528288,27464,12
2025,16-19,Men,0.31461968653576283,0.3699302770016857,0.14873413281233014,23802,11
2026,16-19,Men,0.31564114574123664,0.370753545173388,0.14944579875709496,16616,8
2015,16-19,Women,0.30723791807985285,0.3603092313563354,0.14672117657026065,35729,12
2016,16-19,Women,0.3155275600742421,0.36628007656816247,0.13737392369885257,35612,12
2017,16-19,Women,0.32332748411454126,0.3692162716290672,0.12375080923601577,34476,12
2018,16-19,Women,0.3288765286142606,0.3698963610914836,0.11067586154038846,32961,12
2019,16-19,Women,0.33277074293693826,0.37467892669158465,0.11133775794826356,31679,12
2020,16-19,Women,0.29332168292316824,0.354480990420926,0.17704132871551093,28098,12
2021,16-19,Women,0.3396339478925557,0.37920654798023,0.10432163610225842,27490,12
2022,16-19,Women,0.34475443980325915,0.3836964852302091,0.10086793343214727,26150,12
2023,16-19,Women,0.3533927895857825,0.39206248328573867,0.09836287302211437,26052,12
2024,16-19,Women,0.3416614550364561,0.3851589876128538,0.11264693738544261,25705,12
2025,16-19,Women,0.3286980198071652,0.3764177032465369,0.1257991686510528,22307,11
2026,16-19,Women,0.33446804568267413,0.38161741439482244,0.12267770712965981,15388,8
2015,20-24,Men,0.6493320833902217,0.7321811703130471,0.1131569677221511,42839,12
2016,20-24,Men,0.6658537455453349,0.7374050362433607,0.09700684311961076,41041,12
2017,20-24,Men,0.677704694937563,0.7421063100053041,0.08681739864182515,39444,12
