yr,epop,lfpr,unrate,n,months
2015,0.7232765898035455,0.7984520030695562,0.09415693148720387,92497,12
2016,0.7342391174532498,0.8009485916167312,0.08330552588751287,90361,12
2017,0.7430607270419274,0.8025694566471026,0.07414365131732446,86738,12
2018,0.7527592994957045,0.8051419474884131,0.06503887472355548,83530,12
2019,0.7577740603567918,0.8096805794794343,0.06411107529039761,80150,12
2020,0.6806859396671681,0.7749720826464127,0.12258964894657332,69613,12
2021,0.7162960241883177,0.7863684720870401,0.08926053246994237,71266,12
2022,0.7482617506636767,0.798432260697678,0.06291590100002631,66846,12
2023,0.7507518394685636,0.8003994599751526,0.062042323597410215,64847,12
2024,0.7502485264550242,0.8021827477919651,0.06474507657610955,64131,12
2025,0.7464673805429599,0.8015391234534384,0.06874515326853134,56361,11
2026,0.744071693378965,0.7989712497663896,0.06875766926161471,38803,8
