outcome,spec,beta,se,p,n
d_nat_unrate,Men 2025-26,0.009831328511976135,0.010075425245436594,0.33001322874200756,284
d_nat_hrs,Men 2025-26,-0.37968671098712375,0.7536916970155617,0.6148168410665658,284
d_log_nat_emp,Men 2025-26,-0.006840908434644969,0.0891189358054019,0.9388676638567588,284
d_nat_unrate,Men PLACEBO 2018-19,-0.02129304244389778,0.010041486668004009,0.03475717708141869,312
d_nat_hrs,Men PLACEBO 2018-19,0.17176577500342685,0.4082153453880994,0.674212792587535,312
d_log_nat_emp,Men PLACEBO 2018-19,0.045861837060398876,0.048656286015582834,0.34663610169459635,312
d_nat_unrate,Women 2025-26,0.006630684746447186,0.017085945401748376,0.6983217701805852,229
d_nat_hrs,Women 2025-26,0.4603473765882436,0.6300579019610273,0.46575068694048005,229
d_log_nat_emp,Women 2025-26,0.1217946958880647,0.09522260944066334,0.20218460099500488,229
d_nat_unrate,Women PLACEBO 2018-19,-0.01786515776991859,0.00848384834987762,0.036220520138545584,252
d_nat_hrs,Women PLACEBO 2018-19,-0.07910650652931259,0.4224041806840321,0.8515955051251518,252
d_log_nat_emp,Women PLACEBO 2018-19,1.506517000870432e-4,0.0603941167876758,0.998011687153495,252
