yr,sexlab,native,epop,lfpr,unrate,n,months,grp
2015,Men,0,0.8808660879134126,0.916022354446348,0.038374977520809976,49085,12,Foreign-born men
2016,Men,0,0.8876243296386018,0.9171034722069753,0.032138640535748504,48280,12,Foreign-born men
2017,Men,0,0.8925939013068801,0.9206791270486513,0.030475010689336956,47153,12,Foreign-born men
2018,Men,0,0.8960794328912285,0.9187105555206537,0.02464738096111706,46431,12,Foreign-born men
2019,Men,0,0.9000539193126866,0.9218359898414518,0.023621325130595217,43765,12,Foreign-born men
2020,Men,0,0.846952261352257,0.9124103237959065,0.0721778853934811,36967,12,Foreign-born men
2021,Men,0,0.8754673637303321,0.9179881457878967,0.04637455853674489,38789,12,Foreign-born men
2022,Men,0,0.8952426890537423,0.9197366426767205,0.026639937423437007,38931,12,Foreign-born men
2023,Men,0,0.8923256233569079,0.9214739079258402,0.03165587497584078,38758,12,Foreign-born men
2024,Men,0,0.8907657512802416,0.9215979470816701,0.033468636950846835,40889,12,Foreign-born men
2025,Men,0,0.8911609992583851,0.923039024395863,0.03452423867804253,33894,11,Foreign-born men
2026,Men,0,0.9027477823685098,0.9305260185091906,0.029850003017999914,22622,8,Foreign-born men
2015,Men,1,0.8339116038514391,0.8743413829243587,0.04624245634721242,246555,12,Native men
2016,Men,1,0.8394543109182125,0.8775874947638949,0.04345422069347007,243567,12,Native men
2017,Men,1,0.8437927701946166,0.8776419753118633,0.03857751106596807,237074,12,Native men
2018,Men,1,0.8529219550659556,0.8832785734938281,0.03435995892521437,227342,12,Native men
2019,Men,1,0.8555346001199657,0.8842985921315355,0.03251932593036067,217476,12,Native men
2020,Men,1,0.8105574020232056,0.8705887303359966,0.0691633110327874,193381,12,Native men
2021,Men,1,0.8254254483153375,0.8699960539318314,0.051250635734065415,195257,12,Native men
2022,Men,1,0.8493460281617157,0.8775171780124841,0.03211301649208861,184183,12,Native men
2023,Men,1,0.8554328289670695,0.8847144718128491,0.03309539739390444,178746,12,Native men
2024,Men,1,0.8534548678737345,0.8847498177335318,0.035370264952689495,176348,12,Native men
2025,Men,1,0.8550427911582492,0.8871626947272638,0.03621036373824727,154582,11,Native men
2026,Men,1,0.8499734847988087,0.8861066294141555,0.04077533069277374,109037,8,Native men
2015,Women,0,0.6022717849465876,0.6366952648693719,0.05406863658330469,52111,12,Foreign-born women
2016,Women,0,0.6164099151501947,0.6486598702576072,0.04969543955814667,52468,12,Foreign-born women
2017,Women,0,0.625478046361312,0.6549800210911172,0.045045412135217906,51807,12,Foreign-born women
2018,Women,0,0.6393702899009627,0.6661197189449681,0.0401864096222038,50463,12,Foreign-born women
2019,Women,0,0.6485862752166833,0.6717114344930953,0.03444597951994011,47500,12,Foreign-born women
2020,Women,0,0.5893697740859739,0.6570772458042063,0.10349256013172341,40239,12,Foreign-born women
2021,Women,0,0.6226009795497119,0.6619111381640049,0.05951554086073632,42117,12,Foreign-born women
2022,Women,0,0.6572596953888862,0.6815257067550501,0.03562904673916607,41578,12,Foreign-born women
2023,Women,0,0.6758169557961066,0.7014874010916178,0.03658291790113022,41218,12,Foreign-born women
2024,Women,0,0.6681923516982144,0.7018804005939389,0.047978478673555806,42452,12,Foreign-born women
2025,Women,0,0.6705928142318843,0.7035626706812198,0.04681627904303917,35925,11,Foreign-born women
2026,Women,0,0.6860194566707282,0.7171165228938822,0.0433014183912254,24997,8,Foreign-born women
2015,Women,1,0.7297739574446168,0.7636829155258557,0.04441093150385419,262912,12,Native women
2016,Women,1,0.7371471735962717,0.7694724104324514,0.042015367802133934,258983,12,Native women
2017,Women,1,0.7461542148988088,0.7754243055106644,0.03776082917404423,252002,12,Native women
2018,Women,1,0.7548126065223529,0.7803018630086505,0.03267712972757062,240957,12,Native women
2019,Women,1,0.7621673086390635,0.7867191818039877,0.031221846386350418,229487,12,Native women
2020,Women,1,0.7255437908638985,0.7774907761810317,0.06719121439008366,202558,12,Native women
2021,Women,1,0.7400541267344055,0.7763022389524991,0.04673786537414452,202805,12,Native women
2022,Women,1,0.7622603731369614,0.7868781372098108,0.03128610863587455,190569,12,Native women
2023,Women,1,0.7743613551512897,0.7973074810170712,0.028789786073125396,184696,12,Native women
2024,Women,1,0.7774802881315909,0.8029608706444527,0.0317430178038357,182264,12,Native women
2025,Women,1,0.773225856391041,0.8005409065346618,0.03411902696295803,159570,11,Native women
2026,Women,1,0.7705572026019132,0.7996890957761723,0.03642404020120327,111324,8,Native women
