yr,grp,p10,p50,mean,n,g_p10,g_p50
2018,Native men,13.649650820803094,28.41841508954756,35.13067724322353,27164,NA,NA
2019,Native men,14.388501007450449,28.925605066360763,35.95968315781778,25823,0.05412960348562845,0.01784722952406148
2020,Native men,15.57352342947911,31.29921194926312,37.940027529969456,23362,0.08235899079515296,0.08205902270520737
2021,Native men,15.33774354127977,30.56688997543857,36.92867365332358,23306,-0.015139790893628713,-0.023397457259041077
2022,Native men,15.828889278915607,29.517193249587613,35.75328471266692,23101,0.03202203350929533,-0.034340972427826966
2023,Native men,16.365714955736646,29.64012819761193,37.78859886610939,22188,0.03391429855638073,0.00416485900216923
2024,Native men,16.02529756209576,30.411553189350784,41.75307752063377,22606,-0.0208006429637565,0.026026371633608658
2025,Native men,15.869177201929965,31.057498616318377,42.84065960902596,22031,-0.009742119268665639,0.021240132753028274
2026,Native men,16.050886744649883,30.09541264621853,42.7808790681417,21412,0.01145047033048563,-0.03097757427233183
2018,Native women,12.820179578498173,23.397499860305096,29.491110224335426,27221,NA,NA
2019,Native women,13.08045546131859,24.115207590813608,29.938090608995328,25811,0.02030204656859458,0.030674547912964645
2020,Native women,13.33818105907731,25.775821605275514,31.976509277030836,23167,0.019703105791756714,0.06886169269778541
2021,Native women,13.812581957317189,25.293249319495462,31.48234805559386,23263,0.035567135888969315,-0.01872189733347951
2022,Native women,13.981579386721574,24.47824663489449,30.763936603825474,23159,0.012235035413842965,-0.032222142529263254
2023,Native women,14.318820755802674,25.251762484882455,32.05066723163502,21960,0.024120405839227477,0.031600133029352495
2024,Native women,14.909773001843963,25.559610860303938,34.06613054074968,22847,0.04127101359249896,0.012191163908094937
2025,Native women,14.697538563754774,25.962531118145098,34.372870225928025,21981,-0.01423458546705847,0.01576394335748388
2026,Native women,14.843663371359174,25.360903416885467,34.462362849565004,21183,0.00994212785838533,-0.023172921720223005
