yr,nat_unrate,nat_hrs,for_share,n,months
2015,0.07444302430318366,41.93061783724586,0.2565392340184832,51995,12
2016,0.06620364578779735,41.980213228340936,0.255661169537212,53000,12
2017,0.06333147919909589,41.85707534985254,0.2548502247492607,53187,12
2018,0.05420646012216491,42.05394700607728,0.2616459148716288,52607,12
2019,0.04751955030523992,42.04765850446162,0.25768696604209423,51142,12
2020,0.08283856298015833,41.64145301120225,0.252079628212245,44816,12
2021,0.06904792187274172,41.741876902316456,0.268566207946828,45938,12
2022,0.04704808841917111,41.7736099150025,0.28992131575664515,44204,12
2023,0.04668145088621942,41.5470593597659,0.2928258055159293,43414,12
2024,0.04545067513038129,41.59061903570326,0.3043291089127634,43818,12
2025,0.04617843329329227,41.401679061349725,0.2903040480379392,38041,11
2026,0.05126502783196042,41.704677097525874,0.2711977448878905,26667,8
