yr,unrate,hrs,ptecon,n,months
2015,0.09610129165784398,42.04419499187696,0.054121773614943,31278,12
2016,0.08288187777067464,41.95451323099072,0.04842554156990616,31616,12
2017,0.07961351010594285,41.927868809836674,0.04357896617970867,30350,12
2018,0.07054057433957353,42.01461093301637,0.036229618747251356,29211,12
2019,0.060052872124949724,41.97478045628677,0.034394109859126706,27899,12
2020,0.10617085839423179,41.6823554212416,0.053475173968599465,24360,12
2021,0.08799733231489594,41.685455022317306,0.035940927294963045,24024,12
2022,0.0599618238691517,41.490545976734886,0.03309420178174579,22406,12
2023,0.057246338291110206,41.6052501899871,0.030929954792250147,21525,12
2024,0.05889057129884611,41.593647771585175,0.03273621291388223,21205,12
2025,0.053830056432239724,41.47952577565409,0.03325454378427394,18742,11
2026,0.06668985089531348,41.60445459336386,0.028679300713113722,13096,8
