yr,exp_q,tracker,n
2019,Q1 lowest,0.04761904761904767,963
2020,Q1 lowest,0.03703703703703698,930
2021,Q1 lowest,0.032786885245901676,824
2022,Q1 lowest,0.06666666666666665,805
2023,Q1 lowest,0.05637982195845703,933
2024,Q1 lowest,0.02857142857142847,839
2025,Q1 lowest,0.032362459546925626,712
2026,Q1 lowest,0.050000000000000044,472
2019,Q2,0.04166666666666674,1854
2020,Q2,0.03214285714285703,1776
2021,Q2,0.045454545454545414,1675
2022,Q2,0.0714285714285714,1607
2023,Q2,0.06060606060606055,1684
2024,Q2,0.05205479452054784,1778
2025,Q2,0.026666666666666616,1463
2026,Q2,0.04347826086956519,982
2019,Q3,0.05263157894736836,3502
2020,Q3,0.05555555555555558,3138
2021,Q3,0.06666666666666665,2993
2022,Q3,0.10000000000000009,2819
2023,Q3,0.06785714285714284,2803
2024,Q3,0.04857142857142871,2713
2025,Q3,0.03703703703703698,2327
2026,Q3,0.03880597014925358,1467
2019,Q4 highest,0.05022831050228316,3364
2020,Q4 highest,0.050000000000000044,3188
2021,Q4 highest,0.0714285714285714,2704
2022,Q4 highest,0.07692307692307687,2817
2023,Q4 highest,0.061224489795918435,2513
2024,Q4 highest,0.04285714285714293,2465
2025,Q4 highest,0.03846153846153855,2220
2026,Q4 highest,0.04912280701754379,1334
