yr,exp_q,tracker,tracker_real,n
2019,Q1 lowest,0.03125,0.012904370250101493,8330
2020,Q1 lowest,0.03405315614617943,0.02152262817098971,7558
2021,Q1 lowest,0.02673796791443861,-0.014440949252574775,6642
2022,Q1 lowest,0.04770992366412208,-0.030100411955352402,6466
2023,Q1 lowest,0.04347826086956519,0.0034017769799168374,6491
2024,Q1 lowest,0.04528301886792452,0.014474073799388254,6260
2025,Q1 lowest,0.04065040650406515,0.01393469640032663,5411
2026,Q1 lowest,0.03960396039603964,0.005327262271745736,3510
2019,Q2,0.032258064516129004,0.013891771893361327,9803
2020,Q2,0.03359173126614978,0.020861307239301796,9087
2021,Q2,0.03703703703703698,-0.009885048097319826,8157
2022,Q2,0.05555555555555558,-0.0216207195145538,8081
2023,Q2,0.05555555555555558,0.014492848930435676,8021
2024,Q2,0.044897959183673564,0.015286356040712601,8080
2025,Q2,0.039080459770115095,0.01121921586434782,7015
2026,Q2,0.04166666666666674,0.00924831617740507,4635
2019,Q3,0.034482758620689724,0.016692871222773853,14429
2020,Q3,0.040000000000000036,0.026923583748099222,12975
2021,Q3,0.03846153846153855,-0.005728351493782591,11828
2022,Q3,0.06995884773662553,-0.009960365519883996,11624
2023,Q3,0.05032573289902276,0.010442190438201715,11517
2024,Q3,0.046875,0.01670227396142243,11458
2025,Q3,0.041916167664670656,0.015222983907234644,10033
2026,Q3,0.03846153846153855,0.0058362887336556035,6307
2019,Q4 highest,0.041860465116279055,0.024214419320538916,10040
2020,Q4 highest,0.04166666666666674,0.027850131342458395,8997
2021,Q4 highest,0.045454545454545414,1.8391751524959865e-4,7822
2022,Q4 highest,0.06837407407407414,-0.010343686586465006,8089
2023,Q4 highest,0.05555555555555558,0.013248194361140886,7778
2024,Q4 highest,0.04843304843304841,0.01843887916430842,7527
2025,Q4 highest,0.040000000000000036,0.013080938400447772,6761
2026,Q4 highest,0.04166666666666674,0.009200289699319963,4165
