yr,tracker,tracker_real,n,grp
2019,0.03703703703703698,0.018545219460887274,50852,All workers
2020,0.03926096997690531,0.025887600103254194,45417,All workers
2021,0.03571428571428581,-0.009541684593386113,40316,All workers
2022,0.0625,-0.016410963958317204,40642,All workers
2023,0.050420168067226934,0.009072997579486763,40123,All workers
2024,0.04546164661771601,0.015427802099170274,39671,All workers
2025,0.040000000000000036,0.01288427237435763,35006,All workers
2026,0.03976143141153088,0.006441712636698016,22526,All workers
2019,0.04202772963604873,0.024427319049276974,7390,Foreign-born
2020,0.04166666666666674,0.02819924665576745,6081,Foreign-born
2021,0.0251851851851852,-0.016485814443337632,5362,Foreign-born
2022,0.06430155210643007,-0.014742159090525453,5935,Foreign-born
2023,0.045454545454545414,0.002649748451756029,5825,Foreign-born
2024,0.040000000000000036,0.010067246962518706,5886,Foreign-born
2025,0.036363636363636376,0.009358299323888541,5429,Foreign-born
2026,0.03809523809523818,0.0034275969411246,3652,Foreign-born
2019,0.03571428571428581,0.01728742845740694,21759,Native men
2020,0.040909090909090784,0.027845619775944686,19809,Native men
2021,0.034482758620689724,-0.011226999361144352,17708,Native men
2022,0.0625,-0.017252377761644455,17639,Native men
2023,0.050000000000000044,0.009072997579486763,17342,Native men
2024,0.045454545454545414,0.014787920749654626,16995,Native men
2025,0.04166666666666674,0.013910853299922366,14919,Native men
2026,0.04245283018867929,0.009968327802271082,9535,Native men
2019,0.03571428571428581,0.017294051622427364,21703,Native women
2020,0.03466204506065851,0.022235605439087758,19527,Native women
2021,0.040000000000000036,-0.004999413335053604,17246,Native women
2022,0.0626151012891345,-0.01617679772602887,17068,Native women
2023,0.05390334572490718,0.012539109584812858,16956,Native women
2024,0.04854368932038833,0.017866836142768516,16790,Native women
2025,0.040000000000000036,0.013073540007618067,14658,Native women
2026,0.037837837837837895,0.004862178920493898,9339,Native women
2019,0.03703703703703698,0.018604609384289983,17297,"Native, BA+"
2020,0.03977272727272729,0.026544101849600654,16322,"Native, BA+"
2021,0.02941176470588225,-0.013804466668195903,15027,"Native, BA+"
2022,0.05263157894736836,-0.025257647620683832,14954,"Native, BA+"
2023,0.04651162790697683,0.005671467842556677,14962,"Native, BA+"
2024,0.049961919268850075,0.018664786083686158,14645,"Native, BA+"
2025,0.04224026210350451,0.015108224531625414,13237,"Native, BA+"
2026,0.03937007874015741,0.006144981702094432,8512,"Native, BA+"
2019,0.034482758620689724,0.01648991576650838,26165,"Native, no BA"
2020,0.03734439834024883,0.02464309278696941,23014,"Native, no BA"
2021,0.04210526315789487,-0.0011609341895828518,19927,"Native, no BA"
2022,0.068888888888889,-0.011165155766094892,19753,"Native, no BA"
2023,0.05555555555555558,0.014077386400711323,19336,"Native, no BA"
2024,0.04477611940298498,0.014714470499340715,19140,"Native, no BA"
2025,0.03986135181975725,0.012199778519595972,16340,"Native, no BA"
2026,0.04026845637583887,0.007885538353858523,10362,"Native, no BA"
2019,0.03571428571428581,0.01728742845740694,43462,Native-born
2020,0.03846153846153855,0.0256124314919306,39336,Native-born
2021,0.03738317757009346,-0.008198081955381187,34954,Native-born
2022,0.0625,-0.016928705514936082,34707,Native-born
2023,0.05208333333333326,0.0106104636617943,34298,Native-born
2024,0.04634581105169344,0.0162993016870725,33785,Native-born
2025,0.04054054054054057,0.01327608351348597,29577,Native-born
2026,0.040000000000000036,0.0072012912877446045,18874,Native-born
2019,0.03333333333333344,0.014764185559207554,3980,Naturalized citizens
2020,0.040752351097178785,0.026863732739423885,3277,Naturalized citizens
2021,0.017307692307692246,-0.01934820256770886,2906,Naturalized citizens
2022,0.06036745406824129,-0.017576609903590446,3083,Naturalized citizens
2023,0.040000000000000036,-0.0027513632100978347,3070,Naturalized citizens
2024,0.03603603603603611,0.006145987536393394,3179,Naturalized citizens
2025,0.034482758620689724,0.00717130134865962,2842,Naturalized citizens
2026,0.030303030303030276,-0.004193417849158609,2021,Naturalized citizens
2019,0.04166666666666674,0.023753238384043085,2221,"Naturalized, no BA"
2020,0.044736842105263186,0.03131190885340285,1743,"Naturalized, no BA"
2021,0.03249999999999997,-0.01137762222393146,1382,"Naturalized, no BA"
2022,0.06896551724137923,-0.010306542811584163,1534,"Naturalized, no BA"
2023,0.04651162790697683,0.005848846524638018,1571,"Naturalized, no BA"
2024,0.040000000000000036,0.010067246962518706,1597,"Naturalized, no BA"
2025,0.02941176470588225,0.002043927898997877,1430,"Naturalized, no BA"
2026,0.03333333333333344,-0.0019133488245817176,941,"Naturalized, no BA"
2019,0.05726872246696035,0.0378905338033837,3410,Noncitizens
2020,0.04347826086956519,0.029989056749336163,2804,Noncitizens
2021,0.034482758620689724,-0.01109222044222069,2456,Noncitizens
2022,0.06666666666666665,-0.013201988491751249,2852,Noncitizens
2023,0.05263157894736836,0.008340754314296372,2755,Noncitizens
2024,0.04663212435233155,0.015290387880784628,2707,Noncitizens
2025,0.040000000000000036,0.012609890790223233,2587,Noncitizens
2026,0.045454545454545414,0.010569857479342248,1631,Noncitizens
