yr,qtile,tracker,tracker_real,n,grp
2019,Q1 lowest,0.05263157894736836,0.03489450992464116,12252,All workers
2020,Q1 lowest,0.049180327868852514,0.03579587367450454,11089,All workers
2021,Q1 lowest,0.06000000000000005,0.012099797813242219,9920,All workers
2022,Q1 lowest,0.07692307692307687,-0.0017644021115447162,10008,All workers
2023,Q1 lowest,0.0625,0.017660971373053114,9828,All workers
2024,Q1 lowest,0.043749999999999956,0.014645103452088026,9675,All workers
2025,Q1 lowest,0.03746397694524495,0.01052324647488545,8514,All workers
2026,Q1 lowest,0.03896103896103886,0.006898885444700742,5388,All workers
2019,Q2,0.03825136612021862,0.019588768427173386,12750,All workers
2020,Q2,0.03947368421052633,0.02646437931707668,11440,All workers
2021,Q2,0.04938271604938271,0.0027337791857329208,10276,All workers
2022,Q2,0.07692307692307687,-0.003338589757265642,10359,All workers
2023,Q2,0.05555555555555558,0.016360030533969727,10155,All workers
2024,Q2,0.04761904761904767,0.016761762542625958,10049,All workers
2025,Q2,0.045454545454545414,0.017344748837029744,8848,All workers
2026,Q2,0.04166666666666674,0.008818765704186271,5722,All workers
2019,Q3,0.03527336860670194,0.01728649880818267,13165,All workers
2020,Q3,0.038525963149078635,0.02571349023528091,11617,All workers
2021,Q3,0.03304347826086951,-0.0130648955370537,10283,All workers
2022,Q3,0.05660377358490565,-0.02146551872686464,10301,All workers
2023,Q3,0.05860113421550106,0.018236059631576484,10354,All workers
2024,Q3,0.054054054054053946,0.0238652988184207,10182,All workers
2025,Q3,0.04539877300613493,0.017726293103448088,8933,All workers
2026,Q3,0.040000000000000036,0.006941299325244232,5770,All workers
2019,Q4 highest,0.014814814814814836,-0.0035220347230813243,12685,All workers
2020,Q4 highest,0.02564102564102555,0.013375988967264663,11271,All workers
2021,Q4 highest,0,-0.02719341694716715,9837,All workers
2022,Q4 highest,0.029126213592232997,-0.045645849620630896,9974,All workers
2023,Q4 highest,0.02127659574468077,-0.022215026119470016,9786,All workers
2024,Q4 highest,0.040000000000000036,0.010446472092050518,9765,All workers
2025,Q4 highest,0.02938583602703493,0.002075369512203551,8711,All workers
2026,Q4 highest,0.03603603603603611,0.002051084595966257,5646,All workers
2019,Q1 lowest,0.050000000000000044,0.03194326429111527,9898,Native-born
2020,Q1 lowest,0.04615384615384621,0.03328918402308467,9214,Native-born
2021,Q1 lowest,0.0625,0.014171846918744624,8306,Native-born
2022,Q1 lowest,0.08225108225108246,6.900511571761303e-4,8160,Native-born
2023,Q1 lowest,0.0625,0.01919346930120991,8043,Native-born
2024,Q1 lowest,0.045016077170418,0.015126995946057598,7906,Native-born
2025,Q1 lowest,0.03333333333333344,0.007523855629695708,6803,Native-born
2026,Q1 lowest,0.042944785276073594,0.012098502303881986,4316,Native-born
2019,Q2,0.035947712418300526,0.01786047726049933,10847,Native-born
2020,Q2,0.03950103950103956,0.02656718435948835,9924,Native-born
2021,Q2,0.04938271604938271,0.0019586327255405322,8980,Native-born
2022,Q2,0.07499999999999996,-0.0047075239522881285,8886,Native-born
2023,Q2,0.05555555555555558,0.01789645937097606,8684,Native-born
2024,Q2,0.04761904761904767,0.017388398185724352,8521,Native-born
2025,Q2,0.04761904761904767,0.01941269426545067,7528,Native-born
2026,Q2,0.040000000000000036,0.007784345026714545,4784,Native-born
2019,Q3,0.03571428571428581,0.017760552496860926,11750,Native-born
2020,Q3,0.03816793893129766,0.02553322068513597,10426,Native-born
2021,Q3,0.03349282296650724,-0.012417799316876255,9215,Native-born
2022,Q3,0.0546875,-0.023186135270733876,9156,Native-born
2023,Q3,0.05769230769230771,0.017384027909290944,9234,Native-born
2024,Q3,0.0546875,0.024305663222814022,9031,Native-born
2025,Q3,0.04800000000000004,0.01910458960245065,7868,Native-born
2026,Q3,0.03960396039603964,0.00632431469306316,5033,Native-born
2019,Q4 highest,0.015373217262455885,-0.002445351384217309,10967,Native-born
2020,Q4 highest,0.025974025974025983,0.0139549307739113,9772,Native-born
2021,Q4 highest,0.0016006944444444393,-0.025528830362772204,8453,Native-born
2022,Q4 highest,0.032800672834314426,-0.04358826969048635,8505,Native-born
2023,Q4 highest,0.025316455696202445,-0.014569904236791942,8337,Native-born
2024,Q4 highest,0.04166666666666674,0.012901469321065173,8327,Native-born
2025,Q4 highest,0.029629629629629672,0.003194385040627079,7378,Native-born
2026,Q4 highest,0.037837837837837895,0.004053204193358306,4741,Native-born
