OCC2010,nat_emp_0,for_emp_0,nat_lf_0,nat_un_0,nat_hrs_0,n_nat_0,period_0,nat_emp_1,for_emp_1,nat_lf_1,nat_un_1,nat_hrs_1,n_nat_1,period_1,foreign_share,occ_name,nat_share_0,nat_share_1,nat_unrate_0,nat_unrate_1,d_nat_share,d_nat_unrate,d_nat_hrs
6040,186106.44799999995,429870.9476000001,207984.97799999997,21878.53,38.98928255411248,62,pre,182411.8754,392392.8765,234160.31370000003,51748.4383,40.44063321493957,54,post,0.6258417811947954,"Graders and Sorters, Agricultural Products",0.30213194401187526,0.31734580272178153,0.10519283753271835,0.2209957677384167,0.01521385870990627,0.11580293020569835,1.4513506608270887
6330,733598.02659999975,990561.2404,825425.5088999999,91827.48230000003,38.77252109402533,259,pre,560502.2838999999,592853.5987000001,611421.4169,50919.133,37.75591809312289,173,post,0.5914477880302382,"Drywall Installers, Ceiling Tile Installers, and Tapers",0.4254815901528892,0.48597513773152523,0.11124866061187468,0.08327993032721652,0.06049354757863601,-0.027968730284658155,-1.0166030009024425
9140,2712659.8698000005,3907089.443299999,2922918.8247000007,210258.95489999995,35.93265753701223,856,pre,3018879.001499999,4445270.093800003,3182179.5699999975,163300.5685,34.40488070861568,824,post,0.5838271369145833,Taxi Drivers and Chauffeurs,0.40978286963704885,0.40445052248499636,0.07193458577200833,0.05131720724987249,-0.005332347152052497,-0.02061737852213584,-1.5277768283965543
6240,577478.3811,740074.2722999998,608860.5388999998,31382.1578,39.05088833450549,210,pre,343484.2082999999,509331.7722000001,375758.6530999999,32274.4448,40.29091916946255,126,post,0.5713978452725906,"Carpet, Floor, and Tile Installers and Finishers",0.43829624539846124,0.40276474193016115,0.05154244000883469,0.08589142135180815,-0.035531503468300085,0.034348981342973456,1.2400308349570608
4230,7201737.447100018,9997180.382000031,7703996.859900024,502259.4127999998,32.96594530274478,2534,pre,6966175.549300004,8741036.995200016,7657296.959700014,691121.4104000004,32.64724802719777,2186,post,0.563580203136242,Maids and housekeeping cleaners,0.4187320108544792,0.4435017053193983,0.06519465440261327,0.09025657670550576,0.024769694464919112,0.02506192230289249,-0.31869727554700944
6515,1251210.7454000001,1636681.930799998,1347153.7106000003,95942.9652,40.5298355400053,412,pre,1201751.2767000003,1597705.7923999995,1340897.744699999,139146.468,40.18189947951533,356,post,0.5597797998835409,Roofers,0.43326081876643424,0.42928012362281104,0.07121901862057639,0.10377112538967798,-0.003980695143623203,0.032552106769101585,-0.34793606048997106
6420,2801722.4949999982,3542072.1575999954,3083675.173999999,281952.6790000001,37.96362467572734,951,pre,2089184.350100001,2768373.5416999985,2303569.4666000013,214385.11649999995,37.607753091320085,768,post,0.5570702244238978,Painters and paperhangers,0.44164772796542473,0.430089439309974,0.0914339750753528,0.0930664864283107,-0.011558288655450721,0.0016325113529579022,-0.35587158440725375
4520,2392556.5518,3070453.6275999974,2470816.6632,78260.11140000001,33.08441329567538,676,pre,2488546.211599999,2599094.926400002,2585507.0393999987,96960.8278,34.447512124206604,663,post,0.5545029614054878,Miscellaneous Personal Appearance Workers,0.43795571914214787,0.4891355628471606,0.03167378323353377,0.03750166846287181,0.05117984370501272,0.0058278852293380395,1.3630988285312213
1800,162626.0492,149014.27539999998,163396.685,770.6358,41.350840519588786,95,pre,230557.61330000003,114124.57809999997,234164.51790000004,3606.9046,40.03388506013433,115,post,0.5540373286827508,Economists,0.5218389160925678,0.6688991164978418,0.004716349049553851,0.015403292660847655,0.147060200405274,0.010686943611293805,-1.316955459454455
1650,807841.4660999998,784817.9738999997,820195.9607999998,12354.4947,41.01873520069151,241,pre,752869.0180999996,632708.2732999998,765542.0940999995,12673.076000000001,42.947991616779774,206,post,0.5193071167008078,"Medical scientists, and life scientists, all other",0.5072280023028652,0.5433612565483764,0.015062857281020645,0.01655438165669904,0.03613325424551117,0.001491524375678394,1.9292564160882648
6260,14221220.174999945,13045857.896999992,15605408.248599956,1384188.0736000007,39.5428959006413,4808,pre,13798064.967600007,10907712.12819999,15181619.045400025,1383554.0778,40.14557791652264,4235,post,0.4591031211732738,Construction Laborers,0.5215527728144607,0.5584954852501154,0.08869925422964718,0.09113349990291134,0.03694271243565472,0.0024342456732641543,0.6026820158813422
8800,1878271.9767999991,1797561.7486000003,2045491.098999999,167219.12219999993,39.99191600214399,589,pre,1086536.8565000005,824938.9031,1204370.5098000001,117833.6533,39.788685148457674,352,post,0.4457887392367578,Packaging and Filling Machine Operators and Tenders,0.5109784928031825,0.5684282685998443,0.08175010992800219,0.09783837477020893,0.05744977579666177,0.01608826484220674,-0.2032308536863141
6220,777151.1627,853028.3220999994,827979.5650999999,50828.4024,40.42620557464393,289,pre,622328.2385999998,404602.37990000006,708533.2499999995,86205.0114,40.19712766570568,210,post,0.4436697258544941,"Brickmasons, blockmasons, stonemasons, and reinforcing iron and rebar workers",0.47672736035893976,0.6060080665517715,0.06138847447746027,0.12166685388441553,0.12928070619283177,0.06027837940695526,-0.22907790893825108
6050,5402264.908100001,3988867.795800007,5786680.192199995,384415.2841000001,39.973332209769175,2187,pre,4741498.936500008,3491425.8394000046,5210669.237300003,469170.3008000001,38.137027622811985,1748,post,0.4232007597748901,"Miscellaneous agricultural workers, including animal breeders",0.5752516845871547,0.5759191375560302,0.06643105741667955,0.09004031525192505,6.674529688754927e-4,0.023609257835245492,-1.8363045869571906
8300,740061.2555999997,524186.8281,800558.6969999996,60497.4414,34.01247573541026,282,pre,830691.4819999998,723886.2819,892296.3616000001,61604.879599999986,35.881513378853946,237,post,0.4196470448006162,Laundry and Dry-Cleaning Workers,0.5853766085483052,0.5343518357782424,0.07556902651449184,0.06904082797057992,-0.05102477277006279,-0.0065281985439119145,1.8690376434436828
8320,818650.7166000002,573582.1141,880043.4848000001,61392.7682,37.21276774860543,295,pre,509622.5871000001,328615.29610000004,537837.9728999999,28215.3858,35.90869068575927,174,post,0.4015464995477289,Sewing Machine Operators,0.5880127939436617,0.6079689278113982,0.06976106210700736,0.05246075439386293,0.019956133867736536,-0.017300307713144433,-1.3040770628461615
6230,9277777.72150001,6337039.543199998,9979047.279199999,701269.5576999998,40.631231131926796,3132,pre,7967062.159399993,4751305.720699987,8604142.535100004,637080.3757000003,40.49007777785877,2496,post,0.3954843288281107,Carpenters,0.5941649885633967,0.6264217417288108,0.07027419933781687,0.07404344745581272,0.0322567531654141,0.003769248117995852,-0.14115335406802387
6250,387871.7129999999,247302.73910000004,418124.2561999999,30252.5432,41.18419357753293,127,pre,333303.2760999999,305761.99929999997,407191.64419999975,73888.36809999999,44.44728400425665,116,post,0.3944760753636657,"Cement Masons, Concrete Finishers, and Terrazzo Workers",0.6106538317428022,0.5215480936456462,0.07235299734806443,0.18145845857217135,-0.08910573809715594,0.10910546122410693,3.2630904267237213
4250,9212707.913700005,6340208.606299999,10103906.163700012,891198.2499999997,37.39418711318644,3227,pre,8640343.154199993,5134478.621599994,9477169.270199997,836826.1159999995,36.76887618816435,2717,post,0.3907686319034253,Grounds Maintenance Workers,0.592346001590961,0.6272562574551493,0.08820333795277907,0.08829916319330866,0.03491025586418839,9.582524052959007e-5,-0.6253109250220916
6400,336113.91010000004,192477.64190000008,340662.3755,4548.4654,40.97475912234636,130,pre,424226.9582999999,253502.05029999997,434025.57039999997,9798.612099999998,40.46682400581589,113,post,0.3854600343069792,Insulation Workers,0.6358669729553301,0.6259536671985387,0.013351827871581314,0.022576117095980203,-0.00991330575679139,0.009224289224398888,-0.5079351165304757
