OCC2010,p50_2024,p50_2026,n_2024,n_2026,g_p50_24_26,usable
1650,54.306344980983546,48.6929345604201,38,27,-0.1033656458104315,FALSE
1800,62.414316820794,90,15,13,0.44197685057437863,FALSE
4230,16.67757066198789,16.026491765709906,173,183,-0.03903919278614998,TRUE
4250,20.21823657225632,19.111825115608674,220,209,-0.05472344003363161,TRUE
4520,20.56579853802289,19.73274477102682,31,43,-0.04050675520602254,FALSE
6040,20.165030686539854,15.046174300498276,5,3,-0.25384818231188766,FALSE
6050,17.378030393914734,17.752632391819827,145,146,0.02155606759879225,TRUE
6220,35.14446493291791,29.987198730018534,16,14,-0.14674476372718503,FALSE
6230,26.624594646149934,29.712878014585616,193,171,0.11599362955492976,TRUE
6240,28.731178286890557,26.666666666666668,12,7,-0.071856141770763493,FALSE
6250,26.65552637861065,26.652018911516745,14,8,-1.3158498707110944e-4,FALSE
6260,23.08368584387682,24.14125277761096,262,294,0.04581447438190067,TRUE
6330,22.522764238054382,22.5,7,13,-0.0010107213223818912,FALSE
6400,29.819546003687925,33.47639251028882,7,11,0.12263253458482004,FALSE
6420,21.588909727190114,24.073878880797242,49,40,0.11510396703717918,FALSE
6515,23.96213518153494,20.991039111012974,29,15,-0.12399129075991,FALSE
8300,15.551432450085168,16.401242407087228,23,20,0.054645124153653635,FALSE
8320,19.23035707451491,18,19,19,-0.06397993910084199,FALSE
8800,20.645867218216516,20.501553008859034,64,34,-0.006989980504676918,FALSE
9140,18.3505732681116,18.10593958320822,41,56,-0.013331119487612342,FALSE
