yr,se_rate,se_uninc_rate,se_inc_rate,n,months
2015,0.0985172513957807,0.061488868731855904,0.03702838266392483,632259,12
2016,0.0979832191721966,0.06114504678383378,0.03683817238836278,631931,12
2017,0.09764278977020806,0.06018501398986803,0.03745777578034001,623799,12
2018,0.09742241116854237,0.0597640905571487,0.03765832061139374,604367,12
2019,0.09665270017508447,0.057887578323319054,0.03876512185176551,586729,12
2020,0.1024172262611518,0.06069355256471814,0.04172367369643354,498485,12
2021,0.10178825694700151,0.062544888994434,0.03924336795256749,507174,12
2022,0.09985988748879428,0.05898080449529147,0.040879082993502874,489905,12
2023,0.09694291307351634,0.05682728857362679,0.04011562449988963,480328,12
2024,0.09789290388157453,0.05775383673599946,0.04013906714557505,473813,12
2025,0.0972072221216536,0.05648133963184865,0.040725882489804986,415774,11
2026,0.09537151247429902,0.055019074947246435,0.04035243752705263,290573,8
