yr,exp_q,se_rate,n
2015,Q1 lowest,0.10322027399538462,115192
2016,Q1 lowest,0.10102402374844754,114008
2017,Q1 lowest,0.09812484377024988,112409
2018,Q1 lowest,0.09803812525323063,108622
2019,Q1 lowest,0.09763081249317201,105830
2020,Q1 lowest,0.09993218396618102,91031
2021,Q1 lowest,0.09747183482676502,89902
2022,Q1 lowest,0.09876014346637035,87379
2023,Q1 lowest,0.09668552308845613,85347
2024,Q1 lowest,0.09580369025350832,83875
2025,Q1 lowest,0.09418129931706076,72529
2026,Q1 lowest,0.09545898059591548,50698
2015,Q2,0.07722667802953943,137705
2016,Q2,0.07692697625945684,136515
2017,Q2,0.0779632945388344,135755
2018,Q2,0.07881818148045104,130615
2019,Q2,0.07422964518891807,126800
2020,Q2,0.08019339945681908,111054
2021,Q2,0.07998631772232746,113592
2022,Q2,0.0788283858704933,110175
2023,Q2,0.07833188716563413,109478
2024,Q2,0.07620637469244586,108706
2025,Q2,0.07604826208654172,97463
2026,Q2,0.07624479541259718,68317
2015,Q3,0.1076503674091842,211765
2016,Q3,0.10587285854279006,210953
2017,Q3,0.10747794499845022,208964
2018,Q3,0.10917969132471818,204382
2019,Q3,0.11104297525007567,198851
2020,Q3,0.11626556483328486,170984
2021,Q3,0.11660812459884633,174116
2022,Q3,0.11299910886141114,167996
2023,Q3,0.10862537710704405,164844
2024,Q3,0.109224067620227,162557
2025,Q3,0.11123402028196021,142238
2026,Q3,0.10916872860323369,99421
2015,Q4 highest,0.10365220713562118,154772
2016,Q4 highest,0.10459982018738723,157820
2017,Q4 highest,0.1024252445843405,154626
2018,Q4 highest,0.09869509373244238,149132
2019,Q4 highest,0.09694479836336158,144251
2020,Q4 highest,0.10696799891416305,118636
2021,Q4 highest,0.10559563431479689,123176
2022,Q4 highest,0.10343010927066126,118250
2023,Q4 highest,0.09977339336026629,114401
2024,Q4 highest,0.10518204539635256,112944
2025,Q4 highest,0.10115361295407439,98258
2026,Q4 highest,0.09515747923062183,68303
