yr,grp,member_rate,cov_rate,n
2018,Native-born,0.11008132784399514,0.12182125802125185,133619
2019,Native-born,0.10748168582983213,0.12045862809438763,129023
2020,Native-born,0.11197158757072026,0.12496038007565917,112667
2021,Native-born,0.10700080459380872,0.12028928444839418,112288
2022,Native-born,0.10505751905418333,0.11755571281138692,107628
2023,Native-born,0.10387651282580981,0.11634342257256862,103833
2024,Native-born,0.1027932038877571,0.11511018882380009,102959
2025,Native-born,0.10507176211207746,0.11749903069264166,90122
2026,Native-born,0.10315903158785754,0.11388280909966295,62974
2018,Naturalized citizen,0.12305433107668266,0.13545834482798302,10838
2019,Naturalized citizen,0.11390906753660125,0.1266560739093034,10745
2020,Naturalized citizen,0.12456006726983788,0.13817533354205958,9010
2021,Naturalized citizen,0.11758440640269649,0.13140929649307242,9347
2022,Naturalized citizen,0.11384342792119188,0.12454819998681649,9259
2023,Naturalized citizen,0.11273816695966218,0.12546019414827758,9330
2024,Naturalized citizen,0.11700504124088702,0.1300186135790741,9468
2025,Naturalized citizen,0.11114896466438474,0.1242188748016791,8506
2026,Naturalized citizen,0.10438721138281214,0.11730465873042771,6146
2018,Noncitizen,0.05019189010759954,0.059755757065096934,11544
2019,Noncitizen,0.052797319175636695,0.06297599167263522,10933
2020,Noncitizen,0.052853086223999396,0.06224574476624025,8728
2021,Noncitizen,0.04907057180310667,0.060035477475349784,9339
2022,Noncitizen,0.05523723436087676,0.06456015577413579,9809
2023,Noncitizen,0.051425058065118955,0.06078165920029385,9748
2024,Noncitizen,0.04870753280486971,0.058405119268081826,10375
2025,Noncitizen,0.049560525321281385,0.061001603942200416,8627
2026,Noncitizen,0.04828983228163311,0.05767534327147385,5903
