yr,citgrp,epop,lfpr,unrate,n,months
2015,Native-born,0.8339116038514391,0.8743413829243587,0.04624245634721242,246555,12
2016,Native-born,0.8394543109182125,0.8775874947638949,0.04345422069347007,243567,12
2017,Native-born,0.8437927701946166,0.8776419753118633,0.03857751106596807,237074,12
2018,Native-born,0.8529219550659556,0.8832785734938281,0.03435995892521437,227342,12
2019,Native-born,0.8555346001199657,0.8842985921315355,0.03251932593036067,217476,12
2020,Native-born,0.8105574020232056,0.8705887303359966,0.0691633110327874,193381,12
2021,Native-born,0.8254254483153375,0.8699960539318314,0.051250635734065415,195257,12
2022,Native-born,0.8493460281617157,0.8775171780124841,0.03211301649208861,184183,12
2023,Native-born,0.8554328289670695,0.8847144718128491,0.03309539739390444,178746,12
2024,Native-born,0.8534548678737345,0.8847498177335318,0.035370264952689495,176348,12
2025,Native-born,0.8550427911582492,0.8871626947272638,0.03621036373824727,154582,11
2026,Native-born,0.8499734847988087,0.8861066294141555,0.04077533069277374,109037,8
2015,Naturalized citizen,0.885198973378127,0.9174452599542732,0.03517512399577238,19450,12
2016,Naturalized citizen,0.897293738074452,0.9224539774443062,0.027257869628206186,18895,12
2017,Naturalized citizen,0.8991013015505924,0.9262582178642336,0.029297955878564725,18688,12
2018,Naturalized citizen,0.8996932686436258,0.9205510295361394,0.022665792384041334,19280,12
2019,Naturalized citizen,0.9073655697585741,0.927548937861905,0.02175136826776373,18718,12
2020,Naturalized citizen,0.8478974169791861,0.9147229887432745,0.07364880575898294,16174,12
2021,Naturalized citizen,0.8731653875860016,0.9162808338071806,0.04708817883100661,16582,12
2022,Naturalized citizen,0.8979889852434041,0.9207927130522936,0.024777566148314733,15776,12
2023,Naturalized citizen,0.9082311375730671,0.9315740706177733,0.02506702079844129,15709,12
2024,Naturalized citizen,0.90857572875616055,0.9317180613999315,0.0248437358077712,16316,12
2025,Naturalized citizen,0.9008760267136643,0.9270452927476484,0.028232856609162894,14319,11
2026,Naturalized citizen,0.9130962360595138,0.9371413150919421,0.025691301781201787,9537,8
2015,Noncitizen,0.8781713404717388,0.9151915659286868,0.04047224492307857,29635,12
2016,Noncitizen,0.8815162119367456,0.9137282995502423,0.03525953633525487,29385,12
2017,Noncitizen,0.8884650258798468,0.9171112162423646,0.03120281887137762,28465,12
2018,Noncitizen,0.8936912535279017,0.9174971459730275,0.025961835724978382,27151,12
2019,Noncitizen,0.8948013527507218,0.9176291324674345,0.02486263763307196,25047,12
2020,Noncitizen,0.8463742303810732,0.9107759937858607,0.07102350152614927,20793,12
2021,Noncitizen,0.8771746436755387,0.9192717984978667,0.0458696848935097,22207,12
2022,Noncitizen,0.8934238091832526,0.9190766953438181,0.027919980284042006,23155,12
2023,Noncitizen,0.8814792117558271,0.9146250417847998,0.036271117418282435,23049,12
2024,Noncitizen,0.8787567701640991,0.9147836548572817,0.03940590540838061,24573,12
2025,Noncitizen,0.8842250616329385,0.9202029628032519,0.039090506676994694,19575,11
2026,Noncitizen,0.8953170596909538,0.9257894162218879,0.03290627056322061,13085,8
