yr,overlap,n_occ,grp
2015,0.18742345266970223,365,Native men
2016,0.1895675693757549,365,Native men
2017,0.18961948971241263,365,Native men
2018,0.18950503410174432,365,Native men
2019,0.18982333670498036,365,Native men
2020,0.1874148328150906,365,Native men
2021,0.1889535046987831,365,Native men
2022,0.18816693060306514,365,Native men
2023,0.18678116366316425,365,Native men
2024,0.18676854718390404,365,Native men
2025,0.18675496037318187,365,Native men
2026,0.18694248424704213,365,Native men
2015,0.20262182485384356,364,"Native men, no BA"
2016,0.20555806787102174,361,"Native men, no BA"
2017,0.20549123988176327,360,"Native men, no BA"
2018,0.20529110680685905,361,"Native men, no BA"
2019,0.20504373814916133,360,"Native men, no BA"
2020,0.2027854135511611,350,"Native men, no BA"
2021,0.20438602034922987,349,"Native men, no BA"
2022,0.20361983245571338,349,"Native men, no BA"
2023,0.20202620017909184,350,"Native men, no BA"
2024,0.20148362274823012,350,"Native men, no BA"
2025,0.20155443167169007,351,"Native men, no BA"
2026,0.20100502064750558,348,"Native men, no BA"
2015,0.15849199090175756,364,Native women
2016,0.15903203103649405,363,Native women
2017,0.15874101803175059,365,Native women
2018,0.15937485021653444,364,Native women
2019,0.15913933815661008,364,Native women
2020,0.15677574672135702,364,Native women
2021,0.1576578030577651,362,Native women
2022,0.1582639002264757,363,Native women
2023,0.1572430843078272,365,Native women
2024,0.15718678891076315,364,Native women
2025,0.15779142152005524,363,Native women
2026,0.15801693925881918,361,Native women
2015,0.21330219592324118,358,Naturalized citizens
2016,0.21421978462089217,363,Naturalized citizens
2017,0.21737218852381443,362,Naturalized citizens
2018,0.21834106004056353,359,Naturalized citizens
2019,0.2174714927622974,360,Naturalized citizens
2020,0.21139747075685075,360,Naturalized citizens
2021,0.21357333785918484,363,Naturalized citizens
2022,0.21266263191823354,362,Naturalized citizens
2023,0.21326118478888093,361,Naturalized citizens
2024,0.2135131737933109,360,Naturalized citizens
2025,0.2125712756351896,358,Naturalized citizens
2026,0.2115681140511773,357,Naturalized citizens
2015,0.28058458765254324,357,Noncitizens
2016,0.28047603538202365,350,Noncitizens
2017,0.28248005667368786,354,Noncitizens
2018,0.2822459906894377,357,Noncitizens
2019,0.27839261000712695,357,Noncitizens
2020,0.2741692743185742,353,Noncitizens
2021,0.28010942081719664,349,Noncitizens
2022,0.2786594493469681,355,Noncitizens
2023,0.27798140588963344,357,Noncitizens
2024,0.27782977612502296,354,Noncitizens
2025,0.2725968146799162,359,Noncitizens
2026,0.2720517180063848,343,Noncitizens
