yr,exp_q,grp,w,sh
2015,Q2,Native men,135953312.6341005,0.17979341864992215
2015,Q2,Native women,191719732.4721014,0.2717929400894468
2015,Q2,Naturalized citizens,24005006.38960001,0.16968191353629808
2015,Q2,Noncitizens,14396484.797699964,0.0936889991794432
2016,Q2,Native women,191622216.66170278,0.2682942734571249
2016,Q2,Native men,138270134.89600095,0.17977297114520163
2016,Q2,Noncitizens,15684237.304099938,0.09858813189348774
2016,Q2,Naturalized citizens,25181616.363900065,0.17215889497584888
2017,Q2,Native women,196139769.9224008,0.271232519958486
2017,Q2,Native men,138678121.26949957,0.1782152624788539
2017,Q2,Naturalized citizens,25466965.247500032,0.17028901785820816
2017,Q2,Noncitizens,16121004.500400005,0.09992153818285725
2018,Q2,Native men,139776300.99540055,0.17730824354238647
2018,Q2,Native women,195703728.4170019,0.2672702897800428
2018,Q2,Naturalized citizens,25694951.043299947,0.1622242411966506
2018,Q2,Noncitizens,16255477.422300002,0.09865430799263324
2019,Q2,Native men,143195679.58369964,0.1798322657147246
2019,Q2,Native women,197180341.74190217,0.26537669816821263
2019,Q2,Naturalized citizens,27047092.699499924,0.16490798850798535
2019,Q2,Noncitizens,16122950.36679999,0.09948401354140465
2020,Q2,Native men,139044959.82209963,0.18320630186002487
2020,Q2,Native women,192607490.50530028,0.27382656010317186
2020,Q2,Naturalized citizens,25680000.015400067,0.16940427762205096
2020,Q2,Noncitizens,14827678.205000026,0.10343972037729385
2021,Q2,Native men,139572295.3598992,0.17988547974314323
2021,Q2,Native women,200443491.65419897,0.277518525467176
2021,Q2,Naturalized citizens,27800904.887500055,0.174912065049426
2021,Q2,Noncitizens,15453114.104299985,0.09968583627889469
2022,Q2,Native men,147388490.7063992,0.1834266518421893
2022,Q2,Native women,203703990.06739932,0.2760551049454925
2022,Q2,Noncitizens,17584868.35920001,0.10122052388105868
2022,Q2,Naturalized citizens,29660910.969099995,0.17531040500057798
2023,Q2,Native women,208308302.46560106,0.2778920032622129
2023,Q2,Native men,152304428.8756991,0.18790591213766827
2023,Q2,Naturalized citizens,31346858.076200034,0.17632863934618886
2023,Q2,Noncitizens,17781849.4759,0.09922290370634387
2024,Q2,Native men,151069353.21179935,0.18854158676814312
2024,Q2,Native women,211353187.51490024,0.28081522162442357
2024,Q2,Naturalized citizens,32393498.87139995,0.17909756572576405
2024,Q2,Noncitizens,18812434.048500016,0.10051466596158751
2025,Q2,Native women,201521375.69339985,0.2896812646478424
2025,Q2,Native men,142998601.28049916,0.19108420754531852
2025,Q2,Noncitizens,17122565.58720005,0.10139433933411171
2025,Q2,Naturalized citizens,31543297.42959995,0.18177074695458217
2026,Q2,Native women,145424594.72560087,0.2878562149571217
2026,Q2,Native men,103341596.50180043,0.19254375380867245
2026,Q2,Noncitizens,12651206.892999995,0.10663873047398714
2026,Q2,Naturalized citizens,24537042.739800025,0.18991199794891056
2015,Q1 lowest,Native men,111741325.70570067,0.14777392741560297
2015,Q1 lowest,Native women,152591256.8800025,0.21632215841629657
2015,Q1 lowest,Noncitizens,7297923.989500002,0.04749320436702303
2015,Q1 lowest,Naturalized citizens,13640954.33840003,0.096422521078927
2016,Q1 lowest,Native women,153166332.29089907,0.2144513854185689
2016,Q1 lowest,Native men,111064845.75590034,0.14440180684237702
2016,Q1 lowest,Noncitizens,7826921.983299988,0.04919854257802558
2016,Q1 lowest,Naturalized citizens,13964554.828300007,0.09547132691276693
2017,Q1 lowest,Native men,113589237.67689958,0.145973536575548
2017,Q1 lowest,Native women,154875608.7896005,0.2141702402767548
2017,Q1 lowest,Naturalized citizens,13932352.539599992,0.09316094820743095
2017,Q1 lowest,Noncitizens,7277235.266999988,0.045105907735410164
2018,Q1 lowest,Native men,114085361.35910024,0.14471891795982025
2018,Q1 lowest,Native women,156723552.31060064,0.2140355198147207
2018,Q1 lowest,Naturalized citizens,13942924.658500003,0.08802820324411653
2018,Q1 lowest,Noncitizens,7850502.880400013,0.04764461288584255
2019,Q1 lowest,Native men,113475687.11400086,0.14250841908479545
2019,Q1 lowest,Native women,161425135.01620218,0.21725527480843285
2019,Q1 lowest,Noncitizens,8155670.73359999,0.05032322492113048
2019,Q1 lowest,Naturalized citizens,14830312.177700002,0.09042143558058661
2020,Q1 lowest,Native men,109666052.43369961,0.14449651344192319
2020,Q1 lowest,Native women,154028798.35859966,0.21897993634987822
2020,Q1 lowest,Noncitizens,6707965.068899998,0.046795595469133616
2020,Q1 lowest,Naturalized citizens,14173247.253599964,0.09349722395307461
2021,Q1 lowest,Native women,152626496.42299846,0.21131481937864377
2021,Q1 lowest,Native men,109325097.79770024,0.14090187178332841
2021,Q1 lowest,Noncitizens,6285255.360400015,0.04054528638040257
2021,Q1 lowest,Naturalized citizens,14316909.418199973,0.09007621160521581
2022,Q1 lowest,Native women,156706857.7932011,0.21236563927622232
2022,Q1 lowest,Native men,113582384.82839997,0.14135456885046946
2022,Q1 lowest,Naturalized citizens,15038412.9625,0.0888843323041677
2022,Q1 lowest,Noncitizens,7447662.442799986,0.04286960122479957
2023,Q1 lowest,Native women,160217858.79550004,0.21373733649630317
2023,Q1 lowest,Native men,114731953.34740044,0.14155079076967994
2023,Q1 lowest,Naturalized citizens,14953063.11770002,0.0841122024795076
2023,Q1 lowest,Noncitizens,7701602.615700016,0.04297502212904381
2024,Q1 lowest,Native women,161207275.2777983,0.2141886633785115
2024,Q1 lowest,Native men,111779721.29389928,0.1395062967649383
2024,Q1 lowest,Naturalized citizens,15657714.844899978,0.08656856194147063
2024,Q1 lowest,Noncitizens,8010085.807400001,0.042797816443038116
2025,Q1 lowest,Native men,103898927.8060991,0.13883663271428193
2025,Q1 lowest,Naturalized citizens,15819025.553599995,0.09115838625904754
