yr,citgrp,epop,lfpr,unrate,n,months
2015,Native-born,0.7806736824521031,0.817773533514925,0.04536831363842225,509467,12
2016,Native-born,0.787332824071032,0.8225063749045294,0.042766786940302275,502550,12
2017,Native-born,0.794140972818516,0.8256611583843858,0.03818708674621346,489076,12
2018,Native-born,0.803039392245391,0.8309198629076011,0.033560214378644954,468299,12
2019,Native-born,0.8081067284683865,0.8347279781881345,0.0318981831057183,446963,12
2020,Native-born,0.7674894604076757,0.823421453493943,0.06820477154997881,395939,12
2021,Native-born,0.7822126119547955,0.8225693765396732,0.04908994356870423,398062,12
2022,Native-born,0.8054736787155438,0.8318541767852562,0.031718018109787006,374752,12
2023,Native-born,0.814844016297306,0.8409527620175329,0.031048023823618025,363442,12
2024,Native-born,0.815060142702008,0.8434162280792767,0.03362042221842726,358612,12
2025,Native-born,0.8137856124642601,0.8434817210933563,0.03520607145122639,314152,11
2026,Native-born,0.8097484665709113,0.8423350923900266,0.03868311953649151,220361,8
2015,Naturalized citizen,0.7918757621847775,0.8222077126901498,0.036909415005504015,41940,12
2016,Naturalized citizen,0.8017172899993845,0.82919958312462,0.03314109570462901,41674,12
2017,Naturalized citizen,0.8080446113655659,0.8354244185668879,0.0327727203000198,41425,12
2018,Naturalized citizen,0.8080999393563636,0.8313103832570222,0.02791945543169987,41883,12
2019,Naturalized citizen,0.816760454289483,0.8371249467167924,0.024323271563523045,40098,12
2020,Naturalized citizen,0.7554852354818343,0.81977737782496,0.07882292402610834,35014,12
2021,Naturalized citizen,0.7856036500622204,0.8265794247714693,0.049623276056475686,36188,12
2022,Naturalized citizen,0.8149196310709798,0.8365995846723978,0.025929288418580484,34755,12
2023,Naturalized citizen,0.829661468173834,0.8505927376156359,0.024603794199080625,34519,12
2024,Naturalized citizen,0.8278419688238244,0.851176058590346,0.02741393420385876,35244,12
2025,Naturalized citizen,0.8230128344322377,0.8503667245530196,0.032169999469001946,30897,11
2026,Naturalized citizen,0.8309073551332412,0.8568077419307272,0.030235249159212475,21523,8
2015,Noncitizen,0.705997599699215,0.7439301686535399,0.05098242512396154,59256,12
2016,Noncitizen,0.7148749049517723,0.7481419590475479,0.044456050798091264,59074,12
2017,Noncitizen,0.7214765411585814,0.7512671619389065,0.039642712326713125,57535,12
2018,Noncitizen,0.736784913558853,0.7625789687104373,0.033858337944513074,55011,12
2019,Noncitizen,0.740675241260217,0.7646681150668589,0.031361275812538614,51167,12
2020,Noncitizen,0.6849366654979275,0.7534576082477752,0.09159746764340637,42192,12
2021,Noncitizen,0.717884037169683,0.7586640557006245,0.05386506120967238,44718,12
2022,Noncitizen,0.7459173242705538,0.7723411895201538,0.03423375935940211,45754,12
2023,Noncitizen,0.7495656680445477,0.7819925310013852,0.04149663383291399,45457,12
2024,Noncitizen,0.7451163029233717,0.7840095293792905,0.04960615469264448,48097,12
2025,Noncitizen,0.7483727317603749,0.7847464450446086,0.04630795560146133,38922,11
2026,Noncitizen,0.7578133123701863,0.7902269719053018,0.04096686043105842,26096,8
