yr,citgrp,male,epop,lfpr,unrate,n,months,sexlab
2015,Native-born,0,0.7297739574446168,0.7636829155258557,0.04441093150385419,262912,12,Women
2016,Native-born,0,0.7371471735962717,0.7694724104324514,0.042015367802133934,258983,12,Women
2017,Native-born,0,0.7461542148988088,0.7754243055106644,0.03776082917404423,252002,12,Women
2018,Native-born,0,0.7548126065223529,0.7803018630086505,0.03267712972757062,240957,12,Women
2019,Native-born,0,0.7621673086390635,0.7867191818039877,0.031221846386350418,229487,12,Women
2020,Native-born,0,0.7255437908638985,0.7774907761810317,0.06719121439008366,202558,12,Women
2021,Native-born,0,0.7400541267344055,0.7763022389524991,0.04673786537414452,202805,12,Women
2022,Native-born,0,0.7622603731369614,0.7868781372098108,0.03128610863587455,190569,12,Women
2023,Native-born,0,0.7743613551512897,0.7973074810170712,0.028789786073125396,184696,12,Women
2024,Native-born,0,0.7774802881315909,0.8029608706444527,0.0317430178038357,182264,12,Women
2025,Native-born,0,0.773225856391041,0.8005409065346618,0.03411902696295803,159570,11,Women
2026,Native-born,0,0.7705572026019132,0.7996890957761723,0.03642404020120327,111324,8,Women
2015,Native-born,1,0.8339116038514391,0.8743413829243587,0.04624245634721242,246555,12,Men
2016,Native-born,1,0.8394543109182125,0.8775874947638949,0.04345422069347007,243567,12,Men
2017,Native-born,1,0.8437927701946166,0.8776419753118633,0.03857751106596807,237074,12,Men
2018,Native-born,1,0.8529219550659556,0.8832785734938281,0.03435995892521437,227342,12,Men
2019,Native-born,1,0.8555346001199657,0.8842985921315355,0.03251932593036067,217476,12,Men
2020,Native-born,1,0.8105574020232056,0.8705887303359966,0.0691633110327874,193381,12,Men
2021,Native-born,1,0.8254254483153375,0.8699960539318314,0.051250635734065415,195257,12,Men
2022,Native-born,1,0.8493460281617157,0.8775171780124841,0.03211301649208861,184183,12,Men
2023,Native-born,1,0.8554328289670695,0.8847144718128491,0.03309539739390444,178746,12,Men
2024,Native-born,1,0.8534548678737345,0.8847498177335318,0.035370264952689495,176348,12,Men
2025,Native-born,1,0.8550427911582492,0.8871626947272638,0.03621036373824727,154582,11,Men
2026,Native-born,1,0.8499734847988087,0.8861066294141555,0.04077533069277374,109037,8,Men
2015,Naturalized citizen,0,0.7082192784475093,0.7367609602409427,0.03875769735928403,22490,12,Women
2016,Naturalized citizen,0,0.718308318221022,0.7478249588522691,0.03947328705421347,22779,12,Women
2017,Naturalized citizen,0,0.7290011070835382,0.7565765403811665,0.03646986641004766,22737,12,Women
2018,Naturalized citizen,0,0.7259443171882002,0.7512605827989446,0.033687475818050046,22603,12,Women
2019,Naturalized citizen,0,0.7324861689185029,0.7530562621511652,0.02733377772506344,21380,12,Women
2020,Naturalized citizen,0,0.6728350978636533,0.7348451072268883,0.08454389187204081,18840,12,Women
2021,Naturalized citizen,0,0.7079010074902118,0.7469523523006693,0.052341581827725976,19606,12,Women
2022,Naturalized citizen,0,0.7431841040891486,0.7638766208791684,0.027108606892157064,18979,12,Women
2023,Naturalized citizen,0,0.7608056989683131,0.7796164242165328,0.024090092604868288,18810,12,Women
2024,Naturalized citizen,0,0.7549652115732804,0.7784776382193598,0.030195612578297143,18928,12,Women
2025,Naturalized citizen,0,0.7514718670276572,0.7799287963646389,0.036482805532501404,16578,11,Women
2026,Naturalized citizen,0,0.7636597892636372,0.7910870862044728,0.034624333515913756,11986,8,Women
2015,Naturalized citizen,1,0.885198973378127,0.9174452599542732,0.03517512399577238,19450,12,Men
2016,Naturalized citizen,1,0.897293738074452,0.9224539774443062,0.027257869628206186,18895,12,Men
2017,Naturalized citizen,1,0.8991013015505924,0.9262582178642336,0.029297955878564725,18688,12,Men
2018,Naturalized citizen,1,0.8996932686436258,0.9205510295361394,0.022665792384041334,19280,12,Men
2019,Naturalized citizen,1,0.9073655697585741,0.927548937861905,0.02175136826776373,18718,12,Men
2020,Naturalized citizen,1,0.8478974169791861,0.9147229887432745,0.07364880575898294,16174,12,Men
2021,Naturalized citizen,1,0.8731653875860016,0.9162808338071806,0.04708817883100661,16582,12,Men
2022,Naturalized citizen,1,0.8979889852434041,0.9207927130522936,0.024777566148314733,15776,12,Men
2023,Naturalized citizen,1,0.9082311375730671,0.9315740706177733,0.02506702079844129,15709,12,Men
2024,Naturalized citizen,1,0.90857572875616055,0.9317180613999315,0.0248437358077712,16316,12,Men
2025,Naturalized citizen,1,0.9008760267136643,0.9270452927476484,0.028232856609162894,14319,11,Men
2026,Naturalized citizen,1,0.9130962360595138,0.9371413150919421,0.025691301781201787,9537,8,Men
2015,Noncitizen,0,0.5206994585731476,0.5596950782528228,0.06961163456515636,29621,12,Women
2016,Noncitizen,0,0.537298835827005,0.5716764352025885,0.060070823500271826,29689,12,Women
