yr,arrgrp,epop,lfpr,unrate,n,months
2015,Arrived 2000-2015,0.7763466456341007,0.8052087185068285,0.03587806615077738,11894,12
2016,Arrived 2000-2015,0.7757197209723872,0.8096195640721597,0.041866490486247354,13392,12
2017,Arrived 2000-2015,0.7914606737688143,0.8200814396618319,0.03489482897250167,14111,12
2018,Arrived 2000-2015,0.7953779126138961,0.8188077081474732,0.02859959818068297,14748,12
2019,Arrived 2000-2015,0.7961340727957907,0.8168195843985236,0.025355509090506767,15223,12
2020,Arrived 2000-2015,0.7407038889671184,0.8088279524366014,0.08472254100043704,14260,12
2021,Arrived 2000-2015,0.7800015892943755,0.8233966286352542,0.05286162353822558,15434,12
2022,Arrived 2000-2015,0.8087638763354229,0.831545041873822,0.027396123328901182,15577,12
2023,Arrived 2000-2015,0.8324199481096034,0.8530346559282065,0.024166831571965423,16091,12
2024,Arrived 2000-2015,0.8350506929099234,0.8585811888839506,0.027393737228554486,16983,12
2025,Arrived 2000-2015,0.83051522594283,0.8567986898911258,0.03064636433162711,14735,11
2026,Arrived 2000-2015,0.8384565599307905,0.8633700381688935,0.02887977012572932,10393,8
2018,Arrived 2016 or later,0.754489315330387,0.779837977290052,0.03252297367920677,652,12
2019,Arrived 2016 or later,0.775177247110547,0.80109320572674,0.03186334782782576,994,12
2020,Arrived 2016 or later,0.7005354285077924,0.7854146600475879,0.10672420159037639,1029,12
2021,Arrived 2016 or later,0.7275328311462285,0.7717185051267902,0.05689661215975104,1415,12
2022,Arrived 2016 or later,0.7668462679107945,0.8004052290251961,0.041795482415673275,1869,12
2023,Arrived 2016 or later,0.7817662348040327,0.8080564521241193,0.03238781587801703,2443,12
2024,Arrived 2016 or later,0.7902128062746047,0.814115257059513,0.029418791083915586,3177,12
2025,Arrived 2016 or later,0.7827942270560558,0.820569268427619,0.045877938202142705,3399,11
2026,Arrived 2016 or later,0.7949106414344383,0.8303291339062071,0.04277846420847494,2772,8
2015,Arrived before 2000,0.7979073810166889,0.8288215668120776,0.03730441719477589,30046,12
2016,Arrived before 2000,0.8139643489699901,0.8384392068753094,0.02919134546349936,28282,12
2017,Arrived before 2000,0.8165134038037132,0.8432748325095858,0.03172458200748726,27314,12
2018,Arrived before 2000,0.816242183296143,0.8393281665197838,0.02751498517070317,26483,12
2019,Arrived before 2000,0.8314516536026932,0.851302464629904,0.023313967970261695,23881,12
2020,Arrived before 2000,0.7691083323073671,0.8296037633172341,0.07321862091349852,19725,12
2021,Arrived before 2000,0.7939195258524042,0.8329415476461787,0.04681912824456538,19339,12
2022,Arrived before 2000,0.8252104792814939,0.8446464622984965,0.023000456876721715,17309,12
2023,Arrived before 2000,0.8340093310181862,0.854445079431356,0.023944259477702446,15985,12
2024,Arrived before 2000,0.8274261223124837,0.8504741020385752,0.02711904705322146,15084,12
2025,Arrived before 2000,0.8248911771435826,0.8506125491045953,0.03025072722307878,12763,11
2026,Arrived before 2000,0.8341284163506699,0.8579094611185808,0.027688490058685466,8358,8
