yr,hispanic,epop,lfpr,unrate,n,months,grp
2015,0,0.797182576272839,0.8242951013958789,0.03290270033437651,27528,12,"Naturalized, non-Hispanic"
2016,0,0.8009497607327423,0.8271853056057777,0.03171906813755274,26970,12,"Naturalized, non-Hispanic"
2017,0,0.8149229171067788,0.8414044931045277,0.03148324764796099,26845,12,"Naturalized, non-Hispanic"
2018,0,0.8146302798593547,0.8371996079802306,0.026960072242443327,26714,12,"Naturalized, non-Hispanic"
2019,0,0.8181595238149105,0.8384756718876728,0.02423357702729492,25333,12,"Naturalized, non-Hispanic"
2020,0,0.7630590094800765,0.8281989366350416,0.07877561488149133,22603,12,"Naturalized, non-Hispanic"
2021,0,0.7956510916650146,0.838018852745305,0.05061920348661827,23686,12,"Naturalized, non-Hispanic"
2022,0,0.823217015877538,0.8448123833247653,0.0255678709763187,22897,12,"Naturalized, non-Hispanic"
2023,0,0.8323907799003768,0.8532894851028433,0.024496235402063738,22607,12,"Naturalized, non-Hispanic"
2024,0,0.8332912560275095,0.8563428888387423,0.026912887597230973,22901,12,"Naturalized, non-Hispanic"
2025,0,0.8273685983170325,0.856320962502402,0.0338033453806239,20277,11,"Naturalized, non-Hispanic"
2026,0,0.830906353175453,0.857667934200507,0.031202281926817857,13991,8,"Naturalized, non-Hispanic"
2015,1,0.7825610922083962,0.8185113171412478,0.04395413704051057,14412,12,"Naturalized, Hispanic"
2016,1,0.8030336129679169,0.8326647241942093,0.03556835352884607,14704,12,"Naturalized, Hispanic"
2017,1,0.796254445931614,0.8251968901700782,0.035050065443512406,14580,12,"Naturalized, Hispanic"
2018,1,0.7973287358916202,0.8216277046696576,0.02959015143124925,15169,12,"Naturalized, Hispanic"
2019,1,0.814584459958737,0.8350139063219163,0.024458937981570433,14765,12,"Naturalized, Hispanic"
2020,1,0.7439653185003928,0.8069384404458653,0.07882866861375801,12411,12,"Naturalized, Hispanic"
2021,1,0.7683569065238748,0.8069653796263948,0.04787780169261766,12502,12,"Naturalized, Hispanic"
2022,1,0.8002316012077951,0.8219720472255377,0.026463585726305517,11858,12,"Naturalized, Hispanic"
2023,1,0.8247886487852484,0.8456814716932595,0.024683113020864816,11912,12,"Naturalized, Hispanic"
2024,1,0.8182603183940541,0.8419538461118566,0.02816192077857399,12343,12,"Naturalized, Hispanic"
2025,1,0.8149661003065654,0.8396164648809935,0.02938708691487649,10620,11,"Naturalized, Hispanic"
2026,1,0.8307489677496005,0.8552006162571031,0.028577033752682154,7532,8,"Naturalized, Hispanic"
