yr,exp_q,tracker,n
2019,Q1 lowest,0,369
2020,Q1 lowest,0.05306122448979589,339
2021,Q1 lowest,0,307
2022,Q1 lowest,0.07526881720430123,300
2023,Q1 lowest,0.037807183364839236,277
2024,Q1 lowest,0.016000000000000014,297
2025,Q1 lowest,0.07182320441988943,288
2026,Q1 lowest,0.018867924528301883,183
2019,Q2,0.0034602076124568004,646
2020,Q2,0.03409090909090895,558
2021,Q2,0.008333333333333304,464
2022,Q2,0.05555555555555558,552
2023,Q2,0.03571428571428581,551
2024,Q2,0.030000000000000027,552
2025,Q2,0.054878048780487854,492
2026,Q2,0.03472222222222232,386
2019,Q3,0.040000000000000036,1324
2020,Q3,0.03333333333333344,1101
2021,Q3,0.02083333333333326,981
2022,Q3,0.06896551724137923,1022
2023,Q3,0.03864734299516903,1067
2024,Q3,0.03703703703703698,1061
2025,Q3,0.029220779220779258,939
2026,Q3,0.032258064516129004,680
2019,Q4 highest,0.03928571428571437,1580
2020,Q4 highest,0.051397033459813724,1224
2021,Q4 highest,0.023890784982935065,1115
2022,Q4 highest,0.04054054054054057,1157
2023,Q4 highest,0.043196544276457916,1149
2024,Q4 highest,0.04166666666666652,1237
2025,Q4 highest,0.025777777777777677,1099
2026,Q4 highest,0.030303030303030276,744
