exposure,outcome,r,p
E1_noncit_share_emp,F1_d_noncit_emp_pop,-0.37,0.009
E1_noncit_share_emp,F2_d_fb_emp_pop,-0.26,0.068
E1_noncit_share_emp,F3_dlog_noncit_resp,-0.02,0.884
E1_noncit_share_emp,N1_d_nat_epop,-0.06,0.662
E1_noncit_share_emp,N2_d_nat_noba_men,-0.19,0.186
E2_recent_share_emp,F1_d_noncit_emp_pop,-0.27,0.055
E2_recent_share_emp,F2_d_fb_emp_pop,-0.18,0.213
E2_recent_share_emp,F3_dlog_noncit_resp,-0.07,0.613
E2_recent_share_emp,N1_d_nat_epop,-0.11,0.45
E2_recent_share_emp,N2_d_nat_noba_men,-0.26,0.067
E3_arrests_per_100k,F1_d_noncit_emp_pop,-0.01,0.933
E3_arrests_per_100k,F2_d_fb_emp_pop,-0.03,0.832
E3_arrests_per_100k,F3_dlog_noncit_resp,0.14,0.34
E3_arrests_per_100k,N1_d_nat_epop,-0.1,0.498
E3_arrests_per_100k,N2_d_nat_noba_men,-0.08,0.566
E4_arrests_per_1k_noncit,F1_d_noncit_emp_pop,0.21,0.145
E4_arrests_per_1k_noncit,F2_d_fb_emp_pop,0.16,0.282
E4_arrests_per_1k_noncit,F3_dlog_noncit_resp,0.06,0.665
E4_arrests_per_1k_noncit,N1_d_nat_epop,-0.08,0.572
E4_arrests_per_1k_noncit,N2_d_nat_noba_men,0.09,0.523
