gen,yr,epop,lfpr,unrate,pop,n
2nd gen native,2015,0.7904066716883589,0.8293955613435176,0.04700879950695538,119573.15282210064,41651
2nd gen native,2016,0.797671496433419,0.8328814562331314,0.04227487541739057,125507.5615490007,43049
2nd gen native,2017,0.8026897924417898,0.8356569881214037,0.03945063123773588,127502.76705820019,42485
2nd gen native,2018,0.8027271916755754,0.8333995463816661,0.03680390136910464,132912.4206656003,42105
2nd gen native,2019,0.8132798432902612,0.8417538544129222,0.0338270041454323,137060.5991333009,41225
2nd gen native,2020,0.758654179259933,0.8266643449013098,0.0822705927270812,147091.6733396996,38114
2nd gen native,2021,0.7805645135632983,0.8292950601831248,0.058761409490447704,146382.8629371007,39402
2nd gen native,2022,0.8178209651873899,0.8453732304639355,0.03259183551556808,147453.49383879962,38446
2nd gen native,2023,0.8224906727248564,0.8517968513988456,0.034405126792687216,156827.3927361001,39261
2nd gen native,2024,0.8203474114000632,0.8531114287755849,0.038405319950462764,159619.27476289994,40762
2nd gen native,2025,0.8219974100242871,0.8557875114549984,0.039484218895953174,158942.88433589938,36333
2nd gen native,2026,0.8154596064960306,0.8539570235325238,0.04508121132049938,120876.51628650006,26088
3rd+ gen native,2015,0.7802101921813306,0.8170494270074241,0.04508813495042092,1057676.0112840622,458397
3rd+ gen native,2016,0.7869847623482688,0.822279737891598,0.04292331905665051,1053537.377251893,449794
3rd+ gen native,2017,0.7939508676891938,0.8253269384335169,0.03801653536701863,1049375.913240184,437316
3rd+ gen native,2018,0.8040486998472229,0.8314653578410873,0.032973902923690374,1042848.7069649159,417058
3rd+ gen native,2019,0.8086008426927846,0.8350378223517662,0.031659619422421174,1041249.2095610924,397211
3rd+ gen native,2020,0.7699677457390186,0.82386126924362,0.06541577510261448,1038004.3485471886,350378
3rd+ gen native,2021,0.7833457380455476,0.8224304757291491,0.047523454975269164,1037571.7233305725,351143
3rd+ gen native,2022,0.8045615461410274,0.8306548075234252,0.031412881916852854,1035593.4158742966,329020
3rd+ gen native,2023,0.8147163863130437,0.8401413087822529,0.03026267391382118,1029750.7706978379,317293
3rd+ gen native,2024,0.8147732394833521,0.8424234730607418,0.032822249689849564,1025411.5648189161,311197
3rd+ gen native,2025,0.8127847593621915,0.8415777757393129,0.03421313775999858,949129.5060532022,271956
3rd+ gen native,2026,0.8093521387885906,0.8409339950865796,0.03755568984308701,679779.0520177026,189908
Foreign born,2015,0.7414996581989867,0.7762819685577547,0.044806284014809745,299192.9144802995,101196
Foreign born,2016,0.7507480777515873,0.7816346990051787,0.03951541723122645,304001.11902519857,100748
Foreign born,2017,0.7575215300140651,0.7862937712256053,0.03659222833050213,305583.4471550958,98960
Foreign born,2018,0.7672225645359263,0.7919231919392106,0.031190685731526974,313646.32971509453,96894
Foreign born,2019,0.7738540004752791,0.7963517107874422,0.028250972538149503,310638.21202379325,91265
Foreign born,2020,0.7166551817596548,0.7834155333485119,0.08521703840043711,300637.2266491978,77206
Foreign born,2021,0.7480986851036061,0.7888990663842007,0.05171812595443309,303951.94513289595,80906
Foreign born,2022,0.7756765946930673,0.8000437737437318,0.03045730727537528,317748.19489780563,80509
Foreign born,2023,0.7843739470238251,0.8118032470557822,0.033788113229940527,323665.732179003,79976
Foreign born,2024,0.7805149149406949,0.8127500405436454,0.039661795133700654,334853.91708889516,83341
Foreign born,2025,0.7811993038268903,0.8136364745421237,0.039866908294010045,310646.9507917991,69819
Foreign born,2026,0.7907195318397702,0.8202484240435969,0.03599993774844483,220438.5819849972,47619
