grp,yr,epop,lfpr,unrate,n
"2nd gen, Hispanic",2015,0.7743965859521016,0.8227577331754858,0.05877932868127874,17365
"2nd gen, Hispanic",2016,0.7829146289211703,0.8238097619091479,0.049641476562748955,18622
"2nd gen, Hispanic",2017,0.7838160469884169,0.8213455445851996,0.04569270247364167,18412
"2nd gen, Hispanic",2018,0.7835055875367168,0.8188695438179443,0.043186312823829086,18424
"2nd gen, Hispanic",2019,0.79895684844967,0.8310734658212863,0.03864473923478823,18461
"2nd gen, Hispanic",2020,0.7378861047188373,0.8108609616806322,0.08999675704025346,17154
"2nd gen, Hispanic",2021,0.75676775610773,0.8136542884726818,0.06991486823197929,18524
"2nd gen, Hispanic",2022,0.80429936204188,0.8339631850669866,0.035569703263009,17897
"2nd gen, Hispanic",2023,0.8176756385370965,0.8474367916514123,0.035119024105997675,18301
"2nd gen, Hispanic",2024,0.8109504318545044,0.8412709261669434,0.036041295817256486,19307
"2nd gen, Hispanic",2025,0.8156076905704988,0.8495501536448062,0.039953454105901405,17153
"2nd gen, Hispanic",2026,0.803856761559577,0.8451286602081363,0.048835047953995,12635
"2nd gen, non-Hispanic",2015,0.8046855255512738,0.8353156157354679,0.036668882524393966,24286
"2nd gen, non-Hispanic",2016,0.811262689483394,0.8412365592890599,0.035630726547353726,24427
"2nd gen, non-Hispanic",2017,0.8203323860163455,0.8490348829541057,0.03380602789592674,24073
"2nd gen, non-Hispanic",2018,0.8210597820651815,0.8472575253222494,0.030920638028094215,23681
"2nd gen, non-Hispanic",2019,0.8272479507424881,0.8521696101357916,0.02924495205752966,22764
"2nd gen, non-Hispanic",2020,0.780329878442421,0.8431583814610785,0.0745156596911067,20960
"2nd gen, non-Hispanic",2021,0.8055624579166785,0.8457253297940781,0.047489262130979724,20878
"2nd gen, non-Hispanic",2022,0.831151781084984,0.8566222822910776,0.02973364309176255,20549
"2nd gen, non-Hispanic",2023,0.8271547062185384,0.8560201785661123,0.03372055130280377,20960
"2nd gen, non-Hispanic",2024,0.8296176778483529,0.8647922687233175,0.04067403484873194,21455
"2nd gen, non-Hispanic",2025,0.8285181237151122,0.8621527399695901,0.03901236369748609,19180
"2nd gen, non-Hispanic",2026,0.8275589592772453,0.863163169346548,0.04124852789566636,13453
"3rd+ gen, Hispanic",2015,0.7438153021861005,0.7927544796512,0.06173308221056354,20814
"3rd+ gen, Hispanic",2016,0.7531297486022925,0.7982579802036212,0.056533392362475836,21351
"3rd+ gen, Hispanic",2017,0.7647376889488922,0.8029939270130813,0.04764200173529613,21041
"3rd+ gen, Hispanic",2018,0.7865229274745286,0.817937353577283,0.038406885277169234,20598
"3rd+ gen, Hispanic",2019,0.7836763177272263,0.813063086320758,0.03614328222243093,20721
"3rd+ gen, Hispanic",2020,0.7325182682579356,0.8044085009374078,0.08937030451032742,17895
"3rd+ gen, Hispanic",2021,0.748790199741819,0.8006843155761537,0.06481220479133819,19268
"3rd+ gen, Hispanic",2022,0.7916605967833487,0.8210419658454441,0.0357854656452775,18872
"3rd+ gen, Hispanic",2023,0.7870058011634911,0.8168450500172487,0.03652987656977002,18365
"3rd+ gen, Hispanic",2024,0.7843163043003756,0.8179858200528504,0.041161490733786554,18450
"3rd+ gen, Hispanic",2025,0.7907053880844038,0.8244626874664371,0.04094460537173538,17195
"3rd+ gen, Hispanic",2026,0.7791387153041444,0.8220143974897276,0.05215928372607358,12788
"3rd+ gen, non-Hispanic",2015,0.7823918299851618,0.8185057516618246,0.044121768971466,437583
"3rd+ gen, non-Hispanic",2016,0.7890403671720616,0.8237382882070686,0.04212250605776759,428443
"3rd+ gen, non-Hispanic",2017,0.7958102118337147,0.8267483775169862,0.03742150154099745,416275
"3rd+ gen, non-Hispanic",2018,0.805198704525041,0.8323530373027442,0.032623576248004583,396460
"3rd+ gen, non-Hispanic",2019,0.8103342047377196,0.8365660429873218,0.0313565658915886,376490
"3rd+ gen, non-Hispanic",2020,0.7726165747723263,0.8252371778258863,0.06376421769095933,332483
"3rd+ gen, non-Hispanic",2021,0.7858433222430016,0.8240022314771228,0.046309230456481214,331875
"3rd+ gen, non-Hispanic",2022,0.8055037615647144,0.8313568773822697,0.031097494374449832,310148
"3rd+ gen, non-Hispanic",2023,0.8167492273468421,0.8418503160260882,0.029816569764727536,298928
"3rd+ gen, non-Hispanic",2024,0.8170085318668951,0.8442169988804611,0.03222923377478822,292747
"3rd+ gen, non-Hispanic",2025,0.8146270596474753,0.8430058568024521,0.033663819682840074,254761
"3rd+ gen, non-Hispanic",2026,0.8121078384033783,0.8426596097901233,0.03625636144391806,177120
"NA, Hispanic",2015,0.6936476835829376,0.7432256683391937,0.0667065023023793,3609
"NA, Hispanic",2016,0.7058535136771753,0.7437139346917678,0.05090723630219728,3927
"NA, Hispanic",2017,0.7131100797279094,0.754146767945566,0.05441472397932264,3821
"NA, Hispanic",2018,0.7313353131297801,0.7681169535162764,0.04788546876633507,3748
"NA, Hispanic",2019,0.7315935385671417,0.7601175754157597,0.037525822019068754,3602
