grp,yr,epop,lfpr,unrate,n
"Native, Hispanic",2015,0.7529094421456975,0.8016493897338,0.060799581727729035,41788
"Native, Hispanic",2016,0.7621674547828609,0.804697381394882,0.052852075320909755,43900
"Native, Hispanic",2017,0.7684663109994307,0.8066567251721085,0.04734407212005675,43274
"Native, Hispanic",2018,0.7799763449242479,0.813692728718876,0.04143626040226738,42770
"Native, Hispanic",2019,0.7861418786602279,0.816700308851995,0.037416944576303145,42784
"Native, Hispanic",2020,0.7310148183301217,0.8046137235705104,0.09147110356729826,37998
"Native, Hispanic",2021,0.7497518649814017,0.8037614825440743,0.06719607587032124,40762
"Native, Hispanic",2022,0.7925688480367317,0.8225286737728053,0.036424050238459967,39810
"Native, Hispanic",2023,0.7974026745584517,0.8281970675328354,0.037182446281921994,39554
"Native, Hispanic",2024,0.7952935704231856,0.8268681374830679,0.03818573437355175,40463
"Native, Hispanic",2025,0.8012337364353764,0.8352014909288146,0.0406701315339631,36769
"Native, Hispanic",2026,0.789220058983411,0.830286445123169,0.049460504119955076,27235
"Native, non-Hispanic",2015,0.7839662554685081,0.8196847596033741,0.04357590368293301,467679
"Native, non-Hispanic",2016,0.7904560618783877,0.8247155693686766,0.04154099760300095,458650
"Native, non-Hispanic",2017,0.7974477199621065,0.82810870466772,0.037025313866132815,445802
"Native, non-Hispanic",2018,0.8061383792351126,0.8332329386321823,0.03251738876471592,425529
"Native, non-Hispanic",2019,0.8112088788313826,0.8372734258175842,0.031130269016668915,404179
"Native, non-Hispanic",2020,0.7729239852444234,0.8262081260701498,0.06449239500847447,357941
"Native, non-Hispanic",2021,0.7870152396342063,0.8253591139935034,0.046457201125182465,357300
"Native, non-Hispanic",2022,0.8073754742918953,0.833230518326011,0.031029881245894092,334942
"Native, non-Hispanic",2023,0.8174857895596036,0.8428828638473026,0.030131202539556316,323888
"Native, non-Hispanic",2024,0.8180798418454043,0.8459408820799763,0.03293497314619706,318149
"Native, non-Hispanic",2025,0.8159307554479431,0.8449028005242409,0.034290388265170765,277383
"Native, non-Hispanic",2026,0.8135225599757705,0.8445414517846609,0.036728678910113007,193126
