date,openings_rate,quits_rate,hires_rate,layoffs_rate,unemployed,openings,vu
2001-01-01,0.038,0.024,0.043,0.017,6023,5234,0.8690021583928275
2001-02-01,0.037000000000000005,0.023,0.04,0.013999999999999999,6089,5097,0.8370832649039252
2001-03-01,0.035,0.023,0.042,0.016,6141,4762,0.7754437388047549
2001-04-01,0.034,0.024,0.039,0.013999999999999999,6271,4615,0.7359272843246691
2001-05-01,0.032,0.023,0.040999999999999995,0.015,6226,4425,0.7107292001284934
2001-06-01,0.032,0.022000000000000002,0.039,0.015,6484,4361,0.6725786551511412
2001-07-01,0.033,0.022000000000000002,0.04,0.015,6583,4447,0.6755278748291053
2001-08-01,0.03,0.022000000000000002,0.04,0.015,7042,4024,0.5714285714285714
2001-09-01,0.03,0.021,0.038,0.016,7142,4071,0.570008401008121
2001-10-01,0.027000000000000003,0.021,0.039,0.018000000000000002,7694,3707,0.48180400311931376
2001-11-01,0.027999999999999997,0.02,0.037000000000000005,0.017,8003,3775,0.4716981132075472
2001-12-01,0.027000000000000003,0.02,0.037000000000000005,0.015,8258,3677,0.44526519738435455
2002-01-01,0.027000000000000003,0.022000000000000002,0.037000000000000005,0.015,8182,3699,0.45208995355658765
2002-02-01,0.026000000000000002,0.02,0.037000000000000005,0.015,8215,3436,0.41825928180158245
2002-03-01,0.027000000000000003,0.019,0.036000000000000004,0.013999999999999999,8304,3612,0.434971098265896
2002-04-01,0.026000000000000002,0.02,0.038,0.015,8599,3471,0.403651587393883
2002-05-01,0.026000000000000002,0.019,0.037000000000000005,0.015,8399,3457,0.4115966186450768
2002-06-01,0.025,0.019,0.037000000000000005,0.015,8393,3412,0.4065292505659478
2002-07-01,0.025,0.02,0.038,0.016,8390,3367,0.40131108462455306
2002-08-01,0.026000000000000002,0.02,0.037000000000000005,0.015,8304,3517,0.42353082851637763
2002-09-01,0.025,0.019,0.037000000000000005,0.015,8251,3301,0.40007271845836867
2002-10-01,0.026000000000000002,0.019,0.037000000000000005,0.015,8307,3479,0.4188034188034188
2002-11-01,0.026000000000000002,0.018000000000000002,0.037000000000000005,0.015,8520,3514,0.41244131455399063
2002-12-01,0.024,0.019,0.037000000000000005,0.015,8640,3169,0.3667824074074074
2003-01-01,0.026000000000000002,0.019,0.039,0.016,8520,3441,0.40387323943661974
2003-02-01,0.024,0.019,0.036000000000000004,0.015,8618,3229,0.37468090044093755
2003-03-01,0.023,0.018000000000000002,0.034,0.015,8588,3099,0.36085235211923616
2003-04-01,0.023,0.018000000000000002,0.035,0.015,8842,3108,0.35150418457362587
2003-05-01,0.025,0.018000000000000002,0.036000000000000004,0.016,8957,3289,0.3671988388969521
2003-06-01,0.025,0.018000000000000002,0.036000000000000004,0.016,9266,3390,0.36585365853658536
