date,pop_for,emp_for,pop_nat,emp_nat,pop_for_chained,emp_for_chained,pop_nat_chained,emp_nat_chained
2019-01-01,42909,27381,215331,127583,42909,27381,215331,127583
2019-02-01,43455,27817,214937,128351,43455,27817,214937,128351
2019-03-01,43562,27775,214975,128666,43562,27775,214975,128666
2019-04-01,43527,27660,215166,129049,43527,27660,215166,129049
2019-05-01,43408,27678,215453,129474,43408,27678,215453,129474
2019-06-01,43216,27643,215821,130185,43216,27643,215821,130185
2019-07-01,42715,27140,216509,131245,42715,27140,216509,131245
2019-08-01,42764,27272,216668,130545,42764,27272,216668,130545
2019-09-01,42685,27392,216953,131086,42685,27392,216953,131086
2019-10-01,42326,27346,217519,131721,42326,27346,217519,131721
2019-11-01,42876,27693,217144,131252,42876,27693,217144,131252
2019-12-01,42438,27223,217743,131281,42438,27223,217743,131281
2020-01-01,42362,27066,217139,129928,42438,27223,217743,131281
2020-02-01,42956,27697,216673,130320,43032,27854,217277,131673
2020-03-01,42323,26478,217435,128689,42399,26635,218039,130042
2020-04-01,42504,21961,217392,111365,42580,22118,217996,112718
2020-05-01,42496,22434,217551,115027,42572,22591,218155,116380
2020-06-01,42198,23130,218007,119681,42274,23287,218611,121034
2020-07-01,42079,23946,218294,120546,42155,24103,218898,121899
2020-08-01,42041,24551,218517,122673,42117,24708,219121,124026
2020-09-01,41810,24419,218933,123377,41886,24576,219537,124730
2020-10-01,41891,24865,219034,125569,41967,25022,219638,126922
2020-11-01,42730,25644,218355,124559,42806,25801,218959,125912
2020-12-01,42947,25512,218283,124101,43023,25669,218887,125454
2021-01-01,43086,25318,217765,123065,43023,25669,218887,125454
2021-02-01,43373,25862,217545,123660,43310,26213,218667,126049
2021-03-01,43059,25886,217944,124607,42996,26237,219066,126996
2021-04-01,43046,25886,218057,125274,42983,26237,219179,127663
2021-05-01,42869,25789,218341,125989,42806,26140,219463,128378
2021-06-01,42796,26059,218542,126224,42733,26410,219664,128613
2021-07-01,42818,26216,218651,127380,42755,26567,219773,129769
2021-08-01,42890,26453,218721,126779,42827,26804,219843,129168
2021-09-01,43111,26816,218654,127210,43048,27167,219776,129599
2021-10-01,43449,27341,218458,127626,43386,27692,219580,130015
2021-11-01,44048,27853,217981,127944,43985,28204,219103,130333
2021-12-01,44172,27691,217964,128041,44109,28042,219086,130430
2022-01-01,44624,27978,218579,127640,44109,28042,219086,130430
2022-02-01,44718,28138,218606,128805,44203,28202,219113,131595
2022-03-01,44456,28172,218988,129933,43941,28236,219495,132723
2022-04-01,45016,28488,218544,129503,44501,28552,219051,132293
2022-05-01,45230,28690,218448,129919,44715,28754,218955,132709
2022-06-01,44854,28498,218981,130180,44339,28562,219488,132970
2022-07-01,44856,28683,219155,130384,44341,28747,219662,133174
2022-08-01,44860,28654,219324,130060,44345,28718,219831,132850
2022-09-01,45351,29349,219005,129654,44836,29413,219512,132444
2022-10-01,45908,29451,218627,129693,45393,29515,219134,132483
2022-11-01,46190,29618,218517,129131,45675,29682,219024,131921
2022-12-01,45736,29130,219109,129742,45221,29194,219616,132532
2023-01-01,45899,28692,220063,130000,45221,29194,219616,132532
2023-02-01,46470,29518,219642,130194,45792,30020,219195,132726
2023-03-01,46445,29848,219827,130893,45767,30350,219380,133425
2023-04-01,46328,29962,220115,131113,45650,30464,219668,133645
2023-05-01,46769,30259,219849,130744,46091,30761,219402,133276
2023-06-01,45873,29710,220928,131849,45195,30212,220481,134381
2023-07-01,46107,29728,220895,132254,45429,30230,220448,134786
2023-08-01,46818,30396,220395,131031,46140,30898,219948,133563
2023-09-01,46707,30213,220721,131457,46029,30715,220274,133989
2023-10-01,46936,30056,220706,131621,46258,30558,220259,134153
2023-11-01,47412,30422,220410,131727,46734,30924,219963,134259
2023-12-01,48049,30387,219942,130367,47371,30889,219495,132899
2024-01-01,47544,29842,219996,129807,47371,30889,219495,132899
2024-02-01,48810,31002,218901,129313,48637,32049,218400,132405
2024-03-01,49034,31114,218850,130242,48861,32161,218349,133334
2024-04-01,48089,30482,219976,131108,47916,31529,219475,134200
2024-05-01,48311,30896,219937,130445,48138,31943,219436,133537
2024-06-01,48099,30867,220339,130906,47926,31914,219838,133998
2024-07-01,48327,31001,220317,131037,48154,32048,219816,134129
2024-08-01,48853,31636,220003,129712,48680,32683,219502,132804
2024-09-01,48800,31414,220280,130632,48627,32461,219779,133724
2024-10-01,48547,31090,220741,130848,48374,32137,220240,133940
2024-11-01,48707,30823,220756,130633,48534,31870,220255,133725
2024-12-01,48844,30729,220793,130565,48671,31776,220292,133657
2025-01-01,50442,31774,222243,130573,48671,31776,220292,133657
2025-02-01,50057,31687,222790,130857,48286,31689,220839,133941
2025-03-01,50447,32225,222576,131186,48676,32227,220625,134270
2025-04-01,49645,31803,223552,132266,47874,31805,221601,135350
2025-05-01,49593,31579,223791,131822,47822,31581,221840,134906
2025-06-01,49135,31231,224450,132652,47364,31233,222499,135736
2025-07-01,48510,30764,225276,133035,46739,30766,223325,136119
2025-08-01,48543,30814,225458,132474,46772,30816,223507,135558
2025-09-01,48409,30744,225817,133150,46638,30746,223866,136234
2025-10-01,NA,NA,NA,NA,46638,30746,223866,136234
2025-11-01,48558,30802,226075,133264,46638,30746,223866,136234
2025-12-01,48905,31112,225911,132608,46985,31056,223702,135578
2026-01-01,49750,31562,224925,130108,46985,31056,223702,135578
2026-02-01,49316,31168,225450,130985,46551,30662,224227,136455
2026-03-01,49725,31974,225133,130791,46960,31468,223910,136261
2026-04-01,49660,31648,225295,131132,46895,31142,224072,136602
2026-05-01,49061,31472,225993,131426,46296,30966,224770,136896
2026-06-01,48564,30725,226602,131997,45799,30219,225379,137467
2026-07-01,48109,30486,227173,132315,45344,29980,225950,137785
2026-08-01,48504,30780,226911,131887,45739,30274,225688,137357
