MISH,yr,n_noncit,n,sh
1,2015,10046,152555,0.06585166005702861
1,2016,9948,152658,0.06516527139095232
1,2017,9492,146841,0.0646413467628251
1,2018,9102,143701,0.063339851497206
1,2019,8516,137824,0.06178894822382169
1,2020,6238,111451,0.05597078536756063
1,2021,7513,122522,0.06131959974535185
1,2022,7736,120612,0.06413955493649057
1,2023,8170,122528,0.06667863671977017
1,2024,8484,118019,0.07188673010278006
1,2025,6334,105454,0.06006410377984714
1,2026,4394,72730,0.06041523442870892
2,2015,10468,156258,0.06699177002137491
2,2016,10548,158052,0.06673752942069698
2,2017,10036,151697,0.06615819693204217
2,2018,9589,148476,0.06458282820119077
2,2019,8844,142556,0.062038777743483264
2,2020,7117,122355,0.05816680969310613
2,2021,8102,128189,0.06320355100671665
2,2022,8272,125875,0.06571598808341608
2,2023,8598,126235,0.06811106270051888
2,2024,9089,122804,0.07401224715807303
2,2025,6829,107859,0.0633141416108067
2,2026,4775,76995,0.06201701409182415
3,2015,10476,156462,0.06695555470337845
3,2016,10716,158304,0.06769254093389933
3,2017,10118,152748,0.06623981983397491
3,2018,9809,149348,0.06567881725901921
3,2019,9078,143818,0.06312144515985482
3,2020,7599,128004,0.059365332333364586
3,2021,8335,129340,0.06444255450749961
3,2022,8424,126621,0.0665292487028218
3,2023,8761,126443,0.06928813773795307
3,2024,9292,123932,0.07497660007100668
3,2025,6993,108403,0.06450928479839119
3,2026,4944,78170,0.06324676986056031
4,2015,10605,156999,0.06754820094395506
4,2016,10737,158257,0.06784534017452624
4,2017,10219,153045,0.066771211081708
4,2018,9921,149841,0.06621018279376138
4,2019,9203,144186,0.06382727865396086
4,2020,7850,131107,0.05987475878480936
4,2021,8462,130400,0.06489263803680982
4,2022,8354,125605,0.06651009115879145
4,2023,8567,123135,0.0695740447476347
4,2024,9051,121913,0.07424146727584426
4,2025,6973,105628,0.06601469307380618
4,2026,4958,76397,0.06489783630247262
5,2015,10330,152968,0.06753046388787197
5,2016,10467,151695,0.06900029664787896
5,2017,10489,153810,0.06819452571354269
5,2018,9989,145994,0.0684206200254805
5,2019,9375,142828,0.06563839023160725
5,2020,7942,129623,0.061269990665236876
5,2021,8056,128659,0.0626151299170676
5,2022,8161,121140,0.0673683341588245
5,2023,8207,118082,0.06950254907606579
5,2024,8850,120395,0.07350803604800864
5,2025,7604,106160,0.07162773172569706
5,2026,4822,74740,0.06451699223976452
6,2015,10744,156195,0.06878581260603732
6,2016,10741,154041,0.069728189248317
6,2017,10805,155777,0.06936197256334375
6,2018,10324,148970,0.0693025441364033
6,2019,9689,145109,0.0667704966611306
6,2020,8335,134608,0.06192053964103174
6,2021,8396,131607,0.06379599869307863
6,2022,8489,124201,0.06834888607982223
6,2023,8491,120478,0.07047759756968078
6,2024,9177,122740,0.07476780185758514
6,2025,7936,107771,0.0736376205101558
6,2026,5183,76155,0.06805856476922068
7,2015,10956,156732,0.06990276395375546
7,2016,10785,154543,0.06978640248992189
7,2017,10935,156265,0.06997728218091064
7,2018,10419,150129,0.06940031572847351
7,2019,9824,145719,0.06741742669109725
7,2020,8610,136849,0.06291606076770748
7,2021,8373,132768,0.06306489515545914
7,2022,8747,124942,0.07000848393654656
7,2023,8658,121443,0.07129270521973272
7,2024,9256,122989,0.07525876297880298
7,2025,8226,109105,0.07539526144539664
7,2026,5247,76704,0.0684058197747184
8,2015,10990,157693,0.06969237696029627
8,2016,11000,156616,0.07023548041068602
8,2017,10996,156944,0.07006320725864003
8,2018,10523,152491,0.0690073512535166
8,2019,9934,147204,0.06748457922339067
8,2020,8757,140144,0.06248572896449366
8,2021,8555,135317,0.06322191594552051
8,2022,8907,126776,0.07025777749731811
8,2023,8465,120349,0.07033710292565788
8,2024,9154,122231,0.07489098510197904
8,2025,8196,109396,0.07492047241215401
8,2026,5267,75882,0.06941040035845128
