date,n_noncit,n_natzd,n_native,n_total,sh_noncit,sh_natzd
2015-01-01,7423,6746,91942,106111,0.06995504707334772,0.06357493568056093
2015-02-01,7285,6870,90244,104399,0.06978036188086092,0.06580522801942547
2015-03-01,7119,6659,89270,103048,0.06908431022436146,0.06462037108920114
2015-04-01,7103,6710,91180,104993,0.06765212918956502,0.06390902250626232
2015-05-01,7116,6579,90655,104350,0.06819357930043124,0.06304743651173934
2015-06-01,6981,6403,89434,102818,0.06789667178898637,0.06227508801960746
2015-07-01,7016,6407,89230,102653,0.06834676044538396,0.06241415253329177
2015-08-01,6992,6574,89774,103340,0.06766015095800271,0.06361525062899168
2015-09-01,6844,6668,89705,103217,0.06630690680798705,0.06460176133776413
2015-10-01,6864,6660,90414,103938,0.06603936962419904,0.06407666108641691
2015-11-01,6955,6592,90411,103958,0.0669020181227034,0.06341022335943362
2015-12-01,6917,6533,89587,103037,0.06713122470568825,0.06340440812523657
2016-01-01,7114,6538,89990,103642,0.06864012658960653,0.06308253410779414
2016-02-01,6940,6558,89443,102941,0.06741725842958587,0.06370639492524845
2016-03-01,6835,6467,87524,100826,0.0677900541526987,0.06414020193204134
2016-04-01,6912,6477,89022,102411,0.06749274980226734,0.06324515921141284
2016-05-01,6813,6499,89825,103137,0.06605776782338055,0.06301327360694998
2016-06-01,7000,6551,89428,102979,0.06797502403402636,0.06361491177812952
2016-07-01,7018,6701,89940,103659,0.06770275615238426,0.06464465217684909
2016-08-01,7340,6837,91203,105380,0.06965268551907383,0.06487948377301196
2016-09-01,7379,6962,91410,105751,0.0697771179468752,0.06583389282370852
2016-10-01,7286,6898,91057,105241,0.06923157324616831,0.06554479717980635
2016-11-01,7308,6764,90854,104926,0.06964908602253016,0.06446447972857061
2016-12-01,6997,6673,89603,103273,0.06775246192131534,0.06461514626281797
2017-01-01,7098,6625,89819,103542,0.06855189198586081,0.06398369743678893
2017-02-01,6983,6610,89877,103470,0.06748816081956123,0.06388325118391805
2017-03-01,7030,6576,88433,102039,0.06889522633502876,0.06444594713785905
2017-04-01,7013,6669,89025,102707,0.06828161663761964,0.0649322830965757
2017-05-01,6755,6517,88347,101619,0.06647378935041676,0.06413170765309636
2017-06-01,6918,6429,87805,101152,0.06839212274596647,0.0635578139829168
2017-07-01,6747,6506,87762,101015,0.06679206058506162,0.06440627629559967
2017-08-01,6957,6687,88671,102315,0.06799589503005424,0.06535698577921126
2017-09-01,6948,6834,88833,102615,0.06770939921064172,0.06659845051892999
2017-10-01,7024,6908,88758,102690,0.06840003895218619,0.06727042555263414
2017-11-01,6916,6946,88776,102638,0.06738245094409478,0.06767474034957813
2017-12-01,6701,6671,87953,101325,0.06613372810264002,0.06583765112262521
2018-01-01,6854,6727,87136,100717,0.06805206668189084,0.06679110775737959
2018-02-01,6768,6787,86300,99855,0.06777827850383056,0.06796855440388563
2018-03-01,6842,6618,85172,98632,0.0693689674750588,0.06709789926190284
2018-04-01,6763,6865,86488,100116,0.06755164009748692,0.06857045826840864
2018-05-01,6649,6791,85987,99427,0.0668731833405413,0.06830136683194706
2018-06-01,6612,6721,85433,98766,0.06694611505983841,0.06804973371403114
2018-07-01,6371,6639,85007,98017,0.0649989287572564,0.0677331483314119
2018-08-01,6528,6649,85305,98482,0.06628622489388925,0.06751487581486973
2018-09-01,6679,6890,85914,99483,0.06713709880080014,0.06925806419187198
2018-10-01,6612,6801,85792,99205,0.06664986643818356,0.06855501234816794
2018-11-01,6530,6879,85397,98806,0.06608910390057283,0.06962127806003685
2018-12-01,6468,6689,84287,97444,0.06637658552604572,0.06864455482123065
2019-01-01,6662,6698,84209,97569,0.06827988397954268,0.06864885363178878
2019-02-01,6635,6707,83131,96473,0.06877571963139946,0.06952204243674395
2019-03-01,6562,6519,81974,95055,0.06903371732155068,0.06858134764083951
2019-04-01,6546,6686,83337,96569,0.06778572833932214,0.06923546893930764
