sex,kid5,yr,epop,pop_k,n
Men,No child under 5,2023,0.8415854277267063,42864.05212968688,100592
Men,No child under 5,2024,0.8403446386186624,42363.80854027475,99402
Men,No child under 5,2025,0.8401977160046147,43274.31176514907,96121
Men,No child under 5,2026,0.8367328014528758,43285.3073617251,92714
Men,Own child under 5,2023,0.9305214508889164,7531.949506650004,18339
Men,Own child under 5,2024,0.9287028377746644,7425.77234826253,18007
Men,Own child under 5,2025,0.9373381986978614,7537.360607225011,17089
Men,Own child under 5,2026,0.9281061501749048,7327.924001937503,16323
Women,No child under 5,2023,0.7856974227202047,41875.56122584979,102111
Women,No child under 5,2024,0.7902918603723357,42105.11785493724,100722
Women,No child under 5,2025,0.7869862629000414,42870.78354800093,97444
Women,No child under 5,2026,0.7867209239984987,43211.56318165031,92840
Women,Own child under 5,2023,0.7116439983769532,8653.509940637514,20845
Women,Own child under 5,2024,0.7087601888573113,8731.280855450066,20593
Women,Own child under 5,2025,0.7012601034984007,8856.950751800032,19557
Women,Own child under 5,2026,0.6905307397887358,8737.238835625023,18484
