sex,yr,epop,lfpr,pop_k,n
Men,2023,0.8548773876844353,0.8845171611478394,50396.001636336834,118931
Men,2024,0.8535226541859025,0.8855575298973063,49789.58088853634,117409
Men,2025,0.854607453244762,0.8871051383002414,50811.672372374574,113210
Men,2026,0.8499620882855297,0.8860916228557214,50613.23136366268,109037
Women,2023,0.7730151780460313,0.7970264275946288,50529.07116648735,122956
Women,2024,0.7762885882942272,0.8020766335761319,50836.398710388305,121315
Women,2025,0.772308017617542,0.799217968640042,51727.73429980022,117001
Women,2026,0.7705427527905491,0.799673691524652,51948.802017275164,111324
All,2023,0.8138923152758206,0.8407141161824159,100925.07280282807,241887
All,2024,0.8145038860373303,0.8433828534668485,100625.97959892609,238724
All,2025,0.8130901139377308,0.8427689722535591,102539.40667217546,230211
All,2026,0.8097353182034036,0.8423199867300512,102562.03338093634,220361
