sex,yr,mo,epop,pop_k
Men,2023,1,0.8497637466451284,50336.53270850014
Men,2023,2,0.8573615313614907,50176.651615900104
Men,2023,3,0.856482310974593,50203.38842359968
Men,2023,4,0.8542114889038187,50396.8382909999
Men,2023,5,0.8548057423079257,50292.95104139955
Men,2023,6,0.8543302286926783,50658.27711730041
Men,2023,7,0.8568771265516175,50725.355579300456
Men,2023,8,0.8551875919776697,50378.01831370007
Men,2023,9,0.858433812746083,50586.69312860009
Men,2023,10,0.8582010282189004,50604.06867320008
Men,2023,11,0.8566876608840068,50440.80317779997
Men,2023,12,0.8528516783409222,50289.76191209998
Men,2024,1,0.8460802140374554,49968.080970900235
Men,2024,2,0.8494582533190626,49555.774857000106
Men,2024,3,0.8549038926834669,49455.499097200096
Men,2024,4,0.8548426267367737,49866.83721379994
Men,2024,5,0.851566968860361,49956.34269790001
Men,2024,6,0.8570091117815729,50023.49822580026
Men,2024,7,0.8609966684487418,50001.0670639
Men,2024,8,0.8532953674667899,49489.546981799926
Men,2024,9,0.8581052819881034,49600.266697099796
Men,2024,10,0.8560063115814737,50000.93605889959
Men,2024,11,0.8514538977439313,50036.03556280023
Men,2024,12,0.8477398198370812,50148.77354229974
Men,2025,1,0.8466991895297636,50608.68865730003
Men,2025,2,0.8479472713057749,50537.708625100095
Men,2025,3,0.8520060465706927,50271.17575349984
Men,2025,4,0.85832190513566,50650.37621780013
Men,2025,5,0.8545817023711308,50820.039597500094
Men,2025,6,0.8607219260425144,51064.918098100105
Men,2025,7,0.854972072934006,51269.609271300105
Men,2025,8,0.8614307102909846,51270.86275839998
Men,2025,9,0.8581000298132632,51365.98378919965
Men,2025,11,0.8559954909060684,51618.68319519985
Men,2025,12,0.8546943578408818,51629.50549150039
Men,2026,1,0.8504674821870389,50353.13364359987
Men,2026,2,0.8514324287615632,50467.5199701998
Men,2026,3,0.8514725310255443,50340.6976112
Men,2026,4,0.8561070375314511,50488.33767799995
Men,2026,5,0.8544649281314656,50711.73568710022
Men,2026,6,0.8435491717051067,50954.127407199885
Men,2026,7,0.8463309131396292,50906.42203990016
Men,2026,8,0.8459633859086713,50683.87687209988
Women,2023,1,0.776417845911599,50610.3018674999
Women,2023,2,0.7769380732252917,50341.32545909956
Women,2023,3,0.7806677987753254,50367.87473210001
Women,2023,4,0.7793880286756212,50575.55494979963
Women,2023,5,0.7736300973184368,50330.371011500036
Women,2023,6,0.7687243032466404,50723.57244829991
Women,2023,7,0.7620111817554571,50811.75755230019
Women,2023,8,0.7664448032884293,50471.811311299905
Women,2023,9,0.7745769668157318,50567.389357600296
Women,2023,10,0.7771518620534105,50671.809778400144
Women,2023,11,0.7792986400168193,50681.722015000094
Women,2023,12,0.7770866607327132,50576.73032469983
Women,2024,1,0.7761312532475025,51125.459507099804
Women,2024,2,0.7783954447978397,50699.75168990024
Women,2024,3,0.7797570283693682,50619.27621779996
Women,2024,4,0.784599292716559,50942.42643019983
Women,2024,5,0.7837083258649998,50741.5042696001
Women,2024,6,0.7664628765297364,50928.249047800324
Women,2024,7,0.7692118844178382,50904.23613480003
Women,2024,8,0.7720788979950731,50730.286385900086
Women,2024,9,0.784012143561959,51026.121817000116
Women,2024,10,0.7783370646096099,51030.64593040009
Women,2024,11,0.776856952773359,51084.80846200005
Women,2024,12,0.7802122926952463,51291.39405130003
Women,2025,1,0.7765679188588389,51505.1949833002
Women,2025,2,0.7762703451491973,51498.225949899715
Women,2025,3,0.7733746475570464,51479.59672710007
Women,2025,4,0.7744530887377045,51621.24334639982
Women,2025,5,0.7731600187944432,51527.75878300031
Women,2025,6,0.7697288754501957,51870.42238080022
Women,2025,7,0.7661190621272113,52143.23405369982
Women,2025,8,0.7689250734971801,52176.198174199744
Women,2025,9,0.7762715333084722,52465.115272900504
Women,2025,11,0.7763982158627666,52356.65793799963
Women,2025,12,0.774215640958395,52125.52513450005
Women,2026,1,0.7716360281911314,51654.41595389998
Women,2026,2,0.7735761435901379,51893.37325980016
Women,2026,3,0.7731521920193828,51708.6905009999
Women,2026,4,0.7759122552547245,51866.73168499984
Women,2026,5,0.7730697128082041,51812.11212130018
Women,2026,6,0.7653722601376889,52110.92715710008
Women,2026,7,0.7640242744225951,52337.86694109981
Women,2026,8,0.7677147543914408,52206.29851899971
