grp,yr,nl_childcare,nl_family,n_nl_cc,n_nl_fam,ab_childcare,ab_family,ab_parental,pt_childcare,pt_family,pt_house,n_ab_cc,n_ab_par,n_pt_cc,n_pt_fam
Men child<5,2023,0.02495745853500914,0.1565410374776147,5,28,0.053242552615379433,0.11512711565819413,0.7405515464905404,0.5429241384209149,1.305439800053056,0,6,110,93,231
Men child<5,2024,0.041782890613741554,0.15099266580160448,7,24,0.05782292035638607,0.12798070437361925,0.7131081947259279,0.7182652430861971,1.3479250635872269,0,7,116,110,212
Men child<5,2025,0.038818259998007476,0.14304324732274465,7,26,0.024593604727702802,0.16433210120558542,1.0192410455003118,0.8476028479390899,1.356531496397669,0,5,151,110,221
Men child<5,2026,0.06299435401185222,0.16887333195224286,7,28,0.029665304814401747,0.10304588970516286,1.0472298598861118,0.6453243111031085,1.185160734712191,0,6,138,88,191
Men no child<5,2023,0.013352630854132477,0.17599428081777815,15,161,0.006273185230107842,0.09840979833542988,0.019481246872808524,0.1320573935577582,0.9183745119697981,0,4,11,100,797
Men no child<5,2024,0.015575478904893584,0.15369172949382262,11,157,0.00635917081093861,0.10191860030601173,0.014327651464252493,0.1266246943479017,1.104609187918873,0,5,10,92,881
Men no child<5,2025,0.006843297597825583,0.18872429356755746,7,175,0,0.10340920311051982,0.03115420104506604,0.14499346299064458,1.0380173780749622,0,0,20,106,834
Men no child<5,2026,0.012069954318078294,0.15189718427560128,12,133,0.010844145913972038,0.11966403502649312,0.019697471816073456,0.1260986710367519,1.0139808056255706,0,9,16,93,821
Women child<5,2023,0.33452894401907096,0.9882281210068146,63,184,0.23660170150056511,0.3306245391234688,3.412002003772748,5.920820057302692,8.982544619625234,0,31,479,847,1441
Women child<5,2024,0.22871198688489153,0.8372422723278877,47,163,0.22644524532506188,0.49795110529045217,3.5933569127999783,6.105380660492295,8.887117106636554,0,32,489,861,1331
Women child<5,2025,0.2554980117779355,0.9249370570153707,50,170,0.24088254184730531,0.613464064232338,3.8800137486227886,5.911944408397919,8.551882924340253,0,35,512,797,1269
Women child<5,2026,0.29591401899282616,0.9258877638225048,45,149,0.16082688831852462,0.3769931705943078,3.8363217272791292,5.790053956809239,8.852056054003423,0,22,435,742,1216
Women no child<5,2023,0.04814633824550218,0.35169749470506667,47,362,0.01655434304324964,0.20082119043564597,0.08217395340514892,0.9027332827693054,4.526894631433062,0,13,58,723,3891
Women no child<5,2024,0.05546025445280114,0.3863711599988404,49,381,0.031793742020932075,0.166217554776572,0.10179897391602416,1.1893139291735273,4.822814204215571,0,28,68,912,4049
Women no child<5,2025,0.06716288400178455,0.41603403798953137,56,396,0.027759149997590375,0.1836704750597441,0.10481554320874314,1.1807539434040566,4.523524205213834,0,24,68,867,3664
Women no child<5,2026,0.044228040523920945,0.3792538634533635,31,333,0.02422237204073026,0.18084297838227845,0.06073788692702774,1.0831070030018364,4.553165238627006,0,16,48,792,3617
