grp,yr,d_pp,se_pp,p
Women no child<5,2023,-0.45944376521169056,0.2984228390221823,0.12366729676830104
Women no child<5,2025,-0.3305597472280467,0.3013349625133314,0.272650592515174
Women no child<5,2026,-0.3570936373822986,0.36187873911720214,0.32375408852346976
Men no child<5,2023,0.12407891081381739,0.27319743921483736,0.6497052085933135
Men no child<5,2025,-0.014692261395379911,0.27837581517507815,0.9579084807984949
Men no child<5,2026,-0.36118371656924536,0.3322959277277494,0.2770684602657053
Men child<5,2023,0.18186131142550183,0.4480796088616755,0.684843535251704
Men child<5,2025,0.863536092320001,0.45438926464651364,0.05739018432614585
Men child<5,2026,-0.059668759975616006,0.5386840852734941,0.9118016810001541
Women child<5,2023,0.2883809519640011,0.7476971764352663,0.6997279917113566
Women child<5,2025,-0.7500085358911979,0.746255290130298,0.3148925586046524
Women child<5,2026,-1.8229449068577122,0.9013149003786832,0.043131453302373
