grp,yr,epop,lfpr,pop_k,n,n_hh
Men child<5,2023,0.9305214508889164,0.9496052637448175,7531.949506650004,18339,7297
Men child<5,2024,0.9287028377746644,0.9499239582180307,7425.77234826253,18007,7169
Men child<5,2025,0.9373381986978614,0.9600630269750599,7537.360607225011,17089,6984
Men child<5,2026,0.9281061501749048,0.9510030570963809,7327.924001937503,16323,6567
Men no child<5,2023,0.8415854277267063,0.873080064609225,42864.05212968688,100592,37527
Men no child<5,2024,0.8403446386186624,0.8742750116334829,42363.80854027475,99402,37019
Men no child<5,2025,0.8401977160046147,0.8743976013423524,43274.31176514907,96121,36345
Men no child<5,2026,0.8367328014528758,0.875102534734034,43285.3073617251,92714,34650
Women child<5,2023,0.7116439983769532,0.7342059334257756,8653.509940637514,20845,8333
Women child<5,2024,0.7087601888573113,0.7322097063209722,8731.280855450066,20593,8213
Women child<5,2025,0.7012601034984007,0.7237540854816474,8856.950751800032,19557,8016
Women child<5,2026,0.6905307397887358,0.7178067136356792,8737.238835625023,18484,7457
Women no child<5,2023,0.7856974227202047,0.8100081705218111,41875.56122584979,102111,38742
Women no child<5,2024,0.7902918603723357,0.8165648429780048,42105.11785493724,100722,38250
Women no child<5,2025,0.7869862629000414,0.814808537352754,42870.78354800093,97444,37573
Women no child<5,2026,0.7867209239984987,0.8162269306555638,43211.56318165031,92840,35435
