grp,yr,epop_adj
Men child<5,2023,0.9301027967742116
Men child<5,2024,0.9287028377746621
Men child<5,2025,0.9363787793224669
Men child<5,2026,0.9256099593849726
Men no child<5,2023,0.841766010814338
Men no child<5,2024,0.8403446386186597
Men no child<5,2025,0.8397912138312266
Men no child<5,2026,0.8372916197962328
Women child<5,2023,0.7129291906326505
Women child<5,2024,0.7087601888573153
Women child<5,2025,0.6966458660483817
Women child<5,2026,0.686083491475195
Women no child<5,2023,0.787862358795935
Women no child<5,2024,0.790291860372336
Women no child<5,2025,0.7868219643373301
Women no child<5,2026,0.7873677976150776
