outcome,spec,beta,se,t,p,n_cells,stars,robust_to_reweighting
d_nat_unrate,OCC2010 / 2025-26,0.00978771284050404,0.007710627012509981,1.2693796269258162,0.20511892714236177,365,,TRUE
d_nat_unrate_nc,OCC2010 / 2025-26,0.010385909033672286,0.012865701260520918,0.8072555722665499,0.4200690690603178,351,,TRUE
d_nat_hrs,OCC2010 / 2025-26,-0.03575737132150218,0.514551190419513,-0.06949234981333778,0.9446359870521587,365,,TRUE
d_log_nat_emp,OCC2010 / 2025-26,0.025004667251843245,0.0748954243775487,0.33386107976095347,0.7386771721853584,365,,FALSE
d_log_nat_emp_nc,OCC2010 / 2025-26,0.10798324935750954,0.08861117993916422,1.2186187954121046,0.22381200517285313,351,,FALSE
d_log_for_emp,OCC2010 / 2025-26,-0.4804926639913008,0.15809573239309171,-3.039251323980057,0.0025450770262186186,362,***,FALSE
d_nat_unrate,OCC2010 / PLACEBO 2018-19,-0.021946147843469176,0.007084195987663579,-3.097902412875957,0.0021007902638257286,365,***,TRUE
d_nat_unrate_nc,OCC2010 / PLACEBO 2018-19,-0.01612877047098561,0.011905941814675879,-1.35468245368917,0.17636128062010897,365,,TRUE
d_nat_hrs,OCC2010 / PLACEBO 2018-19,0.06886893618845538,0.29457626536001125,0.23378983403258377,0.8152799331235154,365,,TRUE
d_log_nat_emp,OCC2010 / PLACEBO 2018-19,0.027686207079230314,0.04208018120801523,0.6579393501745847,0.5109941207308362,365,,FALSE
d_log_nat_emp_nc,OCC2010 / PLACEBO 2018-19,0.10613838034323335,0.09317897520804473,1.1390807862637853,0.25542266419139925,364,,FALSE
d_log_for_emp,OCC2010 / PLACEBO 2018-19,-0.07328156119581483,0.07089905664753159,-1.0336041784043426,0.3020112531838429,364,,FALSE
d_nat_unrate,IND1990 / 2025-26,5.332556166135783e-4,0.008483881122711295,0.06285514953598967,0.9499462309827895,197,,TRUE
d_nat_unrate_nc,IND1990 / 2025-26,0.008188751454128635,0.012347205927727043,0.6632068422654125,0.5079813241111497,197,,TRUE
d_nat_hrs,IND1990 / 2025-26,-0.20178209315598702,0.6689577089826215,-0.30163654659554723,0.7632505778208739,197,,TRUE
d_log_nat_emp,IND1990 / 2025-26,0.08185813309422638,0.1006007665312311,0.8136929361150926,0.41681334328165665,197,,FALSE
d_log_nat_emp_nc,IND1990 / 2025-26,0.10392957571005844,0.11724764576945927,0.8864107678069052,0.3764880790042169,197,,FALSE
d_log_for_emp,IND1990 / 2025-26,-0.5727574165029348,0.17139547586960455,-3.3417300754115655,9.979154604493393e-4,197,***,FALSE
d_nat_unrate,IND1990 / PLACEBO 2018-19,-0.016918702468708982,0.009779156404430897,-1.7300779094854424,0.0851745725383289,200,*,TRUE
d_nat_unrate_nc,IND1990 / PLACEBO 2018-19,-0.022315908593827746,0.012374902299569779,-1.8033199821386527,0.07285826278987169,200,*,TRUE
d_nat_hrs,IND1990 / PLACEBO 2018-19,0.01135002193280527,0.4759838401420188,0.023845393426421318,0.9809999457322914,200,,TRUE
d_log_nat_emp,IND1990 / PLACEBO 2018-19,0.08801066343543314,0.04924310145765949,1.7872688931079415,0.07542364513408006,200,*,FALSE
d_log_nat_emp_nc,IND1990 / PLACEBO 2018-19,0.1307049054782079,0.05581760531058968,2.341643013004907,0.020193024211640258,200,**,FALSE
d_log_for_emp,IND1990 / PLACEBO 2018-19,0.013368093429197267,0.09784076229020089,0.1366311250677585,0.891461196773643,200,,FALSE
