IND1990,nat_emp_0,nat_lf_0,nat_unemp_0,nat_emp_nc_0,nat_lf_nc_0,nat_unemp_nc_0,for_emp_0,nat_hrs_0,n_nat_0,nat_emp_1,nat_lf_1,nat_unemp_1,nat_emp_nc_1,nat_lf_nc_1,nat_unemp_nc_1,for_emp_1,nat_hrs_1,n_nat_1,foreign_share,emp_tot,d_log_nat_emp,d_log_nat_emp_nc,d_log_for_emp,d_nat_unrate,d_nat_unrate_nc,d_nat_hrs
10,12254096.203300042,12838660.514200058,584564.3108999998,8983345.822300004,9491540.968299998,508195.146,4103313.4469000027,42.18738652105048,4940,10854492.584300028,11512003.556900019,657510.9726000003,7776552.161500013,8371686.442200014,595134.2807000004,3834598.6680000015,40.7577858351883,4253,0.24474255375939227,49700369.83580006,-0.12128120768460704,-0.14425932586289214,-0.06773002556847274,0.011583685590492991,0.017547034971190596,-1.4296006858621766
11,6966868.413100017,7069996.722000021,103128.30890000002,5374248.351899998,5474739.787499999,100491.43560000001,1840896.2164999994,42.45582953928641,3335,6944776.973100002,7048018.142100003,103241.169,5180360.876400004,5251049.880700004,70689.0043,1508530.652800001,40.43816296314171,2751,0.18787826286548456,26388685.450800084,-0.0031759663154140583,-0.036744001624585465,-0.1991164277599875,6.150044565479858e-5,-0.004893592319933594,-2.0176665761447055
12,5311746.114000004,5400634.094600002,88887.9806,3132797.7926000017,3211849.354100001,79051.56149999998,288997.7242,37.93141763541633,1628,4960802.260800002,5018587.878000003,57785.61720000001,2917120.148700001,2937560.3035000013,20440.1548,271386.1975999999,36.90139318801269,1408,0.04735382561423589,15549192.55939996,-0.0683531424413335,-0.07132958957450519,-0.06287592353406168,-0.004944486382241426,-0.017654267139434715,-1.0300244474036404
20,10560413.593300017,11337454.136899998,777040.5435999999,9017365.638300005,9751637.980100024,734272.3418,7353816.701699992,38.830710530410286,3536,12724281.921899976,13782937.474199979,1058655.5522999999,10627130.692899985,11582491.21159999,955360.5186999997,6334765.201099997,38.136318790243145,3951,0.3893465197798739,53869442.53349966,0.18639968680195906,0.16425799692901677,-0.14916670825952494,0.008271657764376689,0.007185829727500412,-0.6943917401671413
31,604844.1082999998,662945.5137999995,58101.4055,297248.92740000004,343226.45889999997,45977.5315,5286.5423,36.873847606399146,299,409516.0037999999,420344.8312999998,10828.827499999998,225732.89970000004,228668.84370000003,2935.944,23733.5235,40.23596096994993,202,0.03509316115640228,1870766.762999999,-0.38999476874809247,-0.2752174865631556,1.5017241396864485,-0.06187952674082288,-0.12111755600265361,3.362113363550783
32,313340.7784999999,367060.2252999999,53719.4468,243883.08249999987,296238.0400999998,52354.9576,84300.0463,47.03450753658367,217,413582.7817999998,460752.01569999976,47169.2339,363645.6429000001,389536.03459999996,25890.3917,32382.7896,42.6260723218332,240,0.17886259242016064,1383885.01,0.2775663447664325,0.39949094458051526,-0.956755317752334,-0.04397604872280625,-0.11026804036049498,-4.408435214750469
40,391666.59280000004,413667.42899999995,22000.836199999998,252345.1830000001,274346.0192000001,22000.836199999998,21306.883400000002,45.0482222686678,194,297565.41799999995,310244.71290000004,12679.2949,171136.16549999994,183815.46039999998,12679.2949,43781.09560000001,45.101741152551284,170,0.08994925870627841,1341575.884400001,-0.27477685606452695,-0.3883383949305337,0.7201719320789337,-0.012316150732371384,-0.01121535835576927,0.053518883883484136
41,309366.30129999993,323244.5757999999,13878.2745,271924.70100000006,285802.9755,13878.2745,364.3405,45.93542655494273,335,544869.3740000001,551295.3041000001,6425.9301,504821.1181999997,511247.0482999998,6425.9301,67689.64129999999,48.7809850896568,426,0.00237319627326798,1118836.1999000006,0.5660200692837183,0.6186789517265918,5.224599568384432,-0.03127822614168001,-0.03598975838125526,2.8455585347140726
42,4257869.597299992,4417069.416899991,159199.8196,3065072.038499999,3201168.597299997,136096.55879999997,815853.378,49.00156512713725,1995,3488115.5085000056,3701119.748900005,213004.24040000004,2458406.113200003,2645489.454100004,187083.34090000004,813570.3530000007,49.952064030046564,1560,0.16192892341187248,15639723.654300028,-0.19940731919433574,-0.22055785421184027,-0.002802250207285084,0.021509341040952833,0.028203206641645176,0.9504989029093167
50,960805.97340000025,981808.6022000003,21002.628800000002,845122.1414000007,859886.1631000007,14764.021700000001,102782.75960000002,45.971348358561194,410,748881.2271000004,803262.5015000005,54381.2744,692144.6083000001,746525.8827000002,54381.2744,100125.13940000001,45.214388628184025,312,0.09306588231456026,3128574.739300004,-0.2491920922147628,-0.19968625762895265,-0.026196833138040887,0.0463087266739879,0.055676059175191264,-0.7569597303771687
60,100198298.72239982,104907302.18439968,4709003.462,80452150.82839918,84660984.917699,4208834.089300002,43066792.69860004,41.60682468695468,32881,95560888.29519996,100468671.92310008,4907783.62790001,76451216.17109959,80701987.44819961,4250771.277100005,36283574.71109998,41.6870967226593,29070,0.29570474029291394,429812309.3502054,-0.047387591593651024,-0.051009767744400136,-0.17138707754417482,0.003961615081231024,0.002958473473197318,0.08027203570461694
100,3161530.4987000045,3283469.3077000026,121938.80900000001,2643187.6300000064,2765126.439000006,121938.80900000001,2353558.385100003,41.112875523016484,1132,2292769.5362999975,2453051.8708999977,160282.3346,2010529.575799999,2157100.9870999977,146571.4113,1889988.8191,40.96522330433169,838,0.40872508811967656,16398754.728600008,-0.32129575405465616,-0.273587466484182,-0.21935747609305878,0.02820278399872503,0.023849512221500474,-0.14765221868479728
101,1550787.4666000006,1585731.4110000008,34943.9444,1297686.0725000014,1332630.0169000016,34943.9444,360495.0069,42.83391877115264,508,1235553.0166000011,1263421.6782000011,27868.6616,999296.4599000002,1026448.9030000005,27152.4431,285487.94600000005,43.170002708955835,406,0.16996133225000845,5933372.049100013,-0.22724418831472626,-0.26128652195421154,-0.2332782986044002,2.1600369443215695e-5,2.3100571131805595e-4,0.33608393780319545
102,1144160.3524000007,1216569.3694000002,72409.01699999999,896439.1285999997,968848.1456,72409.01699999999,456064.0874999999,43.08551180314051,384,908723.715,986106.0138999999,77382.29890000001,701367.3705999999,778270.5073999997,76903.13680000001,384891.5045999999,42.2265321366536,272,0.3071718314510055,5268694.717400012,-0.23038522621613744,-0.24539857556345268,-0.16967185406315544,0.01895357575367536,0.0240756427157761,-0.8589796664869098
110,1473195.9130000016,1646763.0226000007,173567.10960000003,1031239.1181999998,1130485.2392000002,99246.12099999998,283327.16890000005,42.182045130084695,523,1462018.997499999,1484431.3117999989,22412.3143,1079149.5354999998,1094792.8203999996,15643.284899999999,338444.41429999995,42.56828592434975,460,0.15104406807237294,5469766.350599992,-0.007615775922754864,0.04541215722879599,0.17775756329521286,-0.09030071029589869,-0.07350191854212372,0.3862407942650563
