OCC2010,nat_emp_0,nat_lf_0,nat_unemp_0,nat_emp_nc_0,nat_lf_nc_0,nat_unemp_nc_0,for_emp_0,nat_hrs_0,n_nat_0,nat_emp_1,nat_lf_1,nat_unemp_1,nat_emp_nc_1,nat_lf_nc_1,nat_unemp_nc_1,for_emp_1,nat_hrs_1,n_nat_1,foreign_share,emp_tot,d_log_nat_emp,d_log_nat_emp_nc,d_log_for_emp,d_nat_unrate,d_nat_unrate_nc,d_nat_hrs
10,18352169.893100016,18708896.49070002,356726.5975999998,4345953.339700004,4429420.913100006,83467.57340000001,2723252.6920999996,44.85785242768726,5730,16921856.137600023,17069760.605000008,147904.4674,4376467.176999997,4405999.717599998,29532.5406,3127653.8099999996,44.92617882019528,5040,0.13896559648627396,63648030.67120021,-0.08114176884957303,0.0069966729352763934,0.13845613346436458,-0.010402510846493735,-0.01214110066205092,0.06832639250801975
20,15064617.959800001,15295782.890900007,231164.9311,7967545.2553,8082491.9146,114946.65930000001,1924202.1258000003,44.674651801931255,4627,13591203.01970002,13868371.040600022,277168.0208999999,6867522.257900006,6914472.362200007,46950.104300000006,1776735.2205,44.38652159483635,3981,0.11150101644728064,47609669.721799806,-0.10292606613894506,-0.14857306725021502,-0.07973386730271415,0.004872637377329321,-0.007431564607946516,-0.2881302070949019
40,496489.51889999985,512219.55849999975,15730.0396,77871.8908,77871.8908,0,102025.73339999998,42.73558301653501,153,477406.1600999999,502583.57149999985,25177.411399999997,60398.700799999984,60398.700799999984,0,23975.841900000003,40.567081038048215,118,0.1223525119346624,2062069.295600001,-0.03919475603586342,-0.25409745601325184,-1.4481783338017138,0.019386405201793556,0,-2.1685019784867947
50,11699671.80509998,12049781.85759999,350110.05249999993,3110469.1486000023,3135752.4784000027,25283.3298,1174683.3846,43.593028699066586,3368,11747133.618600002,12183888.071699992,436754.45310000016,3143883.6684999987,3264204.289299997,120320.6208,1464515.8406999998,42.20729250904055,3246,0.0959444881206223,41218210.15740021,0.004048472912860035,0.010685306315119547,0.22052605231290023,0.006791584389528118,0.028797705550415154,-1.3857361900260372
60,1394537.4169000005,1445902.2275000007,51364.810600000004,199753.51299999995,206481.81439999992,6728.301399999999,197079.90449999998,40.0321452801434,556,1513512.734700001,1576512.3323000006,62999.5976,151563.9599,169963.0058,18399.0459,84057.4267,41.06115347206476,423,0.09559744647016374,4684507.9271,0.08187050402447937,-0.2760764580601567,-0.8521090366500843,0.004436972114573952,0.07566779603978466,1.0290081919213563
100,2445261.524300002,2466159.447300002,20897.923000000003,1311842.7006999992,1326560.1951999993,14717.4945,272379.08940000006,41.20022603235156,819,2257846.709800003,2320200.0649000015,62353.355099999986,1283718.2541999994,1288848.5783999993,5130.3242,156924.76320000004,40.82609482207199,661,0.09496211627506752,7868147.232899994,-0.07974050428724055,-0.021672037578303716,-0.551428331810305,0.018400255252709566,-0.007113930763692079,-0.37413121027957175
110,7011494.421699991,7121013.049399992,109518.62769999998,1557192.597,1604627.7002999997,47435.1033,2404593.7791999993,43.088409512876694,2067,5486364.840700002,5634178.404500001,147813.56379999997,1879850.8669999999,1908548.6174999995,28697.750499999995,1539779.7932000011,42.96236089545834,1538,0.24084946747667657,27510883.1516999,-0.24528496833165292,0.18830786493441032,-0.44574156774110385,0.010855517076837254,-0.014525012405010886,-0.1260486174183555
120,14435511.454100037,14850707.509300038,415196.0551999999,4469268.493300001,4603687.244399997,134418.7511,2959599.068199997,42.61685715306676,4495,12839467.54970006,13139655.254300063,300187.70459999994,4209433.784600003,4314347.540700004,104913.75610000001,2393229.6616999987,42.807232951974946,3511,0.1591278199004454,50945802.71049972,-0.11716741470466374,-0.05989660152217802,-0.21241003261398284,-0.005112063693824966,-0.0048806536440099,0.19037579890818535
136,3500600.3239999977,3556737.0908999993,56136.766899999995,837356.3851999996,853970.6613999995,16614.2762,447752.3925999998,42.246643840157745,1019,2931913.2071000002,3127543.900999999,195630.69390000004,651172.6086000006,670577.2261000008,19404.6175,297598.82690000004,42.550032905521086,875,0.10078659949783972,11279164.230800018,-0.17727929328796144,-0.25147501779360226,-0.4084940234505794,0.046767681772057076,0.009481861028556197,0.30338906536334065
137,831051.2099000004,843400.1968000003,12348.9869,282740.15359999985,295089.1404999999,12348.9869,63248.598699999995,42.26951602960053,252,725957.7768999999,794466.1512999996,68508.3744,277529.13980000006,288925.19500000007,11396.055199999999,13445.1511,42.781275083283695,204,0.06410364463628786,2237163.6498000007,-0.13519956279156276,-0.018602354732232484,-1.5484544443852375,0.07159005469300594,-0.0024054007888565376,0.5117590536831642
140,2793873.9834000017,2883658.0716000027,89784.0882,1557990.0238000005,1618197.8823000002,60207.8585,414126.55480000004,44.54782312601271,900,3199283.223500002,3280520.541700002,81237.3182,1630513.361499998,1683408.504699998,52895.14319999999,597234.9266000001,44.446179381081784,905,0.13973565979891311,10225139.819400014,0.1354976348186625,0.04549836672038943,0.3661389328449154,-0.006371938419224087,-0.005785280024352968,-0.1016437449309251
150,2401707.766199996,2454840.3321999963,53132.56599999999,926762.241000001,948681.5054000008,21919.2644,288826.7853,42.09026127533994,774,2344585.2201999994,2433473.0047999993,88887.7846,788135.4549000001,837043.1140000002,48907.6591,263231.11,42.30236955245328,671,0.11658983558895364,8360058.443999968,-0.024071545684646978,-0.16202707830153784,-0.09279475804725656,0.014883129165151221,0.03532410299479034,0.21210827711333735
