window_end,outcome,beta,se,p,n
2018-08-01,d_unrate,-0.01888258692866821,0.008998811324378506,0.03656555299598289,365
2018-08-01,d_hrs,-0.16078706190369563,0.3377324272611805,0.6343050347518964,365
2018-11-01,d_unrate,-0.02055390149360756,0.009483699437633008,0.030862638882321297,365
2018-11-01,d_hrs,-0.2406595656930908,0.37234281879995085,0.5184684624145723,365
2019-02-01,d_unrate,-0.02272881171316393,0.009453123917579602,0.016700642902270958,365
2019-02-01,d_hrs,-0.0174355408000668,0.45576113792093653,0.9695047021953866,365
2019-05-01,d_unrate,-0.02048168781348487,0.00973528543224185,0.036078010732386055,365
2019-05-01,d_hrs,-0.0011923082544115493,0.36886334825228234,0.9974227102348069,365
2019-08-01,d_unrate,-0.021946147843469176,0.007084195987663579,0.0021007902638257286,365
2019-08-01,d_hrs,0.06886893618845538,0.29457626536001125,0.8152799331235154,365
2019-11-01,d_unrate,-0.015213969745431327,0.006264306157161374,0.015639013876968887,365
2019-11-01,d_hrs,0.3947212546454217,0.28867722079398694,0.17236334528249556,365
2020-02-01,d_unrate,-0.009871244416736823,0.006525180209771309,0.13120245838772504,365
2020-02-01,d_hrs,0.2379925493858338,0.36080730175936016,0.5099216014124991,365
2020-05-01,d_unrate,0.022412395386468508,0.011125708733887133,0.044697408649780924,365
2020-05-01,d_hrs,0.20320956858109304,0.3687989132576034,0.5819700959674396,365
2020-08-01,d_unrate,0.053294992832125555,0.018281521556573095,0.0037747478739921184,365
2020-08-01,d_hrs,0.38530069727055355,0.4093575988141729,0.34721163742438055,365
2020-11-01,d_unrate,0.07346434740163073,0.025346233004714523,0.00397814345722776,365
2020-11-01,d_hrs,0.46038116925884914,0.527634468506233,0.3834916764263928,365
2021-02-01,d_unrate,0.10714801648195527,0.03558086383871382,0.00278265147422659,365
2021-02-01,d_hrs,0.05731485911443979,0.6005824275301093,0.9240242575522929,365
2021-05-01,d_unrate,0.060033926552800404,0.026083374165245154,0.021922486016989682,365
2021-05-01,d_hrs,0.057673489893075885,0.5803660398063192,0.9208959141907319,365
2021-08-01,d_unrate,0.01767350324424551,0.00997462386704616,0.07725886834330331,365
2021-08-01,d_hrs,-0.14847814470752618,0.5174501667533725,0.7743205072843893,365
2021-11-01,d_unrate,-0.010905190546580103,0.01279841321092722,0.39473501619593176,365
2021-11-01,d_hrs,-0.7040576021264916,0.407022576117783,0.08452045022996425,365
2022-02-01,d_unrate,-0.047774237600025804,0.019680062597446476,0.01568705724475885,365
2022-02-01,d_hrs,-0.2327835854449638,0.47832619463274156,0.6267909807688749,365
2022-05-01,d_unrate,-0.04555516501192593,0.01842443907870922,0.013873161253662723,365
2022-05-01,d_hrs,-0.09184424953202408,0.5062026115094641,0.856125277479336,365
2022-08-01,d_unrate,-0.05352908617482261,0.013184890331350575,6.01706194987372e-5,365
2022-08-01,d_hrs,-0.1448432466260171,0.528070926494951,0.7840197232450666,365
2022-11-01,d_unrate,-0.05147662649268072,0.013403946624916178,1.4491471474942493e-4,365
2022-11-01,d_hrs,-0.21488709547969695,0.46784144088552176,0.6462821377864865,365
2023-02-01,d_unrate,-0.04876415400687413,0.01313122102886228,2.364414944594734e-4,365
2023-02-01,d_hrs,-0.6197481496514321,0.4965176686094937,0.21276614971777952,365
2023-05-01,d_unrate,-0.0312713571684678,0.010822288142327455,0.004089855312602303,365
2023-05-01,d_hrs,-0.402854126180488,0.35224516108093823,0.25351191786482763,365
2023-08-01,d_unrate,-0.007677700528610028,0.009493201983271759,0.41918425200326304,365
2023-08-01,d_hrs,-0.002826780723202296,0.3638899155717139,0.9938061785484338,365
2023-11-01,d_unrate,-0.0017781353096230099,0.007585722975060911,0.814802331718254,365
2023-11-01,d_hrs,0.4281377931179815,0.4199238856388133,0.3086159817430621,365
2024-02-01,d_unrate,0.013604303187478298,0.007845098405788753,0.08374664367365771,365
2024-02-01,d_hrs,0.7667521466922402,0.5306187863784294,0.149316321598592,365
2024-05-01,d_unrate,0.005182394654476443,0.007835361046007744,0.508768313198303,365
2024-05-01,d_hrs,0.3678612117634713,0.47277861098159424,0.4370266660988307,365
2024-08-01,d_unrate,4.048200807160269e-4,0.007755719953136366,0.9584009723318776,365
2024-08-01,d_hrs,-0.07374007402190541,0.40867585749221763,0.8569105295422939,365
2024-11-01,d_unrate,0.0020041738569771565,0.007415650554621211,0.7871117348557571,365
2024-11-01,d_hrs,-0.03513282497713697,0.4345860516252135,0.9356121229794566,365
2025-02-01,d_unrate,-0.0012457753618081236,0.008888062247522685,0.8886091309777991,365
2025-02-01,d_hrs,-0.12372513052978713,0.48206039275493456,0.797587440378551,365
2025-05-01,d_unrate,-0.0026483823680594765,0.00985050260699199,0.7881920150733607,365
2025-05-01,d_hrs,0.02667045077984856,0.4438254606867091,0.9521152669789246,365
2025-08-01,d_unrate,-0.0011587030955971852,0.007108691510829353,0.870610646295061,365
2025-08-01,d_hrs,0.3934299136846674,0.42490443017823326,0.355099777539985,365
2025-11-01,d_unrate,0.0017918410503918257,0.007962182719883597,0.8220717158931402,365
2025-11-01,d_hrs,0.1577627237974086,0.4226592966156533,0.7091712112483889,365
2026-02-01,d_unrate,0.003092805751502788,0.007896872117066658,0.695547042851826,365
2026-02-01,d_hrs,0.09780209135890713,0.41043147525549045,0.8117899239342583,365
2026-05-01,d_unrate,0.014385208160178775,0.009669018489960109,0.1376815392936522,365
2026-05-01,d_hrs,-0.05739844473253034,0.40704966780543533,0.8879395403109246,365
2026-08-01,d_unrate,0.00994843285253047,0.008457536840070634,0.2402537524395754,365
2026-08-01,d_hrs,-0.42452920713766923,0.4387871290346508,0.33393526774595716,365
