educ_grp,yr,unrate,epop,n_lf
BA+,2015,0.023546933767832973,0.8711945700561476,108984
BA+,2016,0.022817234381280308,0.8728406338807474,108897
BA+,2017,0.021303799655792457,0.8757059500963886,109325
BA+,2018,0.020215064639506883,0.8807663434788386,107869
BA+,2019,0.019803234389696105,0.882418943128931,105015
BA+,2020,0.047338599450978576,0.8486321379578918,94956
BA+,2021,0.030905317186683025,0.8659916650049991,98640
BA+,2022,0.01896405177170892,0.8838663962685542,94687
BA+,2023,0.019888407812078478,0.8884291002936914,92138
BA+,2024,0.02093067549126893,0.8894113026227315,92502
BA+,2025,0.023977415429452226,0.8831411695557023,89453
BA+,2026,0.02679777694932131,0.8837252716605444,86454
HS to some college,2015,0.05613937436145105,0.7525799656848796,155844
HS to some college,2016,0.05288432920617537,0.7565862198814527,151127
HS to some college,2017,0.049546895458453796,0.7609762435367504,146588
HS to some college,2018,0.04273451515750972,0.7697204494536426,139261
HS to some college,2019,0.03990837942813332,0.7739357960663602,131818
HS to some college,2020,0.08926591378579397,0.7231248899432239,109375
HS to some college,2021,0.07036493155857522,0.7324880974095935,114121
HS to some college,2022,0.042130061205517155,0.7648261227139002,106637
HS to some college,2023,0.03958213784832252,0.775408463021284,102864
HS to some college,2024,0.043253136718123295,0.7736734002999249,101066
HS to some college,2025,0.042905409692298,0.7747065154098146,97208
HS to some college,2026,0.04656645116474846,0.7706770933872558,92903
Less than HS,2015,0.13723025957049095,0.5019544911045888,12498
Less than HS,2016,0.11718434764086916,0.5298966976662837,12115
Less than HS,2017,0.11256752810778742,0.5266415200700821,11019
Less than HS,2018,0.08357349260662733,0.5446266622520652,10073
Less than HS,2019,0.08707988036008675,0.53671780497460575,9082
Less than HS,2020,0.1445288137076254,0.49206510547683374,6615
Less than HS,2021,0.13558876195377614,0.48587401025591476,7295
Less than HS,2022,0.08418790298212347,0.5245332386682714,6928
Less than HS,2023,0.0828516190500069,0.5560545751572309,6497
Less than HS,2024,0.08806180815625313,0.5577071483500925,6177
Less than HS,2025,0.08138923872137566,0.5617587108782055,5735
Less than HS,2026,0.09412020645098057,0.5298231564752125,5252
