yr,pctile,wage_smooth,wage_raw,n,sample,g_smooth,g_raw
2018,p10,9.916666666666666,10,54385,Imputed dropped (headline),NA,NA
2019,p10,10.277777777777779,10,51634,Imputed dropped (headline),0.036414565826330625,0
2020,p10,11.116666666666667,11,46529,Imputed dropped (headline),0.08162162162162168,0.10000000000000009
2021,p10,11.61111111111111,11.75,46569,Imputed dropped (headline),0.04447776111944024,0.06818181818181812
2022,p10,12.720951720951721,12.961538461538462,46260,Imputed dropped (headline),0.09558435874225357,0.10310965630114577
2023,p10,13.688888888888888,13.95,44148,Imputed dropped (headline),0.07608999618660217,0.0762611275964391
2024,p10,14.528478057889822,14.5,45453,Imputed dropped (headline),0.06133362435883449,0.03942652329749108
2025,p10,14.75,15,44012,Imputed dropped (headline),0.015247429305912608,0.034482758620689724
2026,p10,15.083333333333334,15,42595,Imputed dropped (headline),0.02259887005649719,0
2018,p20,11.855555555555556,12,54385,Imputed dropped (headline),NA,NA
2019,p20,12.475641025641025,12.5,51634,Imputed dropped (headline),0.05230336673635638,0.04166666666666674
2020,p20,13.615873015873015,13.742857142857142,46529,Imputed dropped (headline),0.09139666554115222,0.09942857142857142
2021,p20,14.294444444444444,14,46569,Imputed dropped (headline),0.049836791792958746,0.01871101871101888
2022,p20,15.123391812865497,15,46260,Imputed dropped (headline),0.05799087692024463,0.0714285714285714
2023,p20,16.130555555555556,16,44148,Imputed dropped (headline),0.06659641931866522,0.06666666666666665
2024,p20,16.977777777777778,17,45453,Imputed dropped (headline),0.052522817289478274,0.0625
2025,p20,17.505555555555556,17.5,44012,Imputed dropped (headline),0.03108638743455505,0.02941176470588225
2026,p20,18.002136752136753,18,42595,Imputed dropped (headline),0.02836706295925584,0.02857142857142847
2018,p40,16.45,16.45,54385,Imputed dropped (headline),NA,NA
2019,p40,17.24952380952381,17.085714285714285,51634,Imputed dropped (headline),0.04860327109567253,0.038645245332175504
2020,p40,18.652861952861954,18.75,46529,Imputed dropped (headline),0.08135518167541123,0.0974080267558528
2021,p40,18.976262626262628,19,46569,Imputed dropped (headline),0.017337858084080837,0.01333333333333342
2022,p40,19.983333333333334,20,46260,Imputed dropped (headline),0.053070023687222134,0.05263157894736836
2023,p40,21.24920634920635,21.142857142857142,44148,Imputed dropped (headline),0.06334643949322838,0.05714285714285716
2024,p40,22.263862433862435,22,45453,Imputed dropped (headline),0.04775030502228539,0.04054054054054057
2025,p40,23.366666666666667,23.1,44012,Imputed dropped (headline),0.04953337436755412,0.050000000000000044
2026,p40,23.903333333333332,24,42595,Imputed dropped (headline),0.022967189728958504,0.03896103896103886
2018,p50,19.425925925925927,19.25,54385,Imputed dropped (headline),NA,NA
2019,p50,20.003703703703703,20,51634,Imputed dropped (headline),0.029742612011439462,0.03896103896103886
2020,p50,21.784684037136866,21.77358490566038,46529,Imputed dropped (headline),0.08903252916625704,0.08867924528301896
2021,p50,22.261111111111113,22,46569,Imputed dropped (headline),0.02186981794925602,0.010398613518197486
2022,p50,23.464444444444446,23.5,46260,Imputed dropped (headline),0.054055403044671824,0.06818181818181812
2023,p50,24.71666666666667,25,44148,Imputed dropped (headline),0.053366796098115454,0.06382978723404253
2024,p50,25.64320987654321,25.65,45453,Imputed dropped (headline),0.03748657625933416,0.026000000000000023
2025,p50,27,27,44012,Imputed dropped (headline),0.05291030764046023,0.052631578947368585
2026,p50,27.46627680311891,27.5,42595,Imputed dropped (headline),0.017269511226626344,0.0185185185185186
2018,p10,9.911111111111111,10,89280,Imputed kept,NA,NA
2019,p10,10.172222222222222,10,85654,Imputed kept,0.026345291479820565,0
2020,p10,10.955555555555556,11,74012,Imputed kept,0.07700709994538513,0.10000000000000009
2021,p10,11.494444444444444,11.5,75759,Imputed kept,0.049188640973630626,0.045454545454545414
2022,p10,12.5,12.5,72703,Imputed kept,0.0874818753020783,0.08695652173913038
2023,p10,13.442063492063491,13.5,68850,Imputed kept,0.0753650793650793,0.08000000000000007
2024,p10,14.37037037037037,14.333333333333334,68666,Imputed kept,0.06905984924524211,0.06172839506172845
2025,p10,14.620987654320988,14.977777777777778,65710,Imputed kept,0.017439862542955265,0.04496124031007742
2026,p10,14.883333333333333,15,62974,Imputed kept,0.017943088744405866,0.0014836795252224366
2018,p20,11.772222222222222,12,89280,Imputed kept,NA,NA
2019,p20,12.293827160493827,12.25,85654,Imputed kept,0.044308111792774385,0.02083333333333326
2020,p20,13.41965811965812,13.45,74012,Imputed kept,0.09157693080167473,0.09795918367346923
2021,p20,14.027777777777779,14,75759,Imputed kept,0.04531558499458632,0.040892193308550207
2022,p20,15.011111111111111,15,72703,Imputed kept,0.07009900990098994,0.0714285714285714
2023,p20,15.804761904761905,16,68850,Imputed kept,0.052870889288357814,0.06666666666666665
2024,p20,16.727777777777778,17,68666,Imputed kept,0.05840112483679816,0.0625
2025,p20,17.25,17,65710,Imputed kept,0.0312188641647293,0
2026,p20,17.705555555555556,18,62974,Imputed kept,0.026409017713365568,0.05882352941176472
2018,p40,15.944444444444445,16,89280,Imputed kept,NA,NA
2019,p40,16.68888888888889,16.85,85654,Imputed kept,0.04668989547038338,0.05312500000000009
2020,p40,18.094444444444445,18,74012,Imputed kept,0.08422103861517982,0.06824925816023719
2021,p40,18.377777777777776,18.25,75759,Imputed kept,0.01565858151673316,0.01388888888888884
2022,p40,19.555555555555557,19.5,72703,Imputed kept,0.06408706166868217,0.06849315068493156
2023,p40,20.374358974358973,20.15,68850,Imputed kept,0.04187062937062924,0.033333333333333215
2024,p40,21.582202729044834,21.65,68666,Imputed kept,0.05928254018719925,0.07444168734491319
2025,p40,22.58888888888889,22.6,65710,Imputed kept,0.046644273176494666,0.04387990762124727
2026,p40,23.322222222222223,23.1,62974,Imputed kept,0.03246433841613383,0.022123893805309658
2018,p50,18.79259259259259,18.95,89280,Imputed kept,NA,NA
2019,p50,19.482611832611834,19.257142857142856,85654,Imputed kept,0.03671761821150876,0.01620806633999239
2020,p50,20.978535353535353,21,74012,Imputed kept,0.07678249373215462,0.09050445103857574
2021,p50,21.341975308641974,21.377777777777776,75759,Imputed kept,0.017324372220550277,0.017989417989418
2022,p50,22.52079365079365,22.5,72703,Imputed kept,0.055234734606516955,0.05249480249480265
2023,p50,23.793333333333333,24,68850,Imputed kept,0.05650509934381631,0.06666666666666665
2024,p50,24.833333333333332,25,68666,Imputed kept,0.04370972261137562,0.04166666666666674
2025,p50,25.9,26,65710,Imputed kept,0.04295302013422808,0.040000000000000036
2026,p50,26.538888888888888,26.45,62974,Imputed kept,0.024667524667524754,0.017307692307692246
