date,window,pctile,wage,n,months,wage_lag12,yoy
2023-01-01,6,p10,13.261111111111111,33200,6,12.257482993197279,0.08187880974183948
2023-02-01,6,p10,13.342592592592593,33020,6,12.338888888888889,0.0813447396067839
2023-03-01,6,p10,13.416666666666666,33293,6,12.377777777777778,0.08393177737881508
2023-04-01,6,p10,13.495833333333334,33203,6,12.435185185185185,0.08529411764705874
2023-05-01,6,p10,13.556349206349207,33112,6,12.555555555555555,0.07970922882427312
2023-06-01,6,p10,13.662962962962963,33118,6,12.652564102564103,0.07985724096778912
2023-07-01,6,p10,13.727777777777778,32916,6,12.691604938271604,0.08164238049843386
2023-08-01,6,p10,13.772558922558924,32932,6,12.755555555555556,0.07973022912047312
2023-09-01,6,p10,13.847058823529412,32660,6,12.93015873015873,0.0709117430424171
2023-10-01,6,p10,13.916666666666666,32799,6,13,0.07051282051282048
2023-11-01,6,p10,13.956410256410257,32818,6,13.084656084656086,0.06662415627235685
2023-12-01,6,p10,14.055098039215686,33030,6,13.137037037037038,0.06988341431864531
2024-01-01,6,p10,14.216666666666667,33322,6,13.261111111111111,0.07205697528278177
2024-02-01,6,p10,14.365079365079366,33520,6,13.342592592592593,0.07663329037374833
2024-03-01,6,p10,14.38888888888889,33975,6,13.416666666666666,0.07246376811594213
2024-04-01,6,p10,14.505555555555556,34022,6,13.495833333333334,0.07481733045178562
2024-05-01,6,p10,14.522222222222222,34206,6,13.556349206349207,0.07124875592763891
2024-06-01,6,p10,14.515873015873016,34310,6,13.662962962962963,0.062424969987995294
2024-07-01,6,p10,14.469047619047618,34056,6,13.727777777777778,0.05399780308724056
2024-08-01,6,p10,14.483512544802867,33933,6,13.772558922558924,0.051621026001161585
2024-09-01,6,p10,14.5,33667,6,13.847058823529412,0.04715378079864063
2024-10-01,6,p10,14.507692307692308,33601,6,13.916666666666666,0.04246890833717187
2024-11-01,6,p10,14.616666666666667,33547,6,13.956410256410257,0.047308469593973834
2024-12-01,6,p10,14.677777777777777,33676,6,14.055098039215686,0.044302767353506134
2025-01-01,6,p10,14.75,33873,6,14.216666666666667,0.0375146541617819
2025-02-01,6,p10,14.761111111111111,34000,6,14.365079365079366,0.027569060773480647
2025-03-01,6,p10,14.77037037037037,34206,6,14.38888888888889,0.0265122265122264
2025-04-01,6,p10,14.766161616161616,33993,6,14.505555555555556,0.017965948260854292
2025-05-01,6,p10,14.746153846153845,33722,6,14.522222222222222,0.015419928197280885
2025-06-01,6,p10,14.74074074074074,33422,6,14.515873015873016,0.015491160925824587
