educ3,year,month,unrate,unrate_3m,months_in_window,n_lf
High school diploma,2023,1,0.046725043169295565,0.046725043169295565,1,6156
High school diploma,2023,2,0.04291941893627307,0.04482722589692758,2,6011
High school diploma,2023,3,0.05098702121243678,0.0468591215370552,3,5844
High school diploma,2023,4,0.04924579263276672,0.04770011117957393,3,6171
High school diploma,2023,5,0.04655717658496233,0.04891398226116258,3,6288
High school diploma,2023,6,0.047547914546289295,0.04777741083774385,3,6177
High school diploma,2023,7,0.03931742088481329,0.04447756371825765,3,6174
High school diploma,2023,8,0.04452965803920071,0.0437987922361532,3,6316
High school diploma,2023,9,0.047253818689726924,0.0437075769508765,3,6169
High school diploma,2023,10,0.045217702354515894,0.045667244128232906,3,6195
High school diploma,2023,11,0.0440106863957556,0.045501442061586773,3,6088
High school diploma,2023,12,0.047185651665109754,0.045471258789090786,3,6059
High school diploma,2024,1,0.053329840402211115,0.04817835230310093,3,6056
High school diploma,2024,2,0.051336695827616005,0.050621204961962395,3,6132
High school diploma,2024,3,0.05205466562689526,0.052240094238220576,3,5751
High school diploma,2024,4,0.042464252496175046,0.048613256691435056,3,6071
High school diploma,2024,5,0.04779847314187196,0.0474252869973098,3,6090
High school diploma,2024,6,0.0481053390797288,0.04612052727276847,3,6061
High school diploma,2024,7,0.0549936112714995,0.05031471243982993,3,6114
High school diploma,2024,8,0.0469887039343803,0.05003562896101972,3,6257
High school diploma,2024,9,0.045324251156382105,0.04912152412855074,3,6067
High school diploma,2024,10,0.04348599188550418,0.04527433397592146,3,6003
High school diploma,2024,11,0.05153467751916468,0.046816746232059,3,6098
High school diploma,2024,12,0.04871554254270939,0.047941436532824296,3,6046
High school diploma,2025,1,0.05273063151690429,0.05100468081184551,3,6050
High school diploma,2025,2,0.05122056713451692,0.050898715363323535,3,5802
High school diploma,2025,3,0.04675337636586015,0.05026868295936321,3,5619
High school diploma,2025,4,0.04213877114363342,0.04666956962558267,3,5877
High school diploma,2025,5,0.05090085813049988,0.04658994830945448,3,5715
High school diploma,2025,6,0.0462995446837335,0.04644008443945507,3,5721
High school diploma,2025,7,0.05390166887578125,0.05036435310042894,3,5680
High school diploma,2025,8,0.04780851393051534,0.049324962731043295,3,6107
High school diploma,2025,9,0.04685772765426591,0.04950864371732066,3,6015
High school diploma,2025,11,0.05317324010780416,0.05007770261440304,2,5703
High school diploma,2025,12,0.045250544629898685,0.04927181497318724,2,5537
High school diploma,2026,1,0.06286673608817249,0.05378757652282799,3,5600
High school diploma,2026,2,0.06670446990868054,0.05826082171646472,3,5665
High school diploma,2026,3,0.05820563333124297,0.06258647149457826,3,5397
High school diploma,2026,4,0.05025691787797786,0.058329511461118075,3,5751
High school diploma,2026,5,0.04882191695226977,0.052402348096521445,3,5772
High school diploma,2026,6,0.04729431616087835,0.048793591924586294,3,5685
High school diploma,2026,7,0.05018685408948119,0.04876553692193589,3,5570
High school diploma,2026,8,0.05559848429425193,0.051020646394010175,3,5697
Less than high school,2023,1,0.07824563045216562,0.07824563045216562,1,774
Less than high school,2023,2,0.10324418582187729,0.09017852387858834,2,723
Less than high school,2023,3,0.08178314123489373,0.08735903650430095,3,761
Less than high school,2023,4,0.0889716759117781,0.0910690905277334,3,827
Less than high school,2023,5,0.08176447959813463,0.08415590152513672,3,893
Less than high school,2023,6,0.08536187992558046,0.08528558614565353,3,910
Less than high school,2023,7,0.07272975739786088,0.08016472840279633,3,783
Less than high school,2023,8,0.07281636183740277,0.07723042001417803,3,826
Less than high school,2023,9,0.06581306008975886,0.07055576237080127,3,781
Less than high school,2023,10,0.07577070193464672,0.07152957082776493,3,793
Less than high school,2023,11,0.09176005100494504,0.07796554791176517,3,787
Less than high school,2023,12,0.08914142781310559,0.08560415006171149,3,762
Less than high school,2024,1,0.1063808776234764,0.09572908731052301,3,752
Less than high school,2024,2,0.11205604151577922,0.10209966191874097,3,694
Less than high school,2024,3,0.08865827277354663,0.10231459349017223,3,703
Less than high school,2024,4,0.08461561752457061,0.09438003551794406,3,812
Less than high school,2024,5,0.07903148635470611,0.08390139804871027,3,838
Less than high school,2024,6,0.06755874500690284,0.07698271904278292,3,822
Less than high school,2024,7,0.08189709522381564,0.07596139180098777,3,759
Less than high school,2024,8,0.0892936493335808,0.07933087088800186,3,797
Less than high school,2024,9,0.07449329129340167,0.0819502810009555,3,778
Less than high school,2024,10,0.07903623426265473,0.08105837791005345,3,703
Less than high school,2024,11,0.06532820225708616,0.07279173544689244,3,764
Less than high school,2024,12,0.08377440691879827,0.07593775402583457,3,772
Less than high school,2025,1,0.07189699579646733,0.0736098127737045,3,776
Less than high school,2025,2,0.09501147750614113,0.08332056562059145,3,721
Less than high school,2025,3,0.1023559988501291,0.08928422010759417,3,694
Less than high school,2025,4,0.08032777602513562,0.09257742690702081,3,698
Less than high school,2025,5,0.07725323583184578,0.08651875068291955,3,707
Less than high school,2025,6,0.06555028877661,0.07423350294518331,3,713
Less than high school,2025,7,0.07773796448876538,0.0734099016532809,3,665
Less than high school,2025,8,0.0826143508150496,0.07532669353376131,3,761
Less than high school,2025,9,0.08571789828747836,0.0822154879763055,3,799
Less than high school,2025,11,0.09610516032983911,0.0909925894148558,2,776
