yr,p10,p25,p50,p75,mean,n,grp,g_p10,g_p25,g_p50,g_mean
2018,13.290852966616145,15.95104878455275,21.85645649208138,38.2156830179726,30.701724694670787,12903,Foreign-born,NA,NA,NA,NA
2019,13.177709066018364,16.56506155647688,22.863325229541864,39.071101987496505,31.74418183150706,12562,Foreign-born,-0.008512914925924986,0.03849356742728727,0.046067336570558615,0.03395435100807953
2020,14.283698555263966,18.04307512369286,25.02887694023428,44.77387985975244,34.494994364558,10796,Foreign-born,0.08392881370386607,0.08922475549981157,0.09471726833043048,0.08665564441546514
2021,14.46227351878769,18.16666606408787,24.198787897222203,42.682358226648596,33.38315186962583,11289,Foreign-born,0.012502011494628817,0.006849771424646045,-0.03316525327901132,-0.03223199526231968
2022,14.48329176884843,17.71031594975257,23.740529376229706,41.927712673318126,32.579349828430814,11674,Foreign-born,0.0014533157621057224,-0.025120190613148297,-0.0189372510283915,-0.024078075201951377
2023,14.727944217735818,17.756927603069215,24.107873637104138,41.91727527131254,34.77107992933521,11672,Foreign-born,0.01689204724947979,0.002631892815966319,0.015473296953615323,0.0672735985354671
2024,14.932132747899345,18.07854643406385,23.822309532485225,41.13159707604578,38.249128471214966,12561,Foreign-born,0.01386402115222829,0.018112301755346616,-0.011845263042170817,0.10002704974789811
2025,15.470135467980295,18.330732741503258,24.408412257664178,42.60453151126822,39.55765458336131,10981,Foreign-born,0.03602986453201984,0.013949479199513393,0.024603102582464453,0.03421061248836299
2026,14.993599365009267,18.46273768749262,24.989332275015443,43.38755323163171,39.80084752084477,7891,Foreign-born,-0.03080361538897647,0.0072012912877446045,0.02379999203630523,0.0061478098245426605
2018,18.544872175099353,25.91716328490148,38.46697288970797,58.055110316805184,43.898484476380276,31569,"Native, BA+",NA,NA,NA,NA
2019,19.23945523638681,26.216601186469862,39.10668005323496,59.078559151268074,44.343731630667094,30508,"Native, BA+",0.037454184355074194,0.011553652623040866,0.016630036508491486,0.010142654344397428
2020,19.59757248609562,27.71233734604412,40.845257845983696,61.750311074243065,45.99556836715034,29595,"Native, BA+",0.018613689696967972,0.057053015718383504,0.044457309860669536,0.03725073817064306
2021,19.589652218293175,27.156743579950124,40.139297670134134,59.09396601436415,44.8566453306878,28934,"Native, BA+",-4.041453505562176e-4,-0.020048607201777813,-0.017283773272078307,-0.02476158197179612
2022,19.783774480191422,27.144858882199813,39.567548960382844,57.55902805854291,43.876779570178186,29013,"Native, BA+",0.009909428699146128,-4.3763338985480793e-4,-0.014244113448370177,-0.021844383441649295
