exp_grp,yr,p10,p50,mean,n,g_p10,g_p50,g_mean
Q1 lowest immigrant share,2018,16.1077762728708,31.57191385338249,36.581906148888244,14794,NA,NA,NA
Q1 lowest immigrant share,2019,16.92173183185284,31.52546292673001,37.101945743090226,14178,0.050531839106365384,-0.0014712737044765278,0.014215759891937463
Q1 lowest immigrant share,2020,18.179252706699593,33.299774005605286,38.725614272794985,13175,0.07431395836681709,0.05628184058705332,0.04376235524001171
Q1 lowest immigrant share,2021,18.07784189848461,32.91061572673253,38.17557745691318,12516,-0.005578381567775348,-0.011686514112896118,-0.01420343682626124
Q1 lowest immigrant share,2022,17.476974233401968,32.31640001073782,36.840143120249664,12502,-0.03323779843063068,-0.018055442077677064,-0.03498137881924002
Q1 lowest immigrant share,2023,17.629894708045246,32.074189629735784,38.57799404661199,12156,0.008749825490445451,-0.007494967908602379,0.04717275176401503
Q1 lowest immigrant share,2024,17.94497679150506,31.872401292732977,41.111947165673335,12429,0.01787203433018969,-0.006291299619171964,0.06568390041223204
Q1 lowest immigrant share,2025,17.75171059399305,32.56380943493072,42.4810648516251,10810,-0.01076993298779294,0.021693004422461915,0.03330218538262075
Q1 lowest immigrant share,2026,17.752632391819827,32.150162672983484,42.11752124807018,7575,5.192726762270894e-5,-0.012702652703265205,-0.008557779914996844
Q2,2018,13.980356773772995,26.895543507639474,33.63762681286138,18074,NA,NA,NA
Q2,2019,14.638872997711672,27.37467603726447,34.13684914479663,17296,0.047102962720811714,0.017814569521114265,0.014841187659064392
Q2,2020,15.44398340248963,28.489318766961244,36.000933460493506,16498,0.05499811391927589,0.04071802450481732,0.054606220620716295
Q2,2021,15.175949591697279,28.237069064385167,34.99453680158897,15933,-0.017355225255496154,-0.008854185129502201,-0.02795473789614178
Q2,2022,15.198593029837472,27.56202274406766,33.81458940614555,15909,0.0014920607111519324,-0.02390638769123976,-0.03371804582336535
Q2,2023,15.645113713459782,27.620732960383602,36.35539847210028,15564,0.02937908020470803,0.0021301127591797364,0.0751394327293815
Q2,2024,15.97475678768996,28.10083380642624,39.62169281126887,16336,0.021070033766937835,0.017381901006437772,0.08984344764300123
Q2,2025,15.57751867088706,28.76648447890477,39.690699554622526,14476,-0.024866614376815477,0.023687933143332618,0.0017416404615107073
Q2,2026,15.376164756644275,28.70217421240265,40.75219050398446,10437,-0.012925929892743215,-0.002235597003494738,0.026744072572999267
Q3,2018,13.176643119092097,26.20519984354171,32.33961608271978,26716,NA,NA,NA
Q3,2019,13.077851044143314,26.61613272311213,33.08194268886364,25607,-0.007497514659529636,0.01568134881717742,0.022954094576914663
Q3,2020,14.027475771996249,28.313969571230988,34.43803784929594,23605,0.07261320874871169,0.06378976486860322,0.04099200500969369
Q3,2021,14.086519714659266,27.63445025501969,33.61815360554181,23082,0.004209163759946621,-0.023999436550279363,-0.023807519096819996
Q3,2022,14.413892835568035,27.640759202324585,33.35670262615605,22777,0.023240170570171692,2.283000836518223e-4,-0.00777707730333721
Q3,2023,14.612056690176153,27.84711129077478,35.37496143027206,22295,0.013748114882547569,0.007465500022620253,0.06050534510966399
Q3,2024,15.112236809033082,28.367957814120874,37.38855176749728,22794,0.034230644560337975,0.01870379005949685,0.05692134367960322
Q3,2025,15.470135467980295,28.937992484311465,38.193708928701106,20122,0.023682705840956997,0.02009431464632394,0.021534858215710884
Q3,2026,15.047706323109265,28.70217421240265,37.840416195570334,14239,-0.027306105091669308,-0.0081490888504675,-0.009250024232794196
Q4 highest immigrant share,2018,12.62090217572359,20.80587768579145,28.493663596031976,19406,NA,NA,NA
Q4 highest immigrant share,2019,12.780593078404058,21.120729436291448,28.93370716524004,18465,0.01265289124795177,0.015132827139275884,0.01544355880123982
Q4 highest immigrant share,2020,12.990303691103003,23.148721177545553,31.021967651246136,15985,0.01640851965260537,0.09601901995721018,0.0721739690693648
Q4 highest immigrant share,2021,13.322221780331105,22.57835493945045,30.409180027857932,15865,0.02555121859509968,-0.024639211545230633,-0.019753344799957828
Q4 highest immigrant share,2022,13.752360620740621,22.573004444115,30.278708905460622,15958,0.03228732020094216,-2.3697454264481888e-4,-0.004290517609412237
Q4 highest immigrant share,2023,14.196566540394986,22.855202752535018,32.10796424499617,15254,0.032300339694731006,0.012501583877266631,0.060413914782398326
Q4 highest immigrant share,2024,14.607228455478635,23.595276820818874,36.01509164755006,15560,0.028926847482111162,0.03238098897205233,0.12168717308705701
Q4 highest immigrant share,2025,14.475516704941107,23.720874384236453,36.26145456991673,13704,-0.009016888517830224,0.00532299596954755,0.006840546867896924
Q4 highest immigrant share,2026,14.418727632727855,23.073149695434207,35.171182246800136,9765,-0.003923111925522305,-0.027306105091669197,-0.03006697707104966
