exp_grp,yr,p10,p50,mean,n,g_p50,g_mean
Q1 lowest immigrant share,2018,15.977550598597707,31.53384678073322,36.519372234233515,9962,NA,NA
Q1 lowest immigrant share,2019,16.635082951945083,31.452231761164672,37.00608306542675,9475,-0.0025881720088275495,0.013327469817156157
Q1 lowest immigrant share,2020,18.169110667725626,33.299774005605286,38.74124390497966,8859,0.05874121297560353,0.04688853009612348
Q1 lowest immigrant share,2021,18.27437263333547,33.1295260491643,38.44566239024588,8636,-0.00511258594164421,-0.007629634078315961
Q1 lowest immigrant share,2022,17.476974233401968,31.890829113883402,36.71524668441872,8517,-0.037389515728135314,-0.04500938722975889
Q1 lowest immigrant share,2023,17.630092405904435,31.912006408164476,38.234486206005194,8155,6.640559329909035e-4,0.04137898172508292
Q1 lowest immigrant share,2024,17.841497952466607,31.736516818210724,40.58923225238841,8310,-0.005499171305908712,0.061586967160902395
Q1 lowest immigrant share,2025,17.627906688789285,32.47820543896044,41.82848378859889,7936,0.023370196074073313,0.030531534287336903
Q1 lowest immigrant share,2026,17.752632391819827,32.150162672983484,42.11752124807018,7575,-0.010100396913661935,0.006910063031021929
Q2,2018,13.961495612570786,26.852743572140053,33.63051980723044,12190,NA,NA
Q2,2019,14.4954799726202,27.207347359542666,34.04868131298459,11588,0.013205495611648299,0.012433988774215976
Q2,2020,15.482384189649322,28.74310631294024,36.289919006175616,10942,0.056446478706750014,0.06582450793289074
Q2,2021,15.283444987719285,28.36869045395106,35.325988261306286,10927,-0.01302628376045134,-0.026561942579846898
Q2,2022,15.062623439602367,27.43884954644109,33.748028197797055,10792,-0.03277701200269767,-0.04466853274810212
Q2,2023,15.695630443860624,27.660752959325958,35.90398102368458,10371,0.008087198135231066,0.06388381606331173
Q2,2024,15.998713658463585,28.145913544009453,39.45829583828541,10882,0.017539673825831992,0.09899500593697885
Q2,2025,15.630628528766744,28.70825439783492,39.89376340997408,10638,0.01997948487073198,0.011036147467528012
Q2,2026,15.376164756644275,28.70217421240265,40.75219050398446,10437,-2.1179223745249054e-4,0.021517826864029477
Q3,2018,12.953031180347896,25.772442036593283,32.170152294504355,18094,NA,NA
Q3,2019,13.08045546131859,26.61613272311213,33.04609616440841,17058,0.03273615613611325,0.02722846512771082
Q3,2020,13.838551263203218,28.5514596207117,34.64792769083876,15496,0.07271255060728743,0.04847264011037922
Q3,2021,14.009824572076012,27.88580737474375,33.82110265769735,15649,-0.023314123159051237,-0.02386362152793431
Q3,2022,14.35723889197149,27.766928564916896,33.44609355073089,15456,-0.004263057842625817,-0.011088021309119234
Q3,2023,14.427503677493737,27.768506200488016,34.955428292062685,14872,5.68170716985783e-5,0.04512738502756508
Q3,2024,15.015176158702921,27.988302697541183,37.04600100621032,15279,0.007915315842567772,0.059806811596765375
Q3,2025,15.509482183865472,29.035647046415335,38.053072637952454,14786,0.03742078825545092,0.027184354704663294
Q3,2026,15.047706323109265,28.70217421240265,37.840416195570334,14239,-0.011484945848790895,-0.005588417114312794
Q4 highest immigrant share,2018,12.62791362110426,20.603438013380636,28.371478703650688,13084,NA,NA
Q4 highest immigrant share,2019,12.914154884697998,21.20327879229041,29.089689305576925,12452,0.029113625527944054,0.02531452834828185
Q4 highest immigrant share,2020,12.993944848078138,23.03848449036425,31.11885197485599,10576,0.0865529202370876,0.06975539160846389
Q4 highest immigrant share,2021,13.00373706792474,22.346938775510203,30.314753496900103,10742,-0.03001697942168391,-0.02583959326666674
Q4 highest immigrant share,2022,13.752360620740621,22.610027977361625,30.042087358469207,10859,0.011772941452712127,-0.00899450290627557
Q4 highest immigrant share,2023,14.183619628305093,22.360488919215594,31.57412231977554,10147,-0.011036654107455468,0.05099628874071671
Q4 highest immigrant share,2024,14.345513247089013,23.45686321317737,35.49408702673064,10389,0.04903176750395666,0.1241511851779944
Q4 highest immigrant share,2025,14.517099626061762,23.568084953361332,36.09946839174006,10103,0.004741543622997391,0.017055837062480483
Q4 highest immigrant share,2026,14.418727632727855,23.073149695434207,35.171182246800136,9765,-0.021000232259284046,-0.025714676317846408
